------Generation 0------
Rule  1: 58877175481bc21282, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  2: 00c0007e000b0000d0, Class:  0, CF:0.56498, Len:  5, Fitness_tra: 4
Rule  3: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2d521185851c1c22cc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 200000000000000500, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: c000000000000000c0, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 521172c58121d82147, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000b0000000d00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1251c4812218424111, Class:  3, CF:0.222519, Len: 18, Fitness_tra: 0
Rule 11: 000000d0200000d800, Class:  1, CF:0.761628, Len:  4, Fitness_tra: 8
Rule 12: 000000000030000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: d00070000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 251c4411c1145152c1, Class:  1, CF:0.741185, Len: 18, Fitness_tra: 3
Rule 18: 53121412d155188112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000008000000000000, Class:  0, CF:0.515152, Len:  1, Fitness_tra: 2
Rule 20: c0070006000000c060, Class:  2, CF:0.902807, Len:  5, Fitness_tra: 0
Rule 21: 0e0000000000000000, Class:  3, CF:0.0401022, Len:  1, Fitness_tra: 8
Rule 22: 044000000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 28842181c122d12221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11572b1141c2551241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 26
Rule 27: 85127185181c111112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1168221256113c8181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 13e127111111181152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000c00000000003088, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 161874141911111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5252112141c42441d1, Class:  2, CF:0.0270416, Len: 18, Fitness_tra: -9
Rule 35: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: c00000000cb0000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000000000a000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 39: 0000b0000000000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 0000c0000000000000, Class:  2, CF:0.353801, Len:  1, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000900, Class:  1, CF:0.0159444, Len:  1, Fitness_tra: -5
Rule 44: 00000c004040003000, Class:  2, CF:0.733602, Len:  4, Fitness_tra: 0
Rule 45: c1581bc111c1122211, Class:  3, CF:0.060406, Len: 18, Fitness_tra: -3
Rule 46: 00008c003000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 800000000c00800000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: e00240000000000000, Class:  1, CF:0.74974, Len:  3, Fitness_tra: 14
Rule 49: 1252472122122c2251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00f080000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000000000000030, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 81311c15cd882415c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000b00000400000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 005000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
