------Generation 0------
Rule  1: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 336147143113112122, Class:  0, CF:0.647076, Len: 18, Fitness_tra: 13
Rule  3: 000000000b00000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000060000d002, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00900000bd0000e000, Class:  3, CF:0.106134, Len:  4, Fitness_tra: 1
Rule  6: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 009000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 090000000500000000, Class:  3, CF:0.144246, Len:  2, Fitness_tra: 6
Rule 11: 11e222cd1182821211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000000000003, Class:  2, CF:0.043948, Len:  1, Fitness_tra: -90
Rule 13: c28241151d11887c1b, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 1914122dc111d14282, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1161419111d95431de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000080, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 13177c2d13c2d22222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000700000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00000000000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0e000000030000000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 118bb4851822582174, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 151241c521c8121881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000000600000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000002000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000000000000008000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 000000003000000002, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000000c000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00900b07000000000c, Class:  3, CF:0.0714607, Len:  4, Fitness_tra: -9
Rule 30: 45d744212224d21222, Class:  3, CF:0.199295, Len: 18, Fitness_tra: -3
Rule 31: 000000030d40000003, Class:  2, CF:0.688718, Len:  4, Fitness_tra: 19
Rule 32: 00000000e600000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000500008000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 316112111136381114, Class:  3, CF:0.00790911, Len: 18, Fitness_tra: 0
Rule 39: 00000000d000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000002000000002, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 000000000c00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13317b143e53312884, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 22827b2325ccd18221, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 000000003000000003, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 002000000c00000007, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000200000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00900e0000000d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000004000003000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 31111b119313181122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 251811114811281121, Class:  2, CF:0.798296, Len: 18, Fitness_tra: 0
Rule 52: 00a000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0c000c000c00c00000, Class:  2, CF:  1, Len:  4, Fitness_tra: 2
Rule 55: c852811115122c1812, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 56: 40000000000000000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00500000300005009c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 000000000000700080, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 111811c51114228266, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 9e6512325159915153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 04000052005000000d, Class:  1, CF:0.456703, Len:  5, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000000500000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
