------Generation 0------
Rule  1: f6f871e3581d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 447a475833e4c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: a63158851d183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: feb1cc9531145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b5a1518851dd5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7173141515119, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: a3411111d315c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 4518d81181153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 19ab163121515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: b1ac155112851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1873415dee615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1e154c1565111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a94e115185555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 13358311d1421, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: f1f11111511c9, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 313119111571e, Class:  0, CF:0.761175, Len: 13, Fitness_tra: 0
Rule 17: 11ad388111211, Class:  0, CF:0.929728, Len: 13, Fitness_tra: -1
Rule 18: 24189531551e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: a97121913111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1271d21191315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 727628313d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: f12d1565991c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 6525811181136, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: a131191355213, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 634585113112c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: a5b128ed35118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
