------Generation 0------
Rule  1: 12f12981215c5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 242a482d3331d, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  3: 0e00400000000, Class:  0, CF:0.34141, Len:  2, Fitness_tra: 34
Rule  4: fe72215153118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 13a1211e12181, Class:  1, CF:  1, Len: 13, Fitness_tra: 1
Rule  6: 1d1115255513d, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  7: 1175211182dea, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: bc11413313311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: f1411122883e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 11a82e1118111, Class:  0, CF:0.9494, Len: 13, Fitness_tra: -3
Rule 11: 22f819e311119, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 12: 7111131e98c89, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1921811311d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 18f5dd5181815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4563558511113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3615355d8d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: a975213333518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: a61135821ed51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7cb5e5e415331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 36a598c533112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1149511311252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 361dd5d352856, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: f3b51819331c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1141d8d25515d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 45f1493338481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6af1952199881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2df1d11175131, Class:  0, CF:  1, Len: 13, Fitness_tra: 20
Rule 28: 1138d5395528e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: a379759d33318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: a349515225131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b532499311729, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 11f8119151119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 18a12996991d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1a614de911719, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 334e185321d12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 13f1111911515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: f945d91111251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b11341dd69e28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3a31121c591de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 71bed1e231311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 6e7d1155159c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 281dcd3535c29, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
