------Generation 0------
Rule  1: 1265152811521, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  2: 4b45111215d32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 21b3811111d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 771951151d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 4c65255ed6141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 7d3155d223586, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2275135125338, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1173128151555, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 611112e911311, Class:  1, CF:  1, Len: 13, Fitness_tra: 6
Rule 10: bb15d19131152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1e13856369525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: a3f5921891d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 48b521a117966, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: fe4382312d951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: f132136112816, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: f3ac511355312, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 17: a5b91d1111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 242381cde9511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: b8f5211e13419, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 44111182cd515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: a3451dfde1557, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: bcf1be1e1188e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 666289ee8c816, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 426cdee911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 6ef51d8155155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 6541195c55112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: b561d51153123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f9b98d1515551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 17b1185219c5d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 3121413d311dc, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 31: 117183911311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0000006005500, Class:  0, CF:  1, Len:  3, Fitness_tra: 100
Rule 33: 333535dc1512e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 2112211c21516, Class:  0, CF:0.493787, Len: 13, Fitness_tra: -4
Rule 35: b171111821551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1619111913972, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11715d9c15119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 75a1131572881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 2961a12111211, Class:  1, CF:0.996887, Len: 13, Fitness_tra: 59
Rule 40: 36672f6118c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: b8f88353d342d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 4124c15e91528, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: b12ac71219111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: f121d5511d185, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 45: 35735852898d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 3a32dd3181181, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 47: b5f2112513111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 2222c19191112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 36f41a6d18116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11f5231998281, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
