------Generation 0------
Rule  1: b14121cd13932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 192822d1153c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 3a6198855311e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 4211315511d31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 17b3216111e55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: f1f9e12851121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 277915521c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1113259152158, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: b416cc15e3591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: f1f1311159111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1135211e11481, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35bd121595111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4479d11898112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b11b3239372, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4245dde195312, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1e118d5515181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 453931542de85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 16ad515dd2889, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: b162525158c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 3375155151d2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b2f5851d55154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000200d0000, Class:  1, CF:0.00427368, Len:  2, Fitness_tra: 0
Rule 23: 36b3158181512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 48335553812b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: fff18135cd236, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 25a25185851c1, Class:  0, CF:0.667033, Len: 13, Fitness_tra: 0
Rule 27: aa3d958231dc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0b08000330000, Class:  0, CF:0.843768, Len:  4, Fitness_tra: 19
Rule 29: 444315d451558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000000000d000, Class:  0, CF:0.271294, Len:  1, Fitness_tra: 137
Rule 31: 33b122d55911d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 6e729118115e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 4845811811315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
