------Generation 0------
Rule  1: f515132851931, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 116d23291514d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: b2b6118291951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 38751518dd591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 2362187559525, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7145161122111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1135119131c25, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 711dd5553d911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 217e1e1185332, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: b4b9585155e12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 21b1511111153, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: b11d5251315d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 3a335925c5151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 242911d8d215d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: a619181113581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 11a11d515211d, Class:  0, CF:0.999654, Len: 13, Fitness_tra: 0
Rule 18: 0f00000000000, Class:  1, CF:0.103704, Len:  1, Fitness_tra: -63
Rule 19: 227551511dd1d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a1155885d9223, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 612511555dd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b71e2c513111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 4111d5159311d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 15b2133255213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: b2a1d1d1d5211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 000c000009030, Class:  0, CF:0.961921, Len:  3, Fitness_tra: 3
Rule 27: 00000002000c0, Class:  1, CF:0.00512709, Len:  2, Fitness_tra: -58
Rule 28: 41a15955cedc5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 65b329513d5ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 63155111119c1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 3921581d31195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
