------Generation 0------
Rule  1: 7532d2131211e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00080c6300000, Class:  0, CF:0.882358, Len:  4, Fitness_tra: 43
Rule  3: 6345215551981, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 78fd18581d1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 33a119115c213, Class:  0, CF:0.503165, Len: 13, Fitness_tra: 0
Rule  6: 124119d1d2591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: f928111211915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1e22115115958, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 45111519825d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a11c1d1189118, Class:  0, CF:0.900651, Len: 13, Fitness_tra: 0
Rule 11: 1df8d55d55581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35b2521511188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b531518511518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 72115185c1541, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 7b1d151118588, Class:  1, CF:  1, Len: 13, Fitness_tra: 8
Rule 16: 69b519521593d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 2cb3851911558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 444918389831c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 3141123d11148, Class:  1, CF:  1, Len: 13, Fitness_tra: 9
Rule 20: 1b15152228d31, Class:  0, CF:0.0643194, Len: 13, Fitness_tra: 0
Rule 21: 35b198181d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: aaa8185182213, Class:  1, CF:0.699968, Len: 13, Fitness_tra: 71
Rule 23: 2429891211d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 133255d15558e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 3e3531d18115d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 27: 65181d8d55591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 4534161571253, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000c0e02, Class:  0, CF:0.917671, Len:  3, Fitness_tra: 20
Rule 30: a5b1d11559125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 15a1952111343, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: f3618298d1553, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 42b1131121131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: a571811551188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 28a9518c23dd2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4c26143513342, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 37: 241d15981535c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7df511161811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1631d1d381111, Class:  0, CF:  1, Len: 13, Fitness_tra: 7
Rule 40: 1a32d5195d2c3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 633dd18381121, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule 42: f9b81821ddd11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
