------Generation 0------
Rule  1: 61ad8191c1816, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: b2615d238912d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 411c853318883, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 7728131219151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: b8492815599d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 21a2118111111, Class:  0, CF:0.804228, Len: 13, Fitness_tra: -131
Rule  7: 1c7113329d113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000900, Class:  0, CF:0.759702, Len:  1, Fitness_tra: 38
Rule  9: 15141e1118581, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 4cb8811591e13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1249581251112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 61b9815195551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f145511d15d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 24b5511153855, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1162111111121, Class:  0, CF:0.741512, Len: 13, Fitness_tra: -95
Rule 16: 113451115d511, Class:  1, CF:0.57044, Len: 13, Fitness_tra: 1
Rule 17: 15b2911511191, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 2279532881935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 7171599519515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 7235239122225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: b141821111e15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 75f1318125e51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: b423551551532, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 11f2d1131118e, Class:  0, CF:0.824238, Len: 13, Fitness_tra: 1
Rule 25: 71b25edd521e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1479d1515d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 22712c59eee18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11111515e5131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4da3398421e2c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 000c0000d0000, Class:  0, CF:0.550861, Len:  2, Fitness_tra: -7
Rule 31: 3542319dd356d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 4712121938191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 71f2311155111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b8658de595115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 777388e115151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 3343518151115, Class:  1, CF:  1, Len: 13, Fitness_tra: 5
Rule 37: 11b2331515531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 000d0c0c000d0, Class:  0, CF:  1, Len:  4, Fitness_tra: 5
Rule 39: aa1d321589853, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 4131115851181, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 41: 2242159295113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: a3b7c31d28286, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 283d551156558, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 636de81131181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: fa1d31d355c2a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: a52511581513d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1811d11111511, Class:  1, CF:  1, Len: 13, Fitness_tra: 22
Rule 48: b41115e812115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 0d050000d0009, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 50: 0500ecd00000c, Class:  1, CF:  1, Len:  5, Fitness_tra: 4
Rule 51: a668c16122286, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 52: 221211155d515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 0008000020000, Class:  0, CF:0.976554, Len:  2, Fitness_tra: 452
Rule 54: 42be5811e25c1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 3aa1411351111, Class:  0, CF:0.38098, Len: 13, Fitness_tra: -20
Rule 56: 411211191d811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 124815951156d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 4111111555112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 59: a631111321116, Class:  0, CF:0.962596, Len: 13, Fitness_tra: 0
Rule 60: 1817931e59918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 31a8e3d55c512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 1515112811521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 422cd15155152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: a1b1266d15c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
