------Generation 0------
Rule  1: 0000b4000e000, Class:  0, CF:0.760816, Len:  3, Fitness_tra: 7
Rule  2: 16a59545e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000e0000c8000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0002000400e0e, Class:  6, CF:0.836408, Len:  4, Fitness_tra: -1
Rule  5: 00000000000b0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000d00d000006, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  9: 144e111339118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a131e12813d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 114929d81113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0008000e00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a16551118d111, Class:  4, CF:0.40486, Len: 13, Fitness_tra: -3
Rule 14: 0000000000905, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000e0000c000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1cb9552525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000009500800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000d00c000d, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000c3e0000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000800d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 25f5d18219151, Class:  6, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 33111515115cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000060e000c, Class:  7, CF:  1, Len:  3, Fitness_tra: 2
Rule 25: 0008000000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f145111939112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 391de888155c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000c00000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000b900e000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0300f00000900, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 32: 1168321511511, Class:  2, CF:0.04901, Len: 13, Fitness_tra: -1
Rule 33: 6111131821253, Class:  9, CF:0.284121, Len: 13, Fitness_tra: -3
Rule 34: 722a4491f3921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41a1c53653211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0008000000630, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 183c331e1d91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 147118e832992, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00008000dd000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 21791e1252935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00009308000c0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 020bf000c0080, Class:  0, CF:  1, Len:  5, Fitness_tra: 9
Rule 43: 00080000980d0, Class:  1, CF:0.535332, Len:  4, Fitness_tra: -2
Rule 44: 00050d000ed00, Class:  6, CF:  1, Len:  4, Fitness_tra: 2
Rule 45: 0002009400e0e, Class:  6, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 36651c1115183, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000008000900, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0007000030000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 21b9818d1551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7511d551451c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000e00200000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 31a5113182111, Class:  1, CF:0.208051, Len: 13, Fitness_tra: -23
Rule 53: f11c118218e31, Class:  8, CF:0.054378, Len: 13, Fitness_tra: -2
Rule 54: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7b451151d555d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: f3a5416e1115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b266158111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: a3a545391811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 39481111d5133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3aa51118811d6, Class:  3, CF:0.442805, Len: 13, Fitness_tra: 0
Rule 62: 00009000c0000, Class:  7, CF:0.039422, Len:  2, Fitness_tra: -49
Rule 63: 0204d00000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4c71211114116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b5f223e315251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 114915115151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1ff8dd2151d46, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b86155855158c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 144325159e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000d90005e00d, Class:  6, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: b21151351e5f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 17181981211d3, Class:  5, CF:0.941246, Len: 13, Fitness_tra: 3
Rule 73: 030000c006005, Class:  6, CF:0.461013, Len:  4, Fitness_tra: -9
Rule 74: f6ad351d8d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 483819c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000d000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: aa11925115119, Class:  8, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 25a1198119521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000c0ee000000, Class:  7, CF:0.310057, Len:  3, Fitness_tra: -9
Rule 80: 000000000200d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 6318355253131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1212c5e5e111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 15a1115d85111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0002e00d00000, Class:  7, CF:0.0389165, Len:  3, Fitness_tra: -3
Rule 85: b121c88d11d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21bcd591195a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000400000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1315c5193111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000ed0000060, Class:  8, CF:0.40135, Len:  3, Fitness_tra: -2
Rule 92: 0509000e0000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0008043030045, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b42159c551155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000000500d09, Class:  3, CF:  1, Len:  3, Fitness_tra: 2
Rule 96: f1181128193c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0007000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f1b911911935c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000c000c80000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 314811d125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:86.0831
------Result------
Miss_rate(tra)	:86.0831
Miss_rate(tst)	:87.8788
ARL				:7

------Generation 0------
Rule  1: 0000b4000e000, Class:  0, CF:0.760816, Len:  3, Fitness_tra: 7
Rule  2: 16a59545e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000e0000c8000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0002000400e0e, Class:  6, CF:0.836408, Len:  4, Fitness_tra: -1
Rule  5: 00000000000b0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000d00d000006, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  9: 144e111339118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a131e12813d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 114929d81113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0008000e00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a16551118d111, Class:  4, CF:0.40486, Len: 13, Fitness_tra: -3
Rule 14: 0000000000905, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000e0000c000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1cb9552525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000009500800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000d00c000d, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000c3e0000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000800d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 25f5d18219151, Class:  6, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 33111515115cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000060e000c, Class:  7, CF:  1, Len:  3, Fitness_tra: 2
Rule 25: 0008000000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f145111939112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 391de888155c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000c00000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000b900e000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0300f00000900, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 32: 1168321511511, Class:  2, CF:0.04901, Len: 13, Fitness_tra: -1
Rule 33: 6111131821253, Class:  9, CF:0.284121, Len: 13, Fitness_tra: -3
Rule 34: 722a4491f3921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41a1c53653211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0008000000630, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 183c331e1d91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 147118e832992, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00008000dd000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 21791e1252935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00009308000c0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 020bf000c0080, Class:  0, CF:  1, Len:  5, Fitness_tra: 9
Rule 43: 00080000980d0, Class:  1, CF:0.535332, Len:  4, Fitness_tra: -2
Rule 44: 00050d000ed00, Class:  6, CF:  1, Len:  4, Fitness_tra: 2
Rule 45: 0002009400e0e, Class:  6, CF:  1, Len:  5, Fitness_tra: 0
Rule 46: 36651c1115183, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 0000008000900, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 0007000030000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 21b9818d1551d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 7511d551451c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0000e00200000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 31a5113182111, Class:  1, CF:0.208051, Len: 13, Fitness_tra: -23
Rule 53: f11c118218e31, Class:  8, CF:0.054378, Len: 13, Fitness_tra: -2
Rule 54: 0000000d000d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 7b451151d555d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: f3a5416e1115e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: b266158111219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: a3a545391811e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 39481111d5133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3aa51118811d6, Class:  3, CF:0.442805, Len: 13, Fitness_tra: 0
Rule 62: 00009000c0000, Class:  7, CF:0.039422, Len:  2, Fitness_tra: -49
Rule 63: 0204d00000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 4c71211114116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: b5f223e315251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 114915115151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 1ff8dd2151d46, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: b86155855158c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 144325159e11d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 000d90005e00d, Class:  6, CF:  1, Len:  5, Fitness_tra: 0
Rule 71: b21151351e5f1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 17181981211d3, Class:  5, CF:0.941246, Len: 13, Fitness_tra: 3
Rule 73: 030000c006005, Class:  6, CF:0.461013, Len:  4, Fitness_tra: -9
Rule 74: f6ad351d8d129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 483819c111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000d000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: aa11925115119, Class:  8, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 25a1198119521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 000c0ee000000, Class:  7, CF:0.310057, Len:  3, Fitness_tra: -9
Rule 80: 000000000200d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 6318355253131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 1212c5e5e111d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 15a1115d85111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 0002e00d00000, Class:  7, CF:0.0389165, Len:  3, Fitness_tra: -3
Rule 85: b121c88d11d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 21bcd591195a3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 0000400000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 1315c5193111c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 0009000000000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 0000ed0000060, Class:  8, CF:0.40135, Len:  3, Fitness_tra: -2
Rule 92: 0509000e0000d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0008043030045, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b42159c551155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 0000000500d09, Class:  3, CF:  1, Len:  3, Fitness_tra: 2
Rule 96: f1181128193c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 0007000000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: f1b911911935c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 000c000c80000, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 314811d125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:86.0831
------Result------
Miss_rate(tra)	:86.0831
Miss_rate(tst)	:87.8788
ARL				:7

------Generation 1------
Rule  1: 0000b4000e000, Class:  0, CF:0.760816, Len:  3, Fitness_tra: 7
Rule  2: 16a59545e1951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 000e0000c8000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0002000400e0e, Class:  6, CF:0.836408, Len:  4, Fitness_tra: -1
Rule  5: 00000000000b0, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000d00d000006, Class: 10, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 00000000300d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0008000400e0e, Class:  6, CF:  1, Len:  4, Fitness_tra: 3
Rule  9: 144e111339118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a131e12813d15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 114929d81113d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0008000e00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: a16551118d111, Class:  4, CF:0.40486, Len: 13, Fitness_tra: -3
Rule 14: 0000000000905, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000e0000c000c, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1cb9552525212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 0000009500800, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000d00c000d, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 000c3e0000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000800d, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 25f5d18219151, Class:  6, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 33111515115cd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000060e000c, Class:  7, CF:  1, Len:  3, Fitness_tra: 2
Rule 25: 0008000000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f145111939112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 391de888155c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000c00000d000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 0000b900e000e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 0300f00000900, Class:  0, CF:  1, Len:  3, Fitness_tra: 9
Rule 32: 1168321511511, Class:  2, CF:0.04901, Len: 13, Fitness_tra: -1
Rule 33: 6111131821253, Class:  9, CF:0.284121, Len: 13, Fitness_tra: -3
Rule 34: 722a4491f3921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 41a1c53653211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0008000000630, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 183c331e1d91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 147118e832992, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
