------Generation 0------
Rule  1: 00d000b0c0408, Class:  0, CF:0.982682, Len:  5, Fitness_tra: 0
Rule  2: c0000000575c0, Class:  1, CF:0.527535, Len:  5, Fitness_tra: 0
Rule  3: 1531112c11222, Class:  1, CF:0.623975, Len: 13, Fitness_tra: 0
Rule  4: 1151511155551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 55551145212c1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule  6: 2c552c1151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3c51119258511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1151112811141, Class:  1, CF:0.545705, Len: 13, Fitness_tra: 0
Rule  9: 111582118111c, Class:  1, CF:0.913994, Len: 13, Fitness_tra: 0
Rule 10: 211d42c511532, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 9533824111122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e4581e5212511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3115112153428, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 2251211152551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 325c119c15211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1155811145211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1211121812111, Class:  2, CF:0.889342, Len: 13, Fitness_tra: 0
Rule 18: 5195127145822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: e211115215131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1211128811512, Class:  1, CF:0.430532, Len: 13, Fitness_tra: 0
Rule 21: 3151811535111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1c12111112535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 5153517111122, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 811d151854131, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 25: 1c11893115593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1831155188151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1151c24121221, Class:  0, CF:0.839236, Len: 13, Fitness_tra: 0
Rule 28: 3158591155d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1195114d11221, Class:  1, CF:0.205193, Len: 13, Fitness_tra: 0
Rule 30: c000000000007, Class:  2, CF:0.196012, Len:  2, Fitness_tra: 29
Rule 31: 51991811c1228, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 1d1d214121128, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: c200c08004000, Class:  0, CF:0.935968, Len:  5, Fitness_tra: 0
Rule 34: 000080c0b0000, Class:  0, CF:0.88953, Len:  3, Fitness_tra: 2
