------Generation 0------
Rule  1: e151119c11511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  2: 121d11c112151, Class:  1, CF:0.959352, Len: 13, Fitness_tra: 0
Rule  3: 155188b12111c, Class:  0, CF:0.970289, Len: 13, Fitness_tra: 0
Rule  4: 3111214311442, Class:  1, CF:0.975467, Len: 13, Fitness_tra: 0
Rule  5: 19d1212111224, Class:  1, CF:0.389815, Len: 13, Fitness_tra: 0
Rule  6: 21dd215121131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1225112212111, Class:  2, CF:0.73428, Len: 13, Fitness_tra: 0
Rule  8: 1112115111132, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 34125912d15e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 2111211184111, Class:  0, CF:0.0784648, Len: 13, Fitness_tra: 0
Rule 11: 11152111515d1, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 1159112154111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1155c1132d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 14: 3151144118122, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 121285d152111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 1111595115191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 111d114529422, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 18: 1152115252595, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 9112215112511, Class:  0, CF:0.782391, Len: 13, Fitness_tra: 0
Rule 20: 2155112151514, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 8181211821132, Class:  2, CF:0.974576, Len: 13, Fitness_tra: 0
Rule 22: 1215211281511, Class:  1, CF:0.998456, Len: 13, Fitness_tra: 0
Rule 23: 0020000000052, Class:  0, CF:0.742983, Len:  3, Fitness_tra: -1
Rule 24: 6111531212815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 9412155c551e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1212187621415, Class:  0, CF:0.996898, Len: 13, Fitness_tra: 0
Rule 27: 5155c22118c1c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 1115212125721, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 000ae60000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 9112111c52d11, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 31: 51d52221c112c, Class:  1, CF:0.861841, Len: 13, Fitness_tra: 0
Rule 32: 3151221181111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 33: 59d5124125211, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 1198193181511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 8000000000002, Class:  0, CF:0.409002, Len:  2, Fitness_tra: 14
Rule 36: 31d5112125242, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5155822112112, Class:  2, CF:0.401126, Len: 13, Fitness_tra: 0
Rule 38: 31d11c7111141, Class:  1, CF:0.981141, Len: 13, Fitness_tra: 0
Rule 39: 812d212181191, Class:  0, CF:0.537744, Len: 13, Fitness_tra: 0
Rule 40: 1115412511552, Class:  1, CF:0.975043, Len: 13, Fitness_tra: 0
Rule 41: 5231155511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 34d151dc1851d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: c00000c000002, Class:  0, CF:0.667112, Len:  3, Fitness_tra: 4
Rule 44: 355815112c131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 3151519151151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 8215215551214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 1111211115228, Class:  0, CF:0.375804, Len: 13, Fitness_tra: 0
Rule 48: 129551d5115d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: d595522245118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 11518c1119211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 0c0000c004554, Class:  1, CF:0.466041, Len:  6, Fitness_tra: 0
Rule 52: 1155215112112, Class:  1, CF:0.994752, Len: 13, Fitness_tra: 0
Rule 53: 15d1121122118, Class:  0, CF:0.751788, Len: 13, Fitness_tra: 0
Rule 54: 000050000000d, Class:  0, CF:0.962261, Len:  2, Fitness_tra: 0
Rule 55: 2455218524114, Class:  0, CF:0.987786, Len: 13, Fitness_tra: 0
Rule 56: 5331111121111, Class:  1, CF:0.0550762, Len: 13, Fitness_tra: 0
Rule 57: 0700000000d50, Class:  0, CF:0.127133, Len:  3, Fitness_tra: 0
Rule 58: 11314171c141c, Class:  1, CF:0.232864, Len: 13, Fitness_tra: 0
Rule 59: 000000c000000, Class:  0, CF:0.267227, Len:  1, Fitness_tra: -9
Rule 60: 3c11195111513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11111422c8cb2, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 62: c00d000000092, Class:  0, CF:0.722264, Len:  4, Fitness_tra: 0
Rule 63: 000000c070500, Class:  1, CF:0.1344, Len:  3, Fitness_tra: 0
Rule 64: 91518c2dc5118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 211d155121134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 3135115111515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11511e3c55131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 5395821612811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1121112881531, Class:  1, CF:0.986464, Len: 13, Fitness_tra: 0
Rule 70: 1c11851188115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 71: 12514c1112112, Class:  2, CF:0.11372, Len: 13, Fitness_tra: 0
Rule 72: 5511111123118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 73: 311821d812d13, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 74: c251151d12294, Class:  0, CF:0.923019, Len: 13, Fitness_tra: 0
Rule 75: 1211235211d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1111181111111, Class:  1, CF:0.635315, Len: 13, Fitness_tra: 0
Rule 77: 115dc84925111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00000cc084550, Class:  0, CF:0.621137, Len:  6, Fitness_tra: 0
Rule 79: 1191115211511, Class:  0, CF:0.79329, Len: 13, Fitness_tra: 0
Rule 80: 1251119111593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 113588411c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2000003000000, Class:  2, CF:0.61137, Len:  2, Fitness_tra: 34
Rule 83: 1111118151112, Class:  0, CF:0.525104, Len: 13, Fitness_tra: 0
Rule 84: 2c11212182111, Class:  0, CF:0.84116, Len: 13, Fitness_tra: 0
Rule 85: 2000000004004, Class:  0, CF:0.221456, Len:  3, Fitness_tra: 1
Rule 86: 9115115188111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1115128112514, Class:  1, CF:0.999059, Len: 13, Fitness_tra: 0
Rule 88: 11181e1811591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 119121234c814, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 90: 315121d818113, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 91: d111112141442, Class:  0, CF:0.965126, Len: 13, Fitness_tra: 0
Rule 92: 38d1211115593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
