------Generation 0------
Rule  1: 3111135158515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 1115124175881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 519512124c14c, Class:  2, CF:0.100737, Len: 13, Fitness_tra: 0
Rule  4: 1151512281121, Class:  0, CF:0.56414, Len: 13, Fitness_tra: 0
Rule  5: 11511312d1591, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3155551151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 513522212c111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1111112113441, Class:  1, CF:0.77803, Len: 13, Fitness_tra: 0
Rule 10: 1118222121114, Class:  1, CF:0.418815, Len: 13, Fitness_tra: 0
Rule 11: 1155115114151, Class:  1, CF:0.9985, Len: 13, Fitness_tra: 0
Rule 12: 22d1121112154, Class:  0, CF:0.977401, Len: 13, Fitness_tra: 0
Rule 13: 1151d21181412, Class:  0, CF:0.0709334, Len: 13, Fitness_tra: 0
Rule 14: 3152511151511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11511c1121241, Class:  1, CF:0.239412, Len: 13, Fitness_tra: 0
Rule 16: 9211151212d35, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 1111211111212, Class:  1, CF:0.133737, Len: 13, Fitness_tra: 0
Rule 18: 52e5195585111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000c000500, Class:  1, CF:0.185368, Len:  2, Fitness_tra: 6
Rule 20: 9131551151111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 8151115112817, Class:  0, CF:0.891071, Len: 13, Fitness_tra: 0
Rule 22: 155122431522c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 23: 11118e5121151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 0c0000c004557, Class:  1, CF:0.909118, Len:  6, Fitness_tra: 0
Rule 25: 2000000000002, Class:  0, CF:0.405366, Len:  2, Fitness_tra: -4
Rule 26: 1c18515251113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1251215215153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 1151215121114, Class:  0, CF:0.679057, Len: 13, Fitness_tra: 0
Rule 29: 1235115128115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1c588152dd811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 38382332d8593, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2111118111111, Class:  0, CF:0.337028, Len: 13, Fitness_tra: 0
Rule 33: 3252815211531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 5151111113222, Class:  0, CF:0.93192, Len: 13, Fitness_tra: 0
Rule 35: 00cc70800405b, Class:  1, CF:0.143244, Len:  7, Fitness_tra: 0
Rule 36: 1451891c81511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 5191512111c71, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 38: 3c91831112151, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 1211112551152, Class:  1, CF:0.930877, Len: 13, Fitness_tra: 0
Rule 40: 1111c21112151, Class:  0, CF:0.731435, Len: 13, Fitness_tra: 0
Rule 41: 3c118dd811d39, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1111cd1152551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 1111213111111, Class:  2, CF:0.197499, Len: 13, Fitness_tra: 0
Rule 44: 121c1912d8511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: 925211528c131, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 145151d82251d, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 51d1227141211, Class:  0, CF:0.662228, Len: 13, Fitness_tra: 0
Rule 48: 1511112189b22, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 1151251182192, Class:  0, CF:0.898024, Len: 13, Fitness_tra: 0
Rule 50: 1118152214392, Class:  1, CF:0.569448, Len: 13, Fitness_tra: 0
Rule 51: 0080000000052, Class:  0, CF:0.832521, Len:  3, Fitness_tra: 9
Rule 52: 15552c151922c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8000000007007, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 0000400000d50, Class:  0, CF:0.0746958, Len:  3, Fitness_tra: 0
Rule 55: 5155844218c1c, Class:  0, CF:0.420397, Len: 13, Fitness_tra: 0
Rule 56: 1111184325c22, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 57: 125181d112d15, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 121813115d1e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 0000000000002, Class:  0, CF:0.187609, Len:  1, Fitness_tra: -48
Rule 60: 111122c181512, Class:  0, CF:0.3308, Len: 13, Fitness_tra: 0
Rule 61: 11d552112217c, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
