------Generation 0------
Rule  1: e3ccb152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 31c54111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 35181b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: a9122b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: c18c7bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: d111bb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 3511129c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 11812218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 88544232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: e948bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 15521131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 2258bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1141b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 158c2112, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 1e2c2134, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 9512b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11822711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1115b251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 21227b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 13521b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e1481b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: e9117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 93154138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 31c1b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2cd142e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11122bec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 19287211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: d881b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 31c2bb9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1d114191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 515c4415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 18822191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 33: d0000000, Class:  1, CF:0.777885, Len:  1, Fitness_tra: 963
Rule 34: 19154795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 51144b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 181117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 88287191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 654cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 22511795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 3628b2e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 118224e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: c5122192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 43: 1c1444ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 88887451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 595cbb1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11c14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: c1114452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 612c113c, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 49: 22581791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 15541712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d12cb411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 114c7b55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 8555721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 8d2117e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: e11c273c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 392122e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1624241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 8114bb51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: c811b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
