------Generation 0------
Rule  1: 111c2411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 51dc7412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 0d000000, Class:  1, CF:0.800855, Len:  1, Fitness_tra: 1005
Rule  4: 6ec12792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 3141111c, Class:  0, CF:  1, Len:  8, Fitness_tra: 332
Rule  6: e3c27438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 111d175c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 9118bb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1851b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 12882212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 112c4b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1ecdb492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 93114411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 52144b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1381411c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 39c8b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 912277e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 9e257234, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 11784b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 198874e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 51c4b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: c2112411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 33157b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: d5117798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 6ec84b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11242751, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 331c11e1, Class:  0, CF:  1, Len:  8, Fitness_tra: 15
