------Generation 0------
Rule  1: 585147ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: c5117431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 18132712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 600d0000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule  7: 11887711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 25141198, Class:  0, CF:0.959123, Len:  8, Fitness_tra: 1
Rule 10: 12122214, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 39c87191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 3d47b418, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 9918b41c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1551229c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 312d4114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 11517718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1d217191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 15114712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00030000, Class:  0, CF:0.0552813, Len:  1, Fitness_tra: 222
Rule 20: 15811b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: e58db155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 18511491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 188d22e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 22d2b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
