------Generation 0------
Rule  1: 000b0000, Class:  1, CF:0.0736456, Len:  1, Fitness_tra: 186
Rule  2: 28712158, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 85144798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 55154498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 19111b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 11112412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 1922221c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 3e1cbb92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 81221131, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 15: 12114be8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: e1d84411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 82d24b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00050000, Class:  0, CF:0.996299, Len:  1, Fitness_tra: 73
Rule 19: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 121c2791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2128276c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00050000, Class:  0, CF:0.996299, Len:  1, Fitness_tra: 0
Rule 25: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 5d11b19d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 2cd87211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11112be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000004, Class:  0, CF:0.0320477, Len:  1, Fitness_tra: 1
Rule 30: 522141ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 12111415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15227758, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 12111718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1d817114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 11411731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 04000000, Class:  1, CF:0.0109616, Len:  1, Fitness_tra: 0
Rule 39: 18217712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 552144e8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
