------Generation 0------
Rule  1: 00000004, Class:  0, CF:0.0297646, Len:  1, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d5157718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5c727711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 5d151192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 55214798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 155c1132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9511b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 60000000, Class:  0, CF:0.745252, Len:  1, Fitness_tra: 144
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 915c14e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5112b29c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e1112be5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 82847111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 88211711, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: d211bb58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000050, Class:  1, CF:0.101496, Len:  1, Fitness_tra: 217
Rule 23: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 3c52423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0d000000, Class:  0, CF:0.0730879, Len:  1, Fitness_tra: 0
Rule 28: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 882521ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00050000, Class:  0, CF:0.996149, Len:  1, Fitness_tra: 51
Rule 31: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 13c5b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000050, Class:  1, CF:0.101496, Len:  1, Fitness_tra: 0
Rule 34: 93512211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 1812119c, Class:  1, CF:0.00362904, Len:  8, Fitness_tra: 0
Rule 36: 8ccc7b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 8211b2e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 15181b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 88187b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 00040000, Class:  0, CF:0.123455, Len:  1, Fitness_tra: 223
Rule 46: d1c171e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 155442e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 15224111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 121441e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 5552749c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 1d582131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 58
Rule 54: 18d24b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 11211192, Class:  1, CF:0.124242, Len:  8, Fitness_tra: 0
Rule 56: 00000090, Class:  1, CF:0.254341, Len:  1, Fitness_tra: 340
Rule 57: 12141b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: c1471198, Class:  0, CF:0.681689, Len:  8, Fitness_tra: 0
Rule 61: 5228b491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 8118b1e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 00070000, Class:  0, CF:0.0380758, Len:  1, Fitness_tra: 0
Rule 69: 91824b3c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: d2dc223c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 52157219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 0d0c0000, Class:  0, CF:0.87715, Len:  2, Fitness_tra: 79
Rule 76: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: e35242e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 00070000, Class:  0, CF:0.0380758, Len:  1, Fitness_tra: 0
Rule 79: 15142791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 3117773c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: e12217e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 118272e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 1cd11212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 91121b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 11c11b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: c814b415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 88c24118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 58447be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00000060, Class:  0, CF:  1, Len:  1, Fitness_tra: 2
Rule100: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:41.7431
------Result------
Miss_rate(tra)	:41.7431
Miss_rate(tst)	:21.4765
ARL				:0.931034

------Generation 0------
Rule  1: 00000004, Class:  0, CF:0.0297646, Len:  1, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: d5157718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 5c727711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 5d151192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  7: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 55214798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 155c1132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 9511b731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 60000000, Class:  0, CF:0.745252, Len:  1, Fitness_tra: 144
Rule 13: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 915c14e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 5112b29c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e1112be5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 82847111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 88211711, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 21: d211bb58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000050, Class:  1, CF:0.101496, Len:  1, Fitness_tra: 217
Rule 23: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 3c52423c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0d000000, Class:  0, CF:0.0730879, Len:  1, Fitness_tra: 0
Rule 28: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 882521ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00050000, Class:  0, CF:0.996149, Len:  1, Fitness_tra: 51
Rule 31: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
