------Generation 0------
Rule  1: d2122758, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5d82b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 91221b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 51217614, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00080000, Class:  0, CF:0.81158, Len:  1, Fitness_tra: 194
Rule  6: 5cd14b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 85c1b798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 18512b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 52d41b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: d0000000, Class:  1, CF:0.115091, Len:  1, Fitness_tra: 22
Rule 12: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 15dc723d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 11122492, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d52517e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 112177ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 21144b18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 2182b294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 51151b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1155bb38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 80000000, Class:  1, CF:0.0622266, Len:  1, Fitness_tra: 13
Rule 28: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 52
Rule 30: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5c117252, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 518847e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: d8117291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: c8144b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1c241431, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 511d1451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 351c4251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 11116732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 1111b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1281745c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 81847b92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 00c00000, Class:  0, CF:0.135978, Len:  1, Fitness_tra: -36
Rule 49: ee5c2718, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: d1142415, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 81522192, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 54: 13c1b198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 127272ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 0
Rule 57: 81114b98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 25227238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 8c842b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 1c817b91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 13824732, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
