------Generation 0------
Rule  1: 5851479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: d8117432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 1d112712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11117798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11522711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 55111411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 195cb791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 91284be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 185414e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 19187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 55114b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 15117298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 181c4291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 00000004, Class:  0, CF:0.0277858, Len:  1, Fitness_tra: 13
Rule 24: 11511491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2115721c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 11c27791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 55144114, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000050, Class:  1, CF:0.086285, Len:  1, Fitness_tra: 269
Rule 30: 11bcb21c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 00000004, Class:  0, CF:0.0277858, Len:  1, Fitness_tra: 0
Rule 32: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 52d2b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 00000050, Class:  1, CF:0.086285, Len:  1, Fitness_tra: 0
Rule 38: c22c14e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 511227d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 13512161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 9981b41c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 9182b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5c727b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 51747b32, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1e817412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 8dc24432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3ddd241c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 211414e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 69
Rule 53: 525124ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 852c4111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 0c000000, Class:  1, CF:0.0455554, Len:  1, Fitness_tra: 20
Rule 56: 15251b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11122792, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 3d81771c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 9658b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 59811731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: d5117451, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 0d000000, Class:  1, CF:0.141445, Len:  1, Fitness_tra: 70
Rule 67: 558217ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 28814111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 215244dc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: d18d1b5c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: d254b158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 99d11738, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 1c847b9c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 3311b292, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 11114291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 11d5b4e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 11c22191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 85: 11123be1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 5251b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 25dc2b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 47
Rule 91: 2572141c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 1158b798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 00080000, Class:  0, CF:0.861642, Len:  1, Fitness_tra: 230
Rule 95: 9114b291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 121214e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:82.4293
------Result------
Miss_rate(tra)	:82.4293
Miss_rate(tst)	:75.6757
ARL				:0.377778

------Generation 0------
Rule  1: 00000050, Class:  1, CF:0.086285, Len:  1, Fitness_tra: 239
Rule  2: 00080000, Class:  0, CF:0.861642, Len:  1, Fitness_tra: 224
Rule  3: 0d000000, Class:  1, CF:0.141445, Len:  1, Fitness_tra: 82
Rule  4: 00d00000, Class:  0, CF:  1, Len:  1, Fitness_tra: 65
Rule  5: 00000005, Class:  0, CF:  1, Len:  1, Fitness_tra: 46
Rule  6: 0c000000, Class:  1, CF:0.0455554, Len:  1, Fitness_tra: 31
Rule  7: 00000004, Class:  0, CF:0.0277858, Len:  1, Fitness_tra: 3
Rule  8: 5851479c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 195cb791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 91284be2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 185414e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 19187112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 55114b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 15117298, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 181c4291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
