------Generation 0------
Rule  1: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 5111b618, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: e0070000, Class:  0, CF:0.879425, Len:  2, Fitness_tra: 38
Rule  4: 9151bf98, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1152b251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 118cb2e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1d881b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 52517251, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 18441491, Class:  1, CF:0.981315, Len:  8, Fitness_tra: 0
Rule 10: 55c27b15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 5d1c7a52, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 852114ec, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: c21c743c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: d55c74e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 52d44331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 115c469c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000d0000, Class:  0, CF:  1, Len:  1, Fitness_tra: 91
Rule 18: 21512291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 11d1b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: c552b294, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 00000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d1557232, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 1128b1e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: d181b73c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
