------Generation 0------
Rule  1: 0004000, Class:  0, CF:0.246619, Len:  1, Fitness_tra: 3
Rule  2: 5e122ed, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  3: 1982135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 0000007, Class:  0, CF:0.137213, Len:  1, Fitness_tra: 4
Rule  5: 5111135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 1312111, Class:  1, CF:0.793226, Len:  7, Fitness_tra: 0
Rule  7: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  8: 11574e5, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 10: 1151412, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 12: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 13: 2e1b112, Class:  0, CF:0.888977, Len:  7, Fitness_tra: 0
Rule 14: 5155561, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 1331515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1911211, Class:  0, CF:0.588595, Len:  7, Fitness_tra: 0
Rule 17: 5112c11, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 18: 0c000c0, Class:  1, CF:0.230643, Len:  2, Fitness_tra: -1
Rule 19: 0077000, Class:  0, CF:0.131017, Len:  2, Fitness_tra: 0
Rule 20: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 21: d352731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d694165, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 24: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 25: 5314218, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 27: 0090000, Class:  1, CF:0.338909, Len:  1, Fitness_tra: 0
Rule 28: 0000000, Class:  1, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 29: 282b421, Class:  0, CF:0.511228, Len:  7, Fitness_tra: 0
Rule 30: 1134211, Class:  1, CF:0.441551, Len:  7, Fitness_tra: 0
Rule 31: 1311131, Class:  1, CF:0.674875, Len:  7, Fitness_tra: 0
