------Generation 0------
Rule  1: 615e, Class:  0, CF:  1, Len:  4, Fitness_tra: 1
Rule  2: 5111, Class:  0, CF:0.470368, Len:  4, Fitness_tra: 3
Rule  3: 0003, Class:  0, CF:0.00634499, Len:  1, Fitness_tra: 0
Rule  4: 5203, Class:  0, CF:0.843489, Len:  3, Fitness_tra: 30
Rule  5: 7500, Class:  0, CF:0.0527278, Len:  2, Fitness_tra: 0
Rule  6: 1111, Class:  1, CF:0.354561, Len:  4, Fitness_tra: 0
Rule  7: 1214, Class:  1, CF:0.0242284, Len:  4, Fitness_tra: 0
Rule  8: 1126, Class:  1, CF:0.0465549, Len:  4, Fitness_tra: 0
Rule  9: 0325, Class:  0, CF:0.844179, Len:  3, Fitness_tra: 46
Rule 10: f155, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 11: 1262, Class:  1, CF:0.125098, Len:  4, Fitness_tra: 0
Rule 12: 4546, Class:  0, CF:0.894307, Len:  4, Fitness_tra: 8
Rule 13: 0340, Class:  0, CF:0.131986, Len:  2, Fitness_tra: 4
Rule 14: 1331, Class:  1, CF:0.554536, Len:  4, Fitness_tra: -1
Rule 15: 5131, Class:  0, CF:0.469475, Len:  4, Fitness_tra: 0
Rule 16: 1115, Class:  0, CF:0.445253, Len:  4, Fitness_tra: 7
Rule 17: 4119, Class:  0, CF:0.459831, Len:  4, Fitness_tra: 10
Rule 18: 2111, Class:  0, CF:0.0885177, Len:  4, Fitness_tra: 0
Rule 19: 5363, Class:  0, CF:0.606084, Len:  4, Fitness_tra: 0
Rule 20: 1313, Class:  1, CF:0.547233, Len:  4, Fitness_tra: 0
Rule 21: 5624, Class:  0, CF:0.474845, Len:  4, Fitness_tra: 5
Rule 22: 2253, Class:  0, CF:0.499275, Len:  4, Fitness_tra: 0
Rule 23: 9132, Class:  1, CF:0.381749, Len:  4, Fitness_tra: 0
Rule 24: 1111, Class:  1, CF:0.354561, Len:  4, Fitness_tra: 0
Rule 25: 5460, Class:  0, CF:0.766351, Len:  3, Fitness_tra: 29
Rule 26: 522b, Class:  0, CF:0.354919, Len:  4, Fitness_tra: 0
Rule 27: 5004, Class:  0, CF:0.120543, Len:  2, Fitness_tra: 4
Rule 28: 1151, Class:  0, CF:0.481153, Len:  4, Fitness_tra: 13
Rule 29: 9111, Class:  0, CF:0.64758, Len:  4, Fitness_tra: 13
Rule 30: 1543, Class:  0, CF:0.260493, Len:  4, Fitness_tra: 1
Rule 31: 1113, Class:  1, CF:0.408, Len:  4, Fitness_tra: 0
Rule 32: 0050, Class:  0, CF:0.00334925, Len:  1, Fitness_tra: 0
Rule 33: 9131, Class:  0, CF:0.643901, Len:  4, Fitness_tra: 0
Rule 34: 0023, Class:  1, CF:0.0395381, Len:  2, Fitness_tra: 1
Rule 35: 2331, Class:  1, CF:0.083682, Len:  4, Fitness_tra: 0
Rule 36: 3215, Class:  1, CF:0.137747, Len:  4, Fitness_tra: 0
Rule 37: 1111, Class:  1, CF:0.354561, Len:  4, Fitness_tra: 0
Rule 38: 3004, Class:  0, CF:0.146447, Len:  2, Fitness_tra: 0
Rule 39: 6111, Class:  1, CF:0.429943, Len:  4, Fitness_tra: 0
Rule 40: 1114, Class:  1, CF:0.253464, Len:  4, Fitness_tra: -2
Rule 41: 1112, Class:  0, CF:0.0626878, Len:  4, Fitness_tra: 0
Rule 42: 1215, Class:  1, CF:0.0704701, Len:  4, Fitness_tra: 0
Rule 43: f111, Class:  1, CF:0.447736, Len:  4, Fitness_tra: 0
Rule 44: 1311, Class:  1, CF:0.434376, Len:  4, Fitness_tra: -2
Rule 45: 6b05, Class:  0, CF:0.680838, Len:  3, Fitness_tra: 6
Rule 46: 0055, Class:  0, CF:0.125568, Len:  2, Fitness_tra: 2
Rule 47: 3213, Class:  0, CF:0.0122409, Len:  4, Fitness_tra: 0
Rule 48: 1326, Class:  1, CF:0.0868273, Len:  4, Fitness_tra: 0
Rule 49: 1122, Class:  0, CF:0.629489, Len:  4, Fitness_tra: 3
Rule 50: 1131, Class:  1, CF:0.431761, Len:  4, Fitness_tra: -2
Rule 51: 1321, Class:  0, CF:0.190549, Len:  4, Fitness_tra: 0
Rule 52: 1261, Class:  0, CF:0.257612, Len:  4, Fitness_tra: 0
Rule 53: 2564, Class:  0, CF:0.95646, Len:  4, Fitness_tra: 16
Rule 54: 3516, Class:  0, CF:0.366593, Len:  4, Fitness_tra: 0
Rule 55: 6131, Class:  1, CF:0.575636, Len:  4, Fitness_tra: -1
Rule 56: 2211, Class:  0, CF:0.620145, Len:  4, Fitness_tra: 19
Rule 57: 1314, Class:  1, CF:0.140408, Len:  4, Fitness_tra: 0
Rule 58: 0206, Class:  0, CF:0.263316, Len:  2, Fitness_tra: 9
Rule 59: 1324, Class:  0, CF:0.697253, Len:  4, Fitness_tra: 19
