------Generation 0------
Rule  1: 1151, Class:  0, CF:0.420871, Len:  4, Fitness_tra: 6
Rule  2: 1631, Class:  1, CF:0.606624, Len:  4, Fitness_tra: 0
Rule  3: 3623, Class:  0, CF:0.416338, Len:  4, Fitness_tra: 0
Rule  4: 5505, Class:  1, CF:0.394347, Len:  3, Fitness_tra: -2
Rule  5: 0455, Class:  0, CF:0.46349, Len:  3, Fitness_tra: 24
Rule  6: 6005, Class:  0, CF:0.267942, Len:  2, Fitness_tra: 13
Rule  7: 4111, Class:  1, CF:0.200413, Len:  4, Fitness_tra: -1
Rule  8: 0005, Class:  0, CF:0.00780905, Len:  1, Fitness_tra: 1
Rule  9: f235, Class:  1, CF:0.648488, Len:  4, Fitness_tra: 0
Rule 10: 2326, Class:  1, CF:0.477543, Len:  4, Fitness_tra: -4
Rule 11: 1114, Class:  1, CF:0.269487, Len:  4, Fitness_tra: -5
Rule 12: 3112, Class:  0, CF:0.118727, Len:  4, Fitness_tra: 0
Rule 13: 5550, Class:  1, CF:0.406517, Len:  3, Fitness_tra: -13
Rule 14: 4056, Class:  0, CF:0.277041, Len:  3, Fitness_tra: 6
Rule 15: 1411, Class:  1, CF:0.252997, Len:  4, Fitness_tra: -4
Rule 16: 1511, Class:  0, CF:0.447298, Len:  4, Fitness_tra: 9
Rule 17: 0602, Class:  0, CF:0.304097, Len:  2, Fitness_tra: 24
Rule 18: 0240, Class:  0, CF:0.020794, Len:  2, Fitness_tra: 0
Rule 19: 3331, Class:  1, CF:0.682293, Len:  4, Fitness_tra: 0
Rule 20: 3119, Class:  0, CF:0.669212, Len:  4, Fitness_tra: 5
Rule 21: 1124, Class:  0, CF:0.401164, Len:  4, Fitness_tra: 18
Rule 22: 2111, Class:  0, CF:0.12947, Len:  4, Fitness_tra: 0
Rule 23: 0005, Class:  0, CF:0.00780905, Len:  1, Fitness_tra: 0
Rule 24: 0000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 25: 9324, Class:  0, CF:0.374121, Len:  4, Fitness_tra: 3
Rule 26: 4611, Class:  1, CF:0.334135, Len:  4, Fitness_tra: -2
Rule 27: 5111, Class:  0, CF:0.492871, Len:  4, Fitness_tra: 11
Rule 28: 1131, Class:  1, CF:0.46843, Len:  4, Fitness_tra: -2
Rule 29: 2611, Class:  1, CF:0.019926, Len:  4, Fitness_tra: 0
Rule 30: 0505, Class:  1, CF:0.314721, Len:  2, Fitness_tra: -29
Rule 31: 0650, Class:  0, CF:0.295927, Len:  2, Fitness_tra: 7
Rule 32: 0029, Class:  0, CF:0.0568469, Len:  2, Fitness_tra: 0
Rule 33: 5141, Class:  0, CF:0.296283, Len:  4, Fitness_tra: 5
Rule 34: 1653, Class:  0, CF:0.412365, Len:  4, Fitness_tra: 0
Rule 35: 2413, Class:  0, CF:0.695352, Len:  4, Fitness_tra: 28
Rule 36: 1411, Class:  1, CF:0.252997, Len:  4, Fitness_tra: 0
Rule 37: 1116, Class:  1, CF:0.397451, Len:  4, Fitness_tra: -2
Rule 38: 0302, Class:  0, CF:0.248434, Len:  2, Fitness_tra: 9
Rule 39: 2971, Class:  0, CF:0.970654, Len:  4, Fitness_tra: 15
Rule 40: 0206, Class:  0, CF:0.240645, Len:  2, Fitness_tra: 20
Rule 41: 1631, Class:  1, CF:0.606624, Len:  4, Fitness_tra: 0
Rule 42: 1111, Class:  1, CF:0.362538, Len:  4, Fitness_tra: 0
Rule 43: 2566, Class:  0, CF:  1, Len:  4, Fitness_tra: 4
Rule 44: 5231, Class:  0, CF:0.972868, Len:  4, Fitness_tra: 19
Rule 45: 0000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 46: 6113, Class:  1, CF:0.553078, Len:  4, Fitness_tra: -5
Rule 47: 1111, Class:  1, CF:0.362538, Len:  4, Fitness_tra: 0
Rule 48: 1621, Class:  0, CF:0.372232, Len:  4, Fitness_tra: 0
Rule 49: 1265, Class:  1, CF:0.390175, Len:  4, Fitness_tra: -1
Rule 50: 5314, Class:  0, CF:0.458442, Len:  4, Fitness_tra: 9
Rule 51: 0052, Class:  0, CF:0.0576048, Len:  2, Fitness_tra: 0
Rule 52: 2123, Class:  1, CF:0.246512, Len:  4, Fitness_tra: -2
Rule 53: 2121, Class:  1, CF:0.159913, Len:  4, Fitness_tra: 0
Rule 54: 1521, Class:  1, CF:0.241753, Len:  4, Fitness_tra: 1
Rule 55: 1111, Class:  1, CF:0.362538, Len:  4, Fitness_tra: 0
Rule 56: 1311, Class:  1, CF:0.422694, Len:  4, Fitness_tra: 0
Rule 57: 1253, Class:  1, CF:0.367177, Len:  4, Fitness_tra: -1
Rule 58: 6514, Class:  0, CF:0.203, Len:  4, Fitness_tra: 0
Rule 59: 132a, Class:  0, CF:0.00261312, Len:  4, Fitness_tra: 0
Rule 60: 0320, Class:  0, CF:0.251222, Len:  2, Fitness_tra: 15
Rule 61: 4443, Class:  0, CF:0.0365548, Len:  4, Fitness_tra: 0
Rule 62: 1212, Class:  1, CF:0.175445, Len:  4, Fitness_tra: 0
Rule 63: 5642, Class:  0, CF:0.467831, Len:  4, Fitness_tra: 3
Rule 64: 6251, Class:  1, CF:0.328613, Len:  4, Fitness_tra: -4
Rule 65: 1f51, Class:  0, CF:0.729186, Len:  4, Fitness_tra: 9
