------Generation 0------
Rule  1: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2836, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule  3: 4030, Class:  0, CF:0.182003, Len:  2, Fitness_tra: 27
Rule  4: 9322, Class:  2, CF:0.626197, Len:  4, Fitness_tra: 7
Rule  5: 1531, Class:  0, CF:0.641834, Len:  4, Fitness_tra: 6
Rule  6: 0003, Class:  0, CF:0.00741905, Len:  1, Fitness_tra: 0
Rule  7: 2315, Class:  1, CF:0.0193548, Len:  4, Fitness_tra: 1
Rule  8: 7611, Class:  1, CF:0.202824, Len:  4, Fitness_tra: 0
Rule  9: 0233, Class:  0, CF:0.774964, Len:  3, Fitness_tra: 18
Rule 10: 3111, Class:  1, CF:0.177491, Len:  4, Fitness_tra: 0
Rule 11: 3522, Class:  2, CF:0.687457, Len:  4, Fitness_tra: 12
Rule 12: 1515, Class:  1, CF:0.109536, Len:  4, Fitness_tra: -1
Rule 13: 15b6, Class:  0, CF:0.722252, Len:  4, Fitness_tra: 3
Rule 14: 2205, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3131, Class:  1, CF:0.310293, Len:  4, Fitness_tra: -2
Rule 16: 1543, Class:  0, CF:0.407587, Len:  4, Fitness_tra: 4
Rule 17: 1a11, Class:  1, CF:0.166803, Len:  4, Fitness_tra: 0
Rule 18: 6524, Class:  2, CF:0.725663, Len:  4, Fitness_tra: 9
Rule 19: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1533, Class:  0, CF:0.825295, Len:  4, Fitness_tra: 1
Rule 21: 6056, Class:  1, CF:0.187675, Len:  3, Fitness_tra: 0
Rule 22: 6560, Class:  1, CF:0.0384155, Len:  3, Fitness_tra: 0
Rule 23: 1213, Class:  0, CF:0.321728, Len:  4, Fitness_tra: 0
Rule 24: 3625, Class:  2, CF:  1, Len:  4, Fitness_tra: 5
Rule 25: 3211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 0455, Class:  2, CF:0.684325, Len:  3, Fitness_tra: 22
Rule 27: 2006, Class:  0, CF:0.39164, Len:  2, Fitness_tra: 38
Rule 28: 1124, Class:  2, CF:0.612614, Len:  4, Fitness_tra: 13
Rule 29: 2156, Class:  1, CF:0.0679504, Len:  4, Fitness_tra: 0
Rule 30: 3114, Class:  2, CF:0.014772, Len:  4, Fitness_tra: 0
Rule 31: 1131, Class:  1, CF:0.177031, Len:  4, Fitness_tra: 0
Rule 32: 0056, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 5f11, Class:  0, CF:0.119506, Len:  4, Fitness_tra: 0
Rule 34: 2121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 4116, Class:  0, CF:0.0313541, Len:  4, Fitness_tra: 0
Rule 36: 1331, Class:  1, CF:0.315578, Len:  4, Fitness_tra: 0
Rule 37: 3111, Class:  1, CF:0.177491, Len:  4, Fitness_tra: 0
Rule 38: 1241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 9621, Class:  1, CF:0.095191, Len:  4, Fitness_tra: 0
Rule 40: 2066, Class:  0, CF:0.89626, Len:  3, Fitness_tra: 8
Rule 41: 354a, Class:  0, CF:0.485601, Len:  4, Fitness_tra: 2
Rule 42: 0620, Class:  2, CF:0.425396, Len:  2, Fitness_tra: 28
Rule 43: 1f12, Class:  2, CF:0.558789, Len:  4, Fitness_tra: 16
Rule 44: 3611, Class:  1, CF:0.208041, Len:  4, Fitness_tra: 0
Rule 45: 1111, Class:  1, CF:0.0861755, Len:  4, Fitness_tra: 0
Rule 46: 1241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 4112, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 050b, Class:  0, CF:0.440806, Len:  2, Fitness_tra: 20
Rule 49: 2131, Class:  0, CF:0.392969, Len:  4, Fitness_tra: 2
Rule 50: 0070, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 3253, Class:  1, CF:0.278823, Len:  4, Fitness_tra: 0
Rule 52: 3116, Class:  1, CF:0.350006, Len:  4, Fitness_tra: -1
Rule 53: 1171, Class:  1, CF:0.0169613, Len:  4, Fitness_tra: 0
Rule 54: 0352, Class:  2, CF:0.912824, Len:  3, Fitness_tra: 28
Rule 55: 1111, Class:  1, CF:0.0861755, Len:  4, Fitness_tra: 0
Rule 56: 1311, Class:  1, CF:0.162982, Len:  4, Fitness_tra: 0
Rule 57: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: f331, Class:  1, CF:0.411663, Len:  4, Fitness_tra: -1
Rule 59: 0320, Class:  2, CF:0.371366, Len:  2, Fitness_tra: 8
Rule 60: 3611, Class:  1, CF:0.208041, Len:  4, Fitness_tra: 0
Rule 61: 2431, Class:  0, CF:0.813361, Len:  4, Fitness_tra: 14
Rule 62: 0b50, Class:  2, CF:0.24609, Len:  2, Fitness_tra: 4
Rule 63: 1141, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 9511, Class:  0, CF:0.991233, Len:  4, Fitness_tra: 27
Rule 66: 1111, Class:  1, CF:0.0861755, Len:  4, Fitness_tra: 0
Rule 67: 1215, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 3211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 5400, Class:  0, CF:0.0557161, Len:  2, Fitness_tra: 5
Rule 70: 0005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 3125, Class:  2, CF:0.985845, Len:  4, Fitness_tra: 16
Rule 72: 5000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1215, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 1111, Class:  1, CF:0.0861755, Len:  4, Fitness_tra: 0
Rule 75: 1511, Class:  0, CF:0.441477, Len:  4, Fitness_tra: 3
Rule 76: 4700, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 2111, Class:  0, CF:0.165409, Len:  4, Fitness_tra: 0
Rule 78: 5111, Class:  0, CF:0.538053, Len:  4, Fitness_tra: 7
Rule 79: 9213, Class:  0, CF:0.991167, Len:  4, Fitness_tra: 1
Rule 80: 6141, Class:  2, CF:0.0413857, Len:  4, Fitness_tra: 0
Rule 81: 6650, Class:  2, CF:0.961866, Len:  3, Fitness_tra: 6
Rule 82: 3020, Class:  2, CF:0.342051, Len:  2, Fitness_tra: 8
Rule 83: 2411, Class:  0, CF:0.60239, Len:  4, Fitness_tra: 23
Rule 84: 3114, Class:  2, CF:0.014772, Len:  4, Fitness_tra: 0
Rule 85: 3231, Class:  0, CF:0.075127, Len:  4, Fitness_tra: 0
Rule 86: 2123, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 1641, Class:  2, CF:0.0901829, Len:  4, Fitness_tra: 0
