------Generation 0------
Rule  1: 1161, Class:  1, CF:0.0893301, Len:  4, Fitness_tra: 0
Rule  2: 1351, Class:  2, CF:0.658634, Len:  4, Fitness_tra: 2
Rule  3: 5642, Class:  2, CF:0.65388, Len:  4, Fitness_tra: 3
Rule  4: 3354, Class:  2, CF:  1, Len:  4, Fitness_tra: 3
Rule  5: 52a1, Class:  0, CF:  1, Len:  4, Fitness_tra: 2
Rule  6: 5211, Class:  0, CF:0.918232, Len:  4, Fitness_tra: 9
Rule  7: 1662, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0255, Class:  2, CF:0.0413852, Len:  3, Fitness_tra: 0
Rule  9: 0005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1112, Class:  2, CF:0.0971373, Len:  4, Fitness_tra: 0
Rule 11: 3411, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 6136, Class:  1, CF:0.496792, Len:  4, Fitness_tra: 2
Rule 13: 2111, Class:  0, CF:0.131384, Len:  4, Fitness_tra: 0
Rule 14: 5211, Class:  0, CF:0.918232, Len:  4, Fitness_tra: 0
Rule 15: 0000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 3500, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1311, Class:  1, CF:0.205971, Len:  4, Fitness_tra: 0
Rule 18: 1222, Class:  2, CF:0.239138, Len:  4, Fitness_tra: 9
Rule 19: 2211, Class:  0, CF:0.757815, Len:  4, Fitness_tra: 2
Rule 20: 6112, Class:  2, CF:0.587696, Len:  4, Fitness_tra: 7
Rule 21: 3004, Class:  2, CF:0.282259, Len:  2, Fitness_tra: 22
Rule 22: 1116, Class:  1, CF:0.164033, Len:  4, Fitness_tra: 0
Rule 23: 3664, Class:  2, CF:0.0604717, Len:  4, Fitness_tra: 0
Rule 24: 0500, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 5524, Class:  0, CF:0.41402, Len:  4, Fitness_tra: 0
Rule 26: 1111, Class:  1, CF:0.0465451, Len:  4, Fitness_tra: 0
Rule 27: 1311, Class:  1, CF:0.205971, Len:  4, Fitness_tra: 0
Rule 28: 4111, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0050, Class:  2, CF:0.0128079, Len:  1, Fitness_tra: 0
Rule 30: 5344, Class:  2, CF:0.460335, Len:  4, Fitness_tra: 0
Rule 31: 0602, Class:  2, CF:0.384396, Len:  2, Fitness_tra: 14
Rule 32: 0053, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 161d, Class:  2, CF:0.189224, Len:  4, Fitness_tra: 0
Rule 34: 5513, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 35: 0050, Class:  2, CF:0.0128079, Len:  1, Fitness_tra: 0
Rule 36: 0206, Class:  0, CF:0.437691, Len:  2, Fitness_tra: 14
Rule 37: 0005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 5020, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1b21, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 4231, Class:  0, CF:0.823509, Len:  4, Fitness_tra: 11
Rule 41: 1116, Class:  1, CF:0.164033, Len:  4, Fitness_tra: 0
Rule 42: 2111, Class:  0, CF:0.131384, Len:  4, Fitness_tra: 0
Rule 43: 5500, Class:  0, CF:0.382915, Len:  2, Fitness_tra: 6
Rule 44: 1f24, Class:  2, CF:  1, Len:  4, Fitness_tra: 2
Rule 45: 5045, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0004, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
