------Generation 0------
Rule  1: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule  2: 15615c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 88a3521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 316f119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 8213d25, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 116a337, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 17fa515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 3e66581, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 21aa161, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 111f113, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 5233122, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 12: 0000d00, Class:  1, CF:0.322, Len:  1, Fitness_tra: -157
Rule 13: 9900900, Class:  1, CF:0.997473, Len:  3, Fitness_tra: 4
Rule 14: 113a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 15311b1, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 16: 211fd51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1516137, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 18: 11aa585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 51afd88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 55ff521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 21a3585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 55fa512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 24: 553a118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11a12c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 25fa512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 111a585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2166d21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: dc3a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 11aae11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 13f6111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 5131518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1761551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 256a512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 25a6d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 2116d85, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
