------Generation 0------
Rule  1: 516311c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: d13a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  3: 31f31e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 183f115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 11fad21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  7: 0000600, Class:  0, CF:0.249507, Len:  1, Fitness_tra: 16
Rule  8: 1341111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 951ad12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 12111c5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 351f9b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 0000900, Class:  1, CF:0.900845, Len:  1, Fitness_tra: 4
Rule 13: 0900070, Class:  1, CF:0.66724, Len:  2, Fitness_tra: -11
Rule 14: 11a3363, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 5166118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 17: 1111111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 18: 00000d4, Class:  0, CF:0.18991, Len:  2, Fitness_tra: 0
Rule 19: 3163117, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 551f511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0a00f0d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 5d1f181, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 4161582, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11111d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 11fa118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 116f511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 11aa151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 65aa911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 55a1111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 5913d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 156a132, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 32: 12ffe13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 3333181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 15f6313, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 35: 121631e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 116f18d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 2116531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 15af363, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 3516112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000c, Class:  0, CF:0.257213, Len:  1, Fitness_tra: 93
Rule 41: 11af111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 42: 3563331, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 81f3d82, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 95a6185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 21a61c1, Class:  0, CF:  1, Len:  7, Fitness_tra: 1
Rule 46: 9561111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 47: e161158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 126a11c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 12f3d88, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 1516122, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 51: 22f3382, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 52: 31aad31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 51aa33e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 5536188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 00000d0, Class:  0, CF:0.238655, Len:  1, Fitness_tra: 48
Rule 56: 2211521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 11afd91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 13ff13e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 116f228, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 11f6b21, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 61: 353f113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
