------Generation 0------
Rule  1: 95ffd15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111f111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  3: 1136151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 116ae21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 283ad15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 75ff551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11ff151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1131134, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule  9: 11f3111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 10: 21aa131, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 11: 41ff588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: e3f1121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1161225, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 25fa111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 15: 00000d4, Class:  0, CF:0.186601, Len:  2, Fitness_tra: 1
Rule 16: 0000080, Class:  1, CF:0.0940496, Len:  1, Fitness_tra: -49
Rule 17: 0000600, Class:  0, CF:0.267449, Len:  1, Fitness_tra: 20
Rule 18: 113a921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 1131916, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1166d11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 196f311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 553a111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 23: 11af111, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 24: 1176191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1136215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 9df1531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: e1af511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 7161521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1116211, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 30: 81fa5d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: ed161e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 1216588, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
Rule 34: 91fae31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11fad18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 15661e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e3aa1d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 0000000, Class:  0, CF:1.11022e-16, Len:  0, Fitness_tra: 0
