------Generation 0------
Rule  1: 000020000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 85683b512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0d0000000, Class:  6, CF:0.155589, Len:  1, Fitness_tra: -10
Rule 11: c11334c11, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 45211b824, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0c0000000, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 45b514822, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: c1e552222, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000080, Class:  6, CF:0.418496, Len:  1, Fitness_tra: 10
Rule 18: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 0d0700000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 030000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: cc6252c17, Class:  4, CF:0.95305, Len:  9, Fitness_tra: 0
Rule 27: c30000000, Class:  4, CF:0.208848, Len:  2, Fitness_tra: -75
Rule 28: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0c00e0000, Class:  5, CF:0.802668, Len:  2, Fitness_tra: 0
Rule 30: 811134c52, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule 31: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 21b114552, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 28189717b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 112157811, Class:  4, CF:0.919097, Len:  9, Fitness_tra: 0
Rule 36: 8815d2121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 8c95dbcb2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 400cf5200, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 221212874, Class:  1, CF:0.772555, Len:  9, Fitness_tra: 0
Rule 41: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: d00000000, Class:  1, CF:0.387239, Len:  1, Fitness_tra: 3
Rule 44: 5c0000000, Class:  1, CF:0.124526, Len:  2, Fitness_tra: 0
Rule 45: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 2c6892277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 81659452b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 500000000, Class:  1, CF:0.574856, Len:  1, Fitness_tra: 2
Rule 53: 7c0a4f4b0, Class:  2, CF:0.993757, Len:  7, Fitness_tra: 1
Rule 54: 1515db171, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 55: 440000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 00d000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 191d31211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 00d000000, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 857557211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 400000400, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 500000000, Class:  1, CF:0.574856, Len:  1, Fitness_tra: 0
Rule 66: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000d00000, Class:  6, CF:0.202011, Len:  1, Fitness_tra: 1
Rule 68: 85b131251, Class:  6, CF:  1, Len:  9, Fitness_tra: 0
Rule 69: 811131114, Class:  1, CF:0.45714, Len:  9, Fitness_tra: 0
Rule 70: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: c51554277, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 82955417b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 813112c12, Class:  4, CF:0.50175, Len:  9, Fitness_tra: 0
Rule 77: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 305070900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 18e117141, Class:  0, CF:0.065405, Len:  9, Fitness_tra: 0
Rule 80: 00a000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 705008780, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 000a000e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000e0000, Class:  5, CF:0.612888, Len:  1, Fitness_tra: 0
Rule 87: 020000300, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 857197c54, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 000000000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
