------Generation 0------
Rule  1: 8c7, Class:  0, CF:0.470325, Len:  3, Fitness_tra: -1
Rule  2: 887, Class:  0, CF:0.346482, Len:  3, Fitness_tra: -2
Rule  3: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  4: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  5: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  6: 5e4, Class:  0, CF:0.380645, Len:  3, Fitness_tra: 0
Rule  7: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule  8: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  9: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 10: 050, Class:  1, CF:0.0236736, Len:  1, Fitness_tra: 0
Rule 11: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: -1
Rule 12: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 13: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 14: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 15: 56b, Class:  0, CF:0.515826, Len:  3, Fitness_tra: 1
Rule 16: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 17: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 18: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: 0
Rule 19: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 20: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 21: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 22: c11, Class:  1, CF:0.0500674, Len:  3, Fitness_tra: 8
Rule 23: 1b7, Class:  0, CF:0.155156, Len:  3, Fitness_tra: 0
Rule 24: 2c2, Class:  0, CF:0.605895, Len:  3, Fitness_tra: 0
Rule 25: d00, Class:  1, CF:0.0208714, Len:  1, Fitness_tra: -1
Rule 26: d47, Class:  0, CF:0.349105, Len:  3, Fitness_tra: 0
Rule 27: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 28: 147, Class:  0, CF:0.361765, Len:  3, Fitness_tra: -2
Rule 29: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 30: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 31: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 32: 257, Class:  0, CF:0.342031, Len:  3, Fitness_tra: 0
Rule 33: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 34: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 35: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 36: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 37: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 38: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 39: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 40: 1b4, Class:  0, CF:0.234457, Len:  3, Fitness_tra: 0
Rule 41: 212, Class:  0, CF:0.524392, Len:  3, Fitness_tra: 0
Rule 42: 400, Class:  0, CF:0.0306062, Len:  1, Fitness_tra: -12
Rule 43: 121, Class:  1, CF:0.0201083, Len:  3, Fitness_tra: 0
Rule 44: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 45: 51b, Class:  0, CF:0.439366, Len:  3, Fitness_tra: 0
Rule 46: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 47: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 48: 008, Class:  0, CF:0.461281, Len:  1, Fitness_tra: -1
Rule 49: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 50: 334, Class:  0, CF:0.062359, Len:  3, Fitness_tra: 0
Rule 51: 2b1, Class:  1, CF:0.203641, Len:  3, Fitness_tra: 47
Rule 52: c00, Class:  0, CF:0.0175429, Len:  1, Fitness_tra: 0
Rule 53: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 54: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 55: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 56: 122, Class:  0, CF:0.325732, Len:  3, Fitness_tra: 0
Rule 57: d81, Class:  1, CF:0.200805, Len:  3, Fitness_tra: 20
Rule 58: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 59: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 60: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 61: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 62: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 63: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 64: 114, Class:  0, CF:0.3577, Len:  3, Fitness_tra: 0
Rule 65: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 66: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 67: 080, Class:  0, CF:0.0675456, Len:  1, Fitness_tra: -33
Rule 68: e34, Class:  1, CF:0.0515926, Len:  3, Fitness_tra: 0
Rule 69: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 70: 33b, Class:  0, CF:0.0814077, Len:  3, Fitness_tra: 0
Rule 71: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 72: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 73: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 74: 252, Class:  0, CF:0.171154, Len:  3, Fitness_tra: 0
Rule 75: 132, Class:  0, CF:0.449516, Len:  3, Fitness_tra: 1
Rule 76: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 77: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 78: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 79: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 80: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 81: 9e7, Class:  0, CF:0.272107, Len:  3, Fitness_tra: 0
Rule 82: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 83: 14b, Class:  0, CF:0.286237, Len:  3, Fitness_tra: -4
Rule 84: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 85: 112, Class:  0, CF:0.441988, Len:  3, Fitness_tra: 0
Rule 86: 008, Class:  0, CF:0.461281, Len:  1, Fitness_tra: 0
Rule 87: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 88: 400, Class:  0, CF:0.0306062, Len:  1, Fitness_tra: 0
Rule 89: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 90: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 91: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 92: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 93: 852, Class:  0, CF:0.112154, Len:  3, Fitness_tra: 0
Rule 94: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 95: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 96: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 97: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 98: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 99: 197, Class:  0, CF:0.173796, Len:  3, Fitness_tra: -1
Rule100: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:46.5455
------Result------
Miss_rate(tra)	:46.5455
Miss_rate(tst)	:45.1613
ARL				:1.04

------Generation 0------
Rule  1: 2b1, Class:  1, CF:0.203641, Len:  3, Fitness_tra: 38
Rule  2: d81, Class:  1, CF:0.200805, Len:  3, Fitness_tra: 22
Rule  3: c11, Class:  1, CF:0.0500674, Len:  3, Fitness_tra: 9
Rule  4: 132, Class:  0, CF:0.449516, Len:  3, Fitness_tra: 0
Rule  5: 56b, Class:  0, CF:0.515826, Len:  3, Fitness_tra: 1
Rule  6: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  7: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  8: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule  9: 050, Class:  1, CF:0.0236736, Len:  1, Fitness_tra: 0
Rule 10: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 11: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 12: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 13: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 14: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
Rule 15: 000, Class:  0, CF:7.77156e-16, Len:  0, Fitness_tra: 0
