------Generation 0------
Rule  1: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 98121, Class:  1, CF:0.478474, Len:  5, Fitness_tra: 0
Rule  4: 52411, Class:  1, CF:0.166514, Len:  5, Fitness_tra: 0
Rule  5: d54b7, Class:  1, CF:0.353903, Len:  5, Fitness_tra: 0
Rule  6: 58174, Class:  0, CF:0.638688, Len:  5, Fitness_tra: 0
Rule  7: 38414, Class:  1, CF:0.981573, Len:  5, Fitness_tra: 0
Rule  8: 111b7, Class:  2, CF:0.819619, Len:  5, Fitness_tra: 0
Rule  9: 0b000, Class:  0, CF:0.0428816, Len:  1, Fitness_tra: 48
Rule 10: 11112, Class:  2, CF:0.597323, Len:  5, Fitness_tra: 0
Rule 11: 51247, Class:  2, CF:0.933213, Len:  5, Fitness_tra: 0
Rule 12: 21122, Class:  2, CF:0.980441, Len:  5, Fitness_tra: 2
Rule 13: 8172b, Class:  2, CF:0.773543, Len:  5, Fitness_tra: 0
Rule 14: 9884b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 15: 11111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 31111, Class:  1, CF:0.287866, Len:  5, Fitness_tra: -2
Rule 17: 12cb4, Class:  1, CF:0.941246, Len:  5, Fitness_tra: 0
Rule 18: 91774, Class:  2, CF:0.980583, Len:  5, Fitness_tra: 0
Rule 19: 51172, Class:  2, CF:0.987337, Len:  5, Fitness_tra: 2
Rule 20: 952b1, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 12121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: d2441, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 11221, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 32b22, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 911b1, Class:  2, CF:0.967563, Len:  5, Fitness_tra: 6
Rule 27: 342c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00500, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule 29: 51122, Class:  2, CF:0.990091, Len:  5, Fitness_tra: 0
Rule 30: 1212b, Class:  2, CF:0.458064, Len:  5, Fitness_tra: 0
Rule 31: 95c22, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 32: 1111b, Class:  2, CF:0.20195, Len:  5, Fitness_tra: 1
Rule 33: 91211, Class:  2, CF:0.036388, Len:  5, Fitness_tra: 0
