------Generation 0------
Rule  1: 9221b, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2131b, Class:  2, CF:0.491743, Len:  5, Fitness_tra: 0
Rule  3: d117b, Class:  2, CF:0.941378, Len:  5, Fitness_tra: 1
Rule  4: 58442, Class:  0, CF:0.21543, Len:  5, Fitness_tra: 0
Rule  5: 81111, Class:  0, CF:0.0142932, Len:  5, Fitness_tra: 0
Rule  6: d8774, Class:  0, CF:0.79786, Len:  5, Fitness_tra: 0
Rule  7: 04008, Class:  2, CF:  1, Len:  2, Fitness_tra: 2
Rule  8: 51212, Class:  2, CF:0.752119, Len:  5, Fitness_tra: 0
Rule  9: 11847, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 1c41b, Class:  0, CF:0.222123, Len:  5, Fitness_tra: 0
Rule 11: 151b7, Class:  1, CF:0.842442, Len:  5, Fitness_tra: 0
Rule 12: 85272, Class:  1, CF:0.545487, Len:  5, Fitness_tra: 0
Rule 13: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 31272, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: d227b, Class:  2, CF:0.399179, Len:  5, Fitness_tra: 0
Rule 16: 00400, Class:  1, CF:0.0505621, Len:  1, Fitness_tra: 6
Rule 17: 9111b, Class:  2, CF:0.843411, Len:  5, Fitness_tra: 1
Rule 18: 17411, Class:  0, CF:0.183515, Len:  5, Fitness_tra: -1
Rule 19: 92477, Class:  2, CF:0.777312, Len:  5, Fitness_tra: 0
Rule 20: d5147, Class:  0, CF:0.234714, Len:  5, Fitness_tra: 0
Rule 21: 51c47, Class:  1, CF:0.169769, Len:  5, Fitness_tra: 0
Rule 22: 11542, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 182b2, Class:  1, CF:0.58838, Len:  5, Fitness_tra: 0
Rule 25: 11222, Class:  2, CF:0.92642, Len:  5, Fitness_tra: 0
Rule 26: 81271, Class:  2, CF:0.372923, Len:  5, Fitness_tra: 0
Rule 27: 04b08, Class:  2, CF:  1, Len:  3, Fitness_tra: 0
Rule 28: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 3227b, Class:  1, CF:0.820682, Len:  5, Fitness_tra: 0
Rule 30: 58171, Class:  0, CF:0.114811, Len:  5, Fitness_tra: 0
Rule 31: 822b2, Class:  2, CF:0.864595, Len:  5, Fitness_tra: 0
Rule 32: 32112, Class:  1, CF:0.142666, Len:  5, Fitness_tra: 0
Rule 33: d2272, Class:  2, CF:0.914074, Len:  5, Fitness_tra: 0
