------Generation 0------
Rule  1: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule  2: 51171, Class:  2, CF:0.913352, Len:  5, Fitness_tra: 0
Rule  3: dc741, Class:  0, CF:0.770618, Len:  5, Fitness_tra: 0
Rule  4: 111bb, Class:  2, CF:0.716572, Len:  5, Fitness_tra: 0
Rule  5: 11572, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  6: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 31411, Class:  1, CF:0.709839, Len:  5, Fitness_tra: 0
Rule  8: 117b2, Class:  2, CF:0.91398, Len:  5, Fitness_tra: 0
Rule  9: e2442, Class:  2, CF:0.827543, Len:  5, Fitness_tra: 0
Rule 10: 9111b, Class:  2, CF:0.90713, Len:  5, Fitness_tra: 3
Rule 11: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 34bc1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 17711, Class:  0, CF:0.396421, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51c71, Class:  1, CF:0.886533, Len:  5, Fitness_tra: 0
Rule 16: e5111, Class:  1, CF:  1, Len:  5, Fitness_tra: 2
Rule 17: 55222, Class:  1, CF:0.939758, Len:  5, Fitness_tra: 0
Rule 18: 12111, Class:  1, CF:0.250868, Len:  5, Fitness_tra: 6
Rule 19: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 82747, Class:  2, CF:0.306422, Len:  5, Fitness_tra: 0
Rule 21: 135bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 34222, Class:  1, CF:0.565812, Len:  5, Fitness_tra: 0
Rule 23: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule 24: 15117, Class:  1, CF:0.956048, Len:  5, Fitness_tra: 0
Rule 25: 5c142, Class:  0, CF:0.401731, Len:  5, Fitness_tra: 0
Rule 26: 58141, Class:  1, CF:0.165671, Len:  5, Fitness_tra: 0
Rule 27: 3c17b, Class:  1, CF:0.067225, Len:  5, Fitness_tra: 0
Rule 28: 981b1, Class:  1, CF:0.653767, Len:  5, Fitness_tra: 0
Rule 29: 91147, Class:  2, CF:0.993979, Len:  5, Fitness_tra: 0
Rule 30: 9817b, Class:  1, CF:0.425494, Len:  5, Fitness_tra: 0
Rule 31: 32422, Class:  1, CF:0.767186, Len:  5, Fitness_tra: 0
Rule 32: 511b4, Class:  2, CF:0.966083, Len:  5, Fitness_tra: 0
Rule 33: 04b00, Class:  0, CF:0.0870395, Len:  2, Fitness_tra: 1
Rule 34: 32144, Class:  1, CF:0.0701223, Len:  5, Fitness_tra: 0
Rule 35: 582b1, Class:  1, CF:0.456589, Len:  5, Fitness_tra: 0
Rule 36: 31421, Class:  1, CF:0.61135, Len:  5, Fitness_tra: 0
Rule 37: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 38: dcc12, Class:  1, CF:0.662188, Len:  5, Fitness_tra: 0
Rule 39: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 15212, Class:  1, CF:0.991827, Len:  5, Fitness_tra: 0
Rule 41: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2147b, Class:  2, CF:0.797751, Len:  5, Fitness_tra: 0
Rule 43: 11772, Class:  2, CF:0.916213, Len:  5, Fitness_tra: 0
Rule 44: 154b7, Class:  1, CF:0.973777, Len:  5, Fitness_tra: 0
Rule 45: d87b4, Class:  0, CF:0.678452, Len:  5, Fitness_tra: 0
Rule 46: 9c111, Class:  0, CF:0.327748, Len:  5, Fitness_tra: 0
Rule 47: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1c177, Class:  0, CF:0.739864, Len:  5, Fitness_tra: 0
Rule 49: 1112b, Class:  2, CF:0.9003, Len:  5, Fitness_tra: 0
Rule 50: 11c17, Class:  1, CF:0.967071, Len:  5, Fitness_tra: 0
Rule 51: 511b2, Class:  2, CF:0.984455, Len:  5, Fitness_tra: 3
Rule 52: 31274, Class:  1, CF:0.00594229, Len:  5, Fitness_tra: 0
Rule 53: 11147, Class:  2, CF:0.866175, Len:  5, Fitness_tra: 0
Rule 54: 11171, Class:  2, CF:0.391114, Len:  5, Fitness_tra: 0
Rule 55: 07000, Class:  0, CF:0.226546, Len:  1, Fitness_tra: 105
Rule 56: 3824b, Class:  1, CF:0.991454, Len:  5, Fitness_tra: 0
Rule 57: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11724, Class:  2, CF:0.877324, Len:  5, Fitness_tra: 0
Rule 59: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 58124, Class:  0, CF:0.376257, Len:  5, Fitness_tra: 0
Rule 61: 9117b, Class:  2, CF:0.992036, Len:  5, Fitness_tra: 0
Rule 62: d5772, Class:  1, CF:0.37702, Len:  5, Fitness_tra: 0
Rule 63: 34414, Class:  1, CF:0.396778, Len:  5, Fitness_tra: 0
Rule 64: 31c22, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 31412, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 21122, Class:  2, CF:0.982474, Len:  5, Fitness_tra: 0
Rule 67: 11222, Class:  2, CF:0.930351, Len:  5, Fitness_tra: 0
Rule 68: 3814b, Class:  1, CF:0.915869, Len:  5, Fitness_tra: 0
Rule 69: 2312b, Class:  2, CF:0.97636, Len:  5, Fitness_tra: 3
Rule 70: 9c772, Class:  0, CF:0.191642, Len:  5, Fitness_tra: 0
Rule 71: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12712, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: e1cbb, Class:  1, CF:0.805738, Len:  5, Fitness_tra: 0
Rule 74: 58414, Class:  1, CF:0.228649, Len:  5, Fitness_tra: 0
Rule 75: 3541b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 55274, Class:  1, CF:0.939758, Len:  5, Fitness_tra: 0
Rule 78: 95472, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 11541, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 9c147, Class:  0, CF:0.873694, Len:  5, Fitness_tra: 0
Rule 81: 23171, Class:  2, CF:0.885868, Len:  5, Fitness_tra: 6
Rule 82: 15411, Class:  1, CF:0.996643, Len:  5, Fitness_tra: 13
Rule 83: 1314b, Class:  2, CF:0.90475, Len:  5, Fitness_tra: 0
Rule 84: 182b2, Class:  1, CF:0.62694, Len:  5, Fitness_tra: 0
Rule 85: 121b7, Class:  2, CF:0.243995, Len:  5, Fitness_tra: 0
Rule 86: 18122, Class:  0, CF:0.00921615, Len:  5, Fitness_tra: 0
Rule 87: 92274, Class:  2, CF:0.831818, Len:  5, Fitness_tra: 0
Rule 88: 51247, Class:  2, CF:0.924154, Len:  5, Fitness_tra: 0
Rule 89: 18112, Class:  1, CF:0.148257, Len:  5, Fitness_tra: 0
Rule 90: 04b00, Class:  0, CF:0.0870395, Len:  2, Fitness_tra: 0
Rule 91: 58112, Class:  0, CF:0.180429, Len:  5, Fitness_tra: 0
Rule 92: 98177, Class:  1, CF:0.425494, Len:  5, Fitness_tra: 0
Rule 93: 14281, Class:  2, CF:  1, Len:  5, Fitness_tra: 0
Rule 94: 00400, Class:  1, CF:0.0695508, Len:  1, Fitness_tra: 0
Rule 95: 55712, Class:  1, CF:0.962769, Len:  5, Fitness_tra: 0
Rule 96: 11214, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: d5121, Class:  1, CF:0.769994, Len:  5, Fitness_tra: 0
Rule 98: 18227, Class:  1, CF:0.62694, Len:  5, Fitness_tra: 0
Rule 99: 17b11, Class:  0, CF:0.461082, Len:  5, Fitness_tra: 1
Rule100: 3542b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:7.55814
------Result------
Miss_rate(tra)	:7.55814
Miss_rate(tst)	:13.9535
ARL				:4.79762

------Generation 0------
Rule  1: 07000, Class:  0, CF:0.226546, Len:  1, Fitness_tra: 106
Rule  2: 15411, Class:  1, CF:0.996643, Len:  5, Fitness_tra: 9
Rule  3: 23171, Class:  2, CF:0.885868, Len:  5, Fitness_tra: 6
Rule  4: 12111, Class:  1, CF:0.250868, Len:  5, Fitness_tra: 0
Rule  5: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  6: 511b2, Class:  2, CF:0.984455, Len:  5, Fitness_tra: 3
Rule  7: 9111b, Class:  2, CF:0.90713, Len:  5, Fitness_tra: 3
Rule  8: 2312b, Class:  2, CF:0.97636, Len:  5, Fitness_tra: 3
Rule  9: e5111, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 17b11, Class:  0, CF:0.461082, Len:  5, Fitness_tra: 1
Rule 11: 04b00, Class:  0, CF:0.0870395, Len:  2, Fitness_tra: 0
Rule 12: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule 13: 17711, Class:  0, CF:0.396421, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51c71, Class:  1, CF:0.886533, Len:  5, Fitness_tra: 0
Rule 16: dc741, Class:  0, CF:0.770618, Len:  5, Fitness_tra: 0
Rule 17: 55222, Class:  1, CF:0.939758, Len:  5, Fitness_tra: 0
Rule 18: 111bb, Class:  2, CF:0.716572, Len:  5, Fitness_tra: 0
Rule 19: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 82747, Class:  2, CF:0.306422, Len:  5, Fitness_tra: 0
Rule 21: 135bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 34222, Class:  1, CF:0.565812, Len:  5, Fitness_tra: 0
Rule 23: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule 24: 15117, Class:  1, CF:0.956048, Len:  5, Fitness_tra: 0
Rule 25: 5c142, Class:  0, CF:0.401731, Len:  5, Fitness_tra: 0
Rule 26: 58141, Class:  1, CF:0.165671, Len:  5, Fitness_tra: 0
Rule 27: 3c17b, Class:  1, CF:0.067225, Len:  5, Fitness_tra: 0
Rule 28: 981b1, Class:  1, CF:0.653767, Len:  5, Fitness_tra: 0
Rule 29: 91147, Class:  2, CF:0.993979, Len:  5, Fitness_tra: 0
Rule 30: 9817b, Class:  1, CF:0.425494, Len:  5, Fitness_tra: 0
Rule 31: 32422, Class:  1, CF:0.767186, Len:  5, Fitness_tra: 0
Rule 32: 511b4, Class:  2, CF:0.966083, Len:  5, Fitness_tra: 0
Rule 33: 11572, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 32144, Class:  1, CF:0.0701223, Len:  5, Fitness_tra: 0
Rule 35: 582b1, Class:  1, CF:0.456589, Len:  5, Fitness_tra: 0
Rule 36: 31421, Class:  1, CF:0.61135, Len:  5, Fitness_tra: 0
Rule 37: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: dcc12, Class:  1, CF:0.662188, Len:  5, Fitness_tra: 0
Rule 39: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 15212, Class:  1, CF:0.991827, Len:  5, Fitness_tra: 0
Rule 41: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2147b, Class:  2, CF:0.797751, Len:  5, Fitness_tra: 0
Rule 43: 11772, Class:  2, CF:0.916213, Len:  5, Fitness_tra: 0
Rule 44: 154b7, Class:  1, CF:0.973777, Len:  5, Fitness_tra: 0
Rule 45: d87b4, Class:  0, CF:0.678452, Len:  5, Fitness_tra: 0
Rule 46: 9c111, Class:  0, CF:0.327748, Len:  5, Fitness_tra: 0
Rule 47: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1c177, Class:  0, CF:0.739864, Len:  5, Fitness_tra: 0
Rule 49: 1112b, Class:  2, CF:0.9003, Len:  5, Fitness_tra: 0
Rule 50: 11c17, Class:  1, CF:0.967071, Len:  5, Fitness_tra: 0
Rule 51: 31411, Class:  1, CF:0.709839, Len:  5, Fitness_tra: 0
Rule 52: 31274, Class:  1, CF:0.00594229, Len:  5, Fitness_tra: 0
Rule 53: 11147, Class:  2, CF:0.866175, Len:  5, Fitness_tra: 0
Rule 54: 11171, Class:  2, CF:0.391114, Len:  5, Fitness_tra: 0
Rule 55: 117b2, Class:  2, CF:0.91398, Len:  5, Fitness_tra: 0
Rule 56: 3824b, Class:  1, CF:0.991454, Len:  5, Fitness_tra: 0
Rule 57: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 11724, Class:  2, CF:0.877324, Len:  5, Fitness_tra: 0
Rule 59: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 58124, Class:  0, CF:0.376257, Len:  5, Fitness_tra: 0
Rule 61: 9117b, Class:  2, CF:0.992036, Len:  5, Fitness_tra: 0
Rule 62: d5772, Class:  1, CF:0.37702, Len:  5, Fitness_tra: 0
Rule 63: 34414, Class:  1, CF:0.396778, Len:  5, Fitness_tra: 0
Rule 64: 31c22, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 65: 31412, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 21122, Class:  2, CF:0.982474, Len:  5, Fitness_tra: 0
Rule 67: 11222, Class:  2, CF:0.930351, Len:  5, Fitness_tra: 0
Rule 68: 3814b, Class:  1, CF:0.915869, Len:  5, Fitness_tra: 0
Rule 69: e2442, Class:  2, CF:0.827543, Len:  5, Fitness_tra: 0
Rule 70: 9c772, Class:  0, CF:0.191642, Len:  5, Fitness_tra: 0
Rule 71: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 12712, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: e1cbb, Class:  1, CF:0.805738, Len:  5, Fitness_tra: 0
Rule 74: 58414, Class:  1, CF:0.228649, Len:  5, Fitness_tra: 0
Rule 75: 3541b, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 76: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 55274, Class:  1, CF:0.939758, Len:  5, Fitness_tra: 0
Rule 78: 95472, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 79: 11541, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 80: 9c147, Class:  0, CF:0.873694, Len:  5, Fitness_tra: 0
Rule 81: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 04000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 04b00, Class:  0, CF:0.0870395, Len:  0, Fitness_tra: 0
Rule 86: 5c221, Class:  0, CF:0.562229, Len:  5, Fitness_tra: 0
Rule 87: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 91221, Class:  2, CF:0.900118, Len:  5, Fitness_tra: 0
Rule 90: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 17213, Class:  0, CF:0.259442, Len:  5, Fitness_tra: 0
Rule 92: 11772, Class:  2, CF:0.916213, Len:  0, Fitness_tra: 0
Rule 93: e12b2, Class:  2, CF:0.986667, Len:  5, Fitness_tra: 0
Rule 94: 08200, Class:  1, CF:0.850284, Len:  2, Fitness_tra: 13
Rule 95: 931b2, Class:  2, CF:0.996785, Len:  5, Fitness_tra: 0
Rule 96: dc321, Class:  0, CF:0.815177, Len:  5, Fitness_tra: 0
Rule 97: 15214, Class:  1, CF:0.991827, Len:  5, Fitness_tra: 0
Rule 98: 91147, Class:  2, CF:0.993979, Len:  0, Fitness_tra: 0
Rule 99: 55b22, Class:  1, CF:0.891456, Len:  5, Fitness_tra: 0
Rule100: 94abc, Class:  2, CF:0.999861, Len:  5, Fitness_tra: 0
------Current------
Miss_rate(tra)	:7.55814
------Result------
Miss_rate(tra)	:7.55814
Miss_rate(tst)	:6.97674
ARL				:4.83117

------Generation 1------
Rule  1: 07000, Class:  0, CF:0.226546, Len:  1, Fitness_tra: 106
Rule  2: 15411, Class:  1, CF:0.996643, Len:  5, Fitness_tra: 9
Rule  3: 23171, Class:  2, CF:0.885868, Len:  5, Fitness_tra: 6
Rule  4: 12111, Class:  1, CF:0.250868, Len:  5, Fitness_tra: 0
Rule  5: a4000, Class:  1, CF:  1, Len:  2, Fitness_tra: 1
Rule  6: 511b2, Class:  2, CF:0.984455, Len:  5, Fitness_tra: 3
Rule  7: 9111b, Class:  2, CF:0.90713, Len:  5, Fitness_tra: 3
Rule  8: 2312b, Class:  2, CF:0.97636, Len:  5, Fitness_tra: 3
Rule  9: e5111, Class:  1, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 17b11, Class:  0, CF:0.461082, Len:  5, Fitness_tra: 1
Rule 11: 04b00, Class:  0, CF:0.0870395, Len:  2, Fitness_tra: 0
Rule 12: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule 13: 17711, Class:  0, CF:0.396421, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51c71, Class:  1, CF:0.886533, Len:  5, Fitness_tra: 0
Rule 16: dc741, Class:  0, CF:0.770618, Len:  5, Fitness_tra: 0
Rule 17: 55222, Class:  1, CF:0.939758, Len:  5, Fitness_tra: 0
Rule 18: 111bb, Class:  2, CF:0.716572, Len:  5, Fitness_tra: 0
Rule 19: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 82747, Class:  2, CF:0.306422, Len:  5, Fitness_tra: 0
Rule 21: 135bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 34222, Class:  1, CF:0.565812, Len:  5, Fitness_tra: 0
Rule 23: 11141, Class:  2, CF:0.508946, Len:  5, Fitness_tra: 0
Rule 24: 15117, Class:  1, CF:0.956048, Len:  5, Fitness_tra: 0
Rule 25: 5c142, Class:  0, CF:0.401731, Len:  5, Fitness_tra: 0
