------Generation 0------
Rule  1: d5cb7, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 18247, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 1c444, Class:  0, CF:0.856918, Len:  5, Fitness_tra: 0
Rule  4: 95474, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  5: 21174, Class:  1, CF:0.959697, Len:  5, Fitness_tra: 3
Rule  6: e4211, Class:  0, CF:0.148305, Len:  5, Fitness_tra: 0
Rule  7: 92221, Class:  1, CF:0.556167, Len:  5, Fitness_tra: 0
Rule  8: 91c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  9: 9d1bb, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 10: 55211, Class:  0, CF:  1, Len:  5, Fitness_tra: 1
Rule 11: 95c47, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 12: 121b7, Class:  1, CF:0.474532, Len:  5, Fitness_tra: 0
Rule 13: 12712, Class:  1, CF:0.131671, Len:  5, Fitness_tra: 0
Rule 14: d1241, Class:  1, CF:0.726035, Len:  5, Fitness_tra: 0
Rule 15: e1211, Class:  1, CF:0.588897, Len:  5, Fitness_tra: 0
Rule 16: 51472, Class:  1, CF:0.979287, Len:  5, Fitness_tra: 0
Rule 17: 51112, Class:  1, CF:0.881063, Len:  5, Fitness_tra: 2
Rule 18: 38214, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 19: 9541b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: d812b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 21: 11141, Class:  1, CF:0.650759, Len:  5, Fitness_tra: 0
Rule 22: 98c14, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 23: 51214, Class:  1, CF:0.673622, Len:  5, Fitness_tra: 0
Rule 24: 12717, Class:  0, CF:0.396293, Len:  5, Fitness_tra: 0
Rule 25: 91272, Class:  1, CF:0.990455, Len:  5, Fitness_tra: 0
Rule 26: 15472, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 27: dc447, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 28: 1547b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 29: 51217, Class:  1, CF:0.558228, Len:  5, Fitness_tra: 0
Rule 30: 122b1, Class:  0, CF:0.716507, Len:  5, Fitness_tra: 0
Rule 31: 52221, Class:  1, CF:0.321334, Len:  5, Fitness_tra: 0
Rule 32: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 33: 18c4b, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 34: 11217, Class:  1, CF:0.0858248, Len:  5, Fitness_tra: 0
Rule 35: 14422, Class:  1, CF:0.840969, Len:  5, Fitness_tra: 0
Rule 36: 91474, Class:  1, CF:0.985007, Len:  5, Fitness_tra: 0
Rule 37: 12714, Class:  0, CF:0.196205, Len:  5, Fitness_tra: 0
Rule 38: 2111b, Class:  1, CF:0.516685, Len:  5, Fitness_tra: 2
Rule 39: 11111, Class:  0, CF:0.226762, Len:  5, Fitness_tra: 0
Rule 40: 311bb, Class:  1, CF:0.493351, Len:  5, Fitness_tra: 0
Rule 41: 52124, Class:  1, CF:0.923022, Len:  5, Fitness_tra: 0
Rule 42: d114b, Class:  1, CF:0.956142, Len:  5, Fitness_tra: 3
Rule 43: e2c11, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 44: 8c277, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 45: 11121, Class:  1, CF:0.730955, Len:  5, Fitness_tra: 0
Rule 46: 11217, Class:  1, CF:0.0858248, Len:  5, Fitness_tra: 0
Rule 47: 58224, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 48: 92c24, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 49: 52141, Class:  1, CF:0.641081, Len:  5, Fitness_tra: 0
Rule 50: 91211, Class:  1, CF:0.436164, Len:  5, Fitness_tra: 0
Rule 51: 1c111, Class:  0, CF:0.999419, Len:  5, Fitness_tra: 1
Rule 52: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 53: 58211, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 54: 9121b, Class:  1, CF:0.782483, Len:  5, Fitness_tra: 0
Rule 55: 00000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 56: 92272, Class:  1, CF:0.962573, Len:  5, Fitness_tra: 0
Rule 57: c112b, Class:  1, CF:0.747818, Len:  5, Fitness_tra: 0
Rule 58: 122b1, Class:  0, CF:0.716507, Len:  5, Fitness_tra: 0
Rule 59: 15174, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 60: 55217, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
