------Generation 0------
Rule  1: 12481, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule  2: 11521, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule  3: 34214, Class:  1, CF:0.653096, Len:  5, Fitness_tra: 0
Rule  4: 32121, Class:  1, CF:0.795521, Len:  5, Fitness_tra: 0
Rule  5: 554b2, Class:  1, CF:0.929222, Len:  5, Fitness_tra: 0
Rule  6: 311b2, Class:  0, CF:0.339251, Len:  5, Fitness_tra: 0
Rule  7: 91122, Class:  0, CF:0.995773, Len:  5, Fitness_tra: 0
Rule  8: 1c114, Class:  2, CF:0.612357, Len:  5, Fitness_tra: 1
Rule  9: 00700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1c212, Class:  2, CF:0.200809, Len:  5, Fitness_tra: 0
Rule 11: 51421, Class:  0, CF:0.77916, Len:  5, Fitness_tra: 0
Rule 12: 25744, Class:  1, CF:0.882982, Len:  5, Fitness_tra: 0
Rule 13: 552bb, Class:  1, CF:0.929222, Len:  5, Fitness_tra: 0
Rule 14: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 51c27, Class:  1, CF:0.44325, Len:  5, Fitness_tra: 0
Rule 16: 82277, Class:  0, CF:0.318305, Len:  5, Fitness_tra: 0
Rule 17: 95227, Class:  1, CF:0.998505, Len:  5, Fitness_tra: 0
Rule 18: d5277, Class:  1, CF:0.446018, Len:  5, Fitness_tra: 0
Rule 19: 55272, Class:  1, CF:0.929222, Len:  5, Fitness_tra: 0
Rule 20: 5522b, Class:  1, CF:0.929222, Len:  5, Fitness_tra: 0
Rule 21: 11421, Class:  0, CF:0.171954, Len:  5, Fitness_tra: 0
Rule 22: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 15171, Class:  1, CF:0.966416, Len:  5, Fitness_tra: 2
Rule 24: 5c421, Class:  2, CF:0.327855, Len:  5, Fitness_tra: 0
Rule 25: 1212b, Class:  0, CF:0.449025, Len:  5, Fitness_tra: 0
Rule 26: 62121, Class:  1, CF:0.993969, Len:  5, Fitness_tra: 0
Rule 27: 18414, Class:  1, CF:0.473147, Len:  5, Fitness_tra: 0
Rule 28: 04b00, Class:  2, CF:0.00474865, Len:  2, Fitness_tra: 0
Rule 29: 91221, Class:  0, CF:0.856851, Len:  5, Fitness_tra: 0
Rule 30: 551b1, Class:  1, CF:0.913768, Len:  5, Fitness_tra: 0
Rule 31: 15242, Class:  1, CF:0.98165, Len:  5, Fitness_tra: 0
Rule 32: 58224, Class:  2, CF:0.0935416, Len:  5, Fitness_tra: 0
Rule 33: 92c74, Class:  1, CF:0.981086, Len:  5, Fitness_tra: 0
Rule 34: 31741, Class:  1, CF:0.288259, Len:  5, Fitness_tra: 0
Rule 35: 21127, Class:  0, CF:0.967961, Len:  5, Fitness_tra: 1
Rule 36: 00000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e4214, Class:  0, CF:0.393798, Len:  5, Fitness_tra: 0
