------Generation 0------
Rule  1: 3111b, Class:  0, CF:0.114597, Len:  5, Fitness_tra: 0
Rule  2: 51414, Class:  0, CF:0.520218, Len:  5, Fitness_tra: 0
Rule  3: 9121b, Class:  0, CF:0.562574, Len:  5, Fitness_tra: 0
Rule  4: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: e8411, Class:  1, CF:0.949352, Len:  5, Fitness_tra: 2
Rule  6: 55724, Class:  1, CF:0.919945, Len:  5, Fitness_tra: 0
Rule  7: 04700, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 1d4b4, Class:  1, CF:0.917068, Len:  5, Fitness_tra: 0
Rule  9: e21b7, Class:  0, CF:0.91062, Len:  5, Fitness_tra: 0
Rule 10: 91717, Class:  0, CF:0.643759, Len:  5, Fitness_tra: 0
Rule 11: 52217, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 35117, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 13: 23147, Class:  0, CF:0.974058, Len:  5, Fitness_tra: 1
Rule 14: 14411, Class:  1, CF:0.345165, Len:  5, Fitness_tra: 2
Rule 15: 98144, Class:  1, CF:0.171099, Len:  5, Fitness_tra: 0
Rule 16: 81877, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 17: 31411, Class:  1, CF:0.75793, Len:  5, Fitness_tra: 0
Rule 18: 112bb, Class:  0, CF:0.24601, Len:  5, Fitness_tra: 0
Rule 19: e51b7, Class:  1, CF:  1, Len:  5, Fitness_tra: 0
Rule 20: 517b4, Class:  0, CF:0.925411, Len:  5, Fitness_tra: 0
Rule 21: 34424, Class:  1, CF:0.203078, Len:  5, Fitness_tra: 0
Rule 22: 182b7, Class:  1, CF:0.554229, Len:  5, Fitness_tra: 0
Rule 23: e0000, Class:  0, CF:0.269792, Len:  1, Fitness_tra: -4
Rule 24: 11112, Class:  0, CF:0.597621, Len:  5, Fitness_tra: 0
Rule 25: 5c244, Class:  2, CF:0.640722, Len:  5, Fitness_tra: 0
Rule 26: 31212, Class:  1, CF:0.270922, Len:  5, Fitness_tra: 0
Rule 27: 12171, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 11c2b, Class:  1, CF:0.711182, Len:  5, Fitness_tra: 0
Rule 29: 157b4, Class:  1, CF:0.894036, Len:  5, Fitness_tra: 0
Rule 30: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 5272b, Class:  0, CF:0.56891, Len:  5, Fitness_tra: 0
Rule 32: 13174, Class:  0, CF:0.945744, Len:  5, Fitness_tra: 0
Rule 33: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 52121, Class:  0, CF:0.44421, Len:  5, Fitness_tra: 0
Rule 35: 00000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 124b1, Class:  1, CF:0.481735, Len:  5, Fitness_tra: 0
Rule 37: e1411, Class:  1, CF:0.00132551, Len:  5, Fitness_tra: 0
Rule 38: 3c72b, Class:  1, CF:0.502402, Len:  5, Fitness_tra: 0
Rule 39: 18742, Class:  1, CF:0.126557, Len:  5, Fitness_tra: 0
Rule 40: 18112, Class:  1, CF:0.108093, Len:  5, Fitness_tra: 0
