------Generation 0------
Rule  1: b14221bb12, Class:  1, CF:0.837098, Len: 10, Fitness_tra: 0
Rule  2: 732141b22c, Class:  1, CF:0.999512, Len: 10, Fitness_tra: 0
Rule  3: 1272412741, Class:  1, CF:0.982972, Len: 10, Fitness_tra: 2
Rule  4: b8b42311b4, Class:  1, CF:0.919228, Len: 10, Fitness_tra: 0
Rule  5: 211423741b, Class:  1, CF:0.909485, Len: 10, Fitness_tra: 0
Rule  6: b417d32241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11b48e1bbb, Class:  0, CF:0.256633, Len: 10, Fitness_tra: 0
Rule  8: 14b7117227, Class:  1, CF:0.898172, Len: 10, Fitness_tra: 0
Rule  9: 7724231b22, Class:  1, CF:0.961656, Len: 10, Fitness_tra: 0
Rule 10: 1111217b14, Class:  1, CF:0.643939, Len: 10, Fitness_tra: -1882
Rule 11: 2148aa1bbb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 14b25e1b1b, Class:  1, CF:0.167239, Len: 10, Fitness_tra: 0
Rule 13: 1414167412, Class:  1, CF:0.967735, Len: 10, Fitness_tra: 0
Rule 14: 1127511b71, Class:  1, CF:0.600289, Len: 10, Fitness_tra: 0
Rule 15: 77225eb122, Class:  1, CF:0.953414, Len: 10, Fitness_tra: 0
Rule 16: 4771214477, Class:  1, CF:0.982918, Len: 10, Fitness_tra: 0
Rule 17: b2175e1222, Class:  1, CF:0.873816, Len: 10, Fitness_tra: 0
Rule 18: 7b12c622b4, Class:  1, CF:0.135423, Len: 10, Fitness_tra: 0
Rule 19: 724426bbb1, Class:  1, CF:0.999564, Len: 10, Fitness_tra: 0
Rule 20: 754221b117, Class:  1, CF:0.815405, Len: 10, Fitness_tra: 0
Rule 21: b641517144, Class:  1, CF:0.999589, Len: 10, Fitness_tra: 0
Rule 22: 27225f2bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 7147d6247b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 2577814442, Class:  1, CF:0.964965, Len: 10, Fitness_tra: 0
Rule 25: 4147c12227, Class:  1, CF:0.984175, Len: 10, Fitness_tra: 0
Rule 26: 4244192b2b, Class:  1, CF:0.129853, Len: 10, Fitness_tra: 0
Rule 27: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: b2b4561b44, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1441d34b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 4717131447, Class:  1, CF:0.967942, Len: 10, Fitness_tra: 0
Rule 31: 224753b14b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 2bbb1a144b, Class:  1, CF:0.999984, Len: 10, Fitness_tra: 1
Rule 33: b84b257241, Class:  1, CF:0.814154, Len: 10, Fitness_tra: 0
Rule 34: 77721f2772, Class:  1, CF:0.999995, Len: 10, Fitness_tra: 0
Rule 35: 7c772317b1, Class:  1, CF:0.965458, Len: 10, Fitness_tra: 0
Rule 36: b211594424, Class:  1, CF:0.986799, Len: 10, Fitness_tra: 0
Rule 37: bb7256bb22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7124c54722, Class:  1, CF:0.940188, Len: 10, Fitness_tra: 0
Rule 39: b4b72a22b1, Class:  1, CF:0.999896, Len: 10, Fitness_tra: 0
Rule 40: 24b25f4471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
