------Generation 0------
Rule  1: b5122544bb, Class:  1, CF:0.792617, Len: 10, Fitness_tra: 0
Rule  2: 72b4137224, Class:  1, CF:0.985704, Len: 10, Fitness_tra: 0
Rule  3: 0000500000, Class:  1, CF:0.893238, Len:  1, Fitness_tra: -56
Rule  4: b47b162741, Class:  1, CF:0.999763, Len: 10, Fitness_tra: 0
Rule  5: 4177714b41, Class:  1, CF:0.879805, Len: 10, Fitness_tra: 0
Rule  6: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 74b1ca7417, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 412b1142bb, Class:  1, CF:0.942716, Len: 10, Fitness_tra: 0
Rule 11: 1c71817b77, Class:  0, CF:0.90795, Len: 10, Fitness_tra: 0
Rule 12: 22b1132244, Class:  1, CF:0.993083, Len: 10, Fitness_tra: 0
Rule 13: 274b817b22, Class:  1, CF:0.550059, Len: 10, Fitness_tra: 0
Rule 14: 11178eb212, Class:  1, CF:0.418434, Len: 10, Fitness_tra: 7
Rule 15: 72b221174b, Class:  1, CF:0.820332, Len: 10, Fitness_tra: -24
Rule 16: 24441171b7, Class:  1, CF:0.919515, Len: 10, Fitness_tra: 0
Rule 17: b1248ab471, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 24b2192424, Class:  1, CF:0.910016, Len: 10, Fitness_tra: 0
Rule 19: 27748e1b41, Class:  1, CF:0.409804, Len: 10, Fitness_tra: 0
Rule 20: 172b1e7174, Class:  0, CF:0.03033, Len: 10, Fitness_tra: 9
Rule 21: b221d34144, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1722d14417, Class:  1, CF:0.680777, Len: 10, Fitness_tra: 0
Rule 23: b2b4161b12, Class:  1, CF:0.994715, Len: 10, Fitness_tra: -11
Rule 24: 147481121b, Class:  0, CF:0.157569, Len: 10, Fitness_tra: -4
Rule 25: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 2111161744, Class:  1, CF:0.999763, Len: 10, Fitness_tra: 9
Rule 27: bc17c9b72b, Class:  0, CF:0.999999, Len: 10, Fitness_tra: 0
Rule 28: bb471927b1, Class:  1, CF:0.617108, Len: 10, Fitness_tra: 0
Rule 29: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1424167174, Class:  1, CF:0.99797, Len: 10, Fitness_tra: 0
Rule 31: 217236b1b1, Class:  1, CF:0.996772, Len: 10, Fitness_tra: 0
Rule 32: 7814c372b7, Class:  0, CF:0.967922, Len: 10, Fitness_tra: 0
Rule 33: 7b2216bb72, Class:  1, CF:0.999099, Len: 10, Fitness_tra: 0
Rule 34: 4324137b78, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 71b2c3bb14, Class:  1, CF:0.00334621, Len: 10, Fitness_tra: 0
Rule 37: b412292472, Class:  1, CF:0.629543, Len: 10, Fitness_tra: 0
Rule 38: 41742f1741, Class:  1, CF:0.999812, Len: 10, Fitness_tra: 0
Rule 39: 4877c54444, Class:  1, CF:0.679607, Len: 10, Fitness_tra: 0
Rule 40: 2427cf22b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 4b22c1b7bb, Class:  1, CF:0.791833, Len: 10, Fitness_tra: 0
Rule 42: 27bbce2477, Class:  1, CF:0.877621, Len: 10, Fitness_tra: 0
Rule 43: 4c772abb7b, Class:  1, CF:0.999996, Len: 10, Fitness_tra: 0
Rule 44: b72b111b71, Class:  1, CF:0.914887, Len: 10, Fitness_tra: -730
Rule 45: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 1142c64bb2, Class:  1, CF:0.107182, Len: 10, Fitness_tra: 0
Rule 47: 4411862bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 272153b744, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 41242371b7, Class:  1, CF:0.967434, Len: 10, Fitness_tra: 0
Rule 50: 27b1ce7711, Class:  1, CF:0.868792, Len: 10, Fitness_tra: -2
Rule 51: 71b1c17127, Class:  1, CF:0.907802, Len: 10, Fitness_tra: -29
Rule 52: b714ff1b21, Class:  1, CF:0.997694, Len: 10, Fitness_tra: 6
Rule 53: b121812414, Class:  1, CF:0.95789, Len: 10, Fitness_tra: 0
Rule 54: 0000b000c0, Class:  1, CF:0.984246, Len:  2, Fitness_tra: 9
Rule 55: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 497219712c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 4874137272, Class:  1, CF:0.991291, Len: 10, Fitness_tra: 0
Rule 58: 7b24c97711, Class:  1, CF:0.57403, Len: 10, Fitness_tra: 0
Rule 59: b4b4117b71, Class:  1, CF:0.916109, Len: 10, Fitness_tra: 0
Rule 60: 7b4bc14212, Class:  1, CF:0.900445, Len: 10, Fitness_tra: 0
Rule 61: 4122161222, Class:  1, CF:0.999997, Len: 10, Fitness_tra: 0
Rule 62: 71b4c1bbb7, Class:  1, CF:0.0825767, Len: 10, Fitness_tra: 0
Rule 63: 11b4ce2242, Class:  1, CF:0.730107, Len: 10, Fitness_tra: 0
Rule 64: bb24114b47, Class:  1, CF:0.945293, Len: 10, Fitness_tra: 0
Rule 65: 1c42252bb2, Class:  1, CF:0.110161, Len: 10, Fitness_tra: 0
Rule 66: b277c1b441, Class:  1, CF:0.720411, Len: 10, Fitness_tra: 4
