------Generation 0------
Rule  1: 4111d32714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 7141de7711, Class:  1, CF:0.953975, Len: 10, Fitness_tra: 0
Rule  3: 72b28311bb, Class:  0, CF:0.309874, Len: 10, Fitness_tra: 0
Rule  4: b5b219771c, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  5: 1742817242, Class:  1, CF:0.895826, Len: 10, Fitness_tra: 0
Rule  6: 17b7137174, Class:  1, CF:0.958487, Len: 10, Fitness_tra: 0
Rule  7: 0000400000, Class:  0, CF:0.174714, Len:  1, Fitness_tra: 4005
Rule  8: 77b186b1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 742b53214b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb41d942bb, Class:  1, CF:0.996921, Len: 10, Fitness_tra: 0
Rule 11: 44745e242b, Class:  1, CF:0.921084, Len: 10, Fitness_tra: 0
Rule 12: 74221127b4, Class:  1, CF:0.958054, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 44b153b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 711283b24b, Class:  0, CF:0.449294, Len: 10, Fitness_tra: 0
Rule 18: b444c1b4b2, Class:  1, CF:0.630293, Len: 10, Fitness_tra: 0
Rule 19: 7472211147, Class:  1, CF:0.821582, Len: 10, Fitness_tra: 0
Rule 20: b1b2b172b7, Class:  1, CF:0.945712, Len: 10, Fitness_tra: 0
Rule 21: 4c177542b2, Class:  1, CF:0.474056, Len: 10, Fitness_tra: 0
Rule 22: 121b167427, Class:  1, CF:0.995857, Len: 10, Fitness_tra: 0
Rule 23: 111189bb42, Class:  1, CF:0.636474, Len: 10, Fitness_tra: 0
Rule 24: 7247834144, Class:  1, CF:0.522552, Len: 10, Fitness_tra: 0
Rule 25: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: b47b817722, Class:  1, CF:0.849054, Len: 10, Fitness_tra: 0
Rule 27: b717224bb2, Class:  1, CF:0.205735, Len: 10, Fitness_tra: 0
Rule 28: 4127237bb1, Class:  1, CF:0.960217, Len: 10, Fitness_tra: 0
Rule 29: 7114834727, Class:  0, CF:0.461534, Len: 10, Fitness_tra: 0
Rule 30: 2222c92721, Class:  0, CF:0.0493226, Len: 10, Fitness_tra: 0
Rule 31: 41b7297211, Class:  1, CF:0.879338, Len: 10, Fitness_tra: 22
Rule 32: 121781b472, Class:  1, CF:0.768115, Len: 10, Fitness_tra: 0
Rule 33: 1b71291142, Class:  1, CF:0.974029, Len: 10, Fitness_tra: 0
Rule 34: b744151b12, Class:  1, CF:0.768099, Len: 10, Fitness_tra: 0
Rule 35: 721221b172, Class:  1, CF:0.666109, Len: 10, Fitness_tra: 0
Rule 36: 1ab119421b, Class:  1, CF:0.909326, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b77419b1bb, Class:  0, CF:0.320767, Len: 10, Fitness_tra: 0
Rule 39: 427229417b, Class:  1, CF:0.60429, Len: 10, Fitness_tra: 0
Rule 40: 777b531221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 7c71812121, Class:  1, CF:0.505965, Len: 10, Fitness_tra: 0
Rule 42: 77271e1b4b, Class:  0, CF:0.645237, Len: 10, Fitness_tra: 0
Rule 43: 441b5927b4, Class:  1, CF:0.33685, Len: 10, Fitness_tra: 0
Rule 44: 4247c1441b, Class:  1, CF:0.766077, Len: 10, Fitness_tra: 0
Rule 45: 212b292b71, Class:  1, CF:0.553168, Len: 10, Fitness_tra: 0
Rule 46: 7722aa17b1, Class:  1, CF:0.998175, Len: 10, Fitness_tra: 1
Rule 47: 7712564722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 4774c64112, Class:  1, CF:0.464321, Len: 10, Fitness_tra: 0
Rule 49: 4471267727, Class:  1, CF:0.999905, Len: 10, Fitness_tra: 0
Rule 50: 14772fb424, Class:  1, CF:0.999855, Len: 10, Fitness_tra: 0
Rule 51: 74bbce11b2, Class:  0, CF:0.83313, Len: 10, Fitness_tra: 0
Rule 52: 2711532747, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 41171a447b, Class:  1, CF:0.999687, Len: 10, Fitness_tra: 0
Rule 54: 411481712b, Class:  1, CF:0.760568, Len: 10, Fitness_tra: 0
Rule 55: 447116b421, Class:  1, CF:0.999888, Len: 10, Fitness_tra: 0
Rule 56: b8441d2b42, Class:  1, CF:0.913436, Len: 10, Fitness_tra: 0
Rule 57: 12241e7b74, Class:  1, CF:0.143538, Len: 10, Fitness_tra: 0
Rule 58: 2127212221, Class:  1, CF:0.966735, Len: 10, Fitness_tra: 0
Rule 59: 7441837bbb, Class:  0, CF:0.659168, Len: 10, Fitness_tra: 0
Rule 60: 1272817742, Class:  1, CF:0.747923, Len: 10, Fitness_tra: 0
Rule 61: 1147892144, Class:  1, CF:0.634485, Len: 10, Fitness_tra: 0
Rule 62: 41b4134114, Class:  1, CF:0.970815, Len: 10, Fitness_tra: 1
Rule 63: 1871c92177, Class:  0, CF:0.996779, Len: 10, Fitness_tra: 0
Rule 64: b71416bb47, Class:  1, CF:0.998423, Len: 10, Fitness_tra: 0
Rule 65: b17483427b, Class:  0, CF:0.654836, Len: 10, Fitness_tra: 0
Rule 66: 1247511bbb, Class:  1, CF:0.75449, Len: 10, Fitness_tra: 0
Rule 67: b22786172b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 4b1b1eb44b, Class:  1, CF:0.958959, Len: 10, Fitness_tra: 0
Rule 69: 4841111214, Class:  1, CF:0.981445, Len: 10, Fitness_tra: 1
Rule 70: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 21bb297147, Class:  1, CF:0.862758, Len: 10, Fitness_tra: 0
Rule 72: 7c4411114b, Class:  1, CF:0.834809, Len: 10, Fitness_tra: 0
Rule 73: b12221b717, Class:  1, CF:0.880246, Len: 10, Fitness_tra: 0
Rule 74: 222bce1427, Class:  1, CF:0.152204, Len: 10, Fitness_tra: 0
Rule 75: 7177111724, Class:  1, CF:0.944, Len: 10, Fitness_tra: 0
Rule 76: 13bbcd77b1, Class:  1, CF:0.48226, Len: 10, Fitness_tra: 0
Rule 77: 42b4562721, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 2178537241, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 2217814477, Class:  1, CF:0.785846, Len: 10, Fitness_tra: 0
Rule 80: 7cb7c92422, Class:  1, CF:0.787329, Len: 10, Fitness_tra: 0
Rule 81: 7cb445274b, Class:  1, CF:0.635146, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 21b16e4777, Class:  1, CF:0.955474, Len: 10, Fitness_tra: 0
Rule 84: 71b72d721b, Class:  1, CF:0.890868, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 47748e271b, Class:  1, CF:0.500982, Len: 10, Fitness_tra: 0
Rule 88: 1db7212424, Class:  1, CF:0.861491, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: bb7bc1bb72, Class:  1, CF:0.894959, Len: 10, Fitness_tra: 0
Rule 91: 121b2a1121, Class:  1, CF:0.874911, Len: 10, Fitness_tra: 0
Rule 92: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 74775fbb17, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 781b254222, Class:  1, CF:0.557895, Len: 10, Fitness_tra: 0
Rule 96: b212de4412, Class:  1, CF:0.845324, Len: 10, Fitness_tra: 0
Rule 97: 7471c17221, Class:  1, CF:0.909757, Len: 10, Fitness_tra: 0
Rule 98: 222413b247, Class:  1, CF:0.998442, Len: 10, Fitness_tra: 0
Rule 99: 142b46b714, Class:  1, CF:0.998094, Len: 10, Fitness_tra: 0
Rule100: 11718174b1, Class:  1, CF:0.76602, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:9.82741
------Result------
Miss_rate(tra)	:9.82741
Miss_rate(tst)	:10.0548
ARL				:9.88312

------Generation 0------
Rule  1: 0000400000, Class:  0, CF:0.174714, Len:  1, Fitness_tra: 4008
Rule  2: 41b7297211, Class:  1, CF:0.879338, Len: 10, Fitness_tra: 22
Rule  3: 4841111214, Class:  1, CF:0.981445, Len: 10, Fitness_tra: 1
Rule  4: 7722aa17b1, Class:  1, CF:0.998175, Len: 10, Fitness_tra: 0
Rule  5: 41b4134114, Class:  1, CF:0.970815, Len: 10, Fitness_tra: 1
Rule  6: 4111d32714, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7141de7711, Class:  1, CF:0.953975, Len: 10, Fitness_tra: 0
Rule  8: 77b186b1b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 742b53214b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: bb41d942bb, Class:  1, CF:0.996921, Len: 10, Fitness_tra: 0
Rule 11: 44745e242b, Class:  1, CF:0.921084, Len: 10, Fitness_tra: 0
Rule 12: 74221127b4, Class:  1, CF:0.958054, Len: 10, Fitness_tra: 0
Rule 13: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 0000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 44b153b122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 711283b24b, Class:  0, CF:0.449294, Len: 10, Fitness_tra: 0
Rule 18: b444c1b4b2, Class:  1, CF:0.630293, Len: 10, Fitness_tra: 0
Rule 19: 7472211147, Class:  1, CF:0.821582, Len: 10, Fitness_tra: 0
Rule 20: b1b2b172b7, Class:  1, CF:0.945712, Len: 10, Fitness_tra: 0
Rule 21: 4c177542b2, Class:  1, CF:0.474056, Len: 10, Fitness_tra: 0
Rule 22: 121b167427, Class:  1, CF:0.995857, Len: 10, Fitness_tra: 0
