------Generation 0------
Rule  1: b221cd471b, Class:  1, CF:0.990904, Len: 10, Fitness_tra: 0
Rule  2: b127967742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: b2211c7774, Class:  1, CF:0.97813, Len: 10, Fitness_tra: -2
Rule  4: 1271612117, Class:  0, CF:0.756664, Len: 10, Fitness_tra: 1465
Rule  5: 4d1bc1b272, Class:  1, CF:0.973868, Len: 10, Fitness_tra: 0
Rule  6: bcb4292414, Class:  1, CF:0.833563, Len: 10, Fitness_tra: 0
Rule  7: 74b229b1b2, Class:  1, CF:0.601813, Len: 10, Fitness_tra: 0
Rule  8: 11b1c614b4, Class:  1, CF:0.831932, Len: 10, Fitness_tra: 0
Rule  9: 747b314b41, Class:  0, CF:0.326886, Len: 10, Fitness_tra: 3
Rule 10: b4741f421b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 11: 4d221324b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 12: 47148f2447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b4b181b24b, Class:  1, CF:0.998591, Len: 10, Fitness_tra: 3
Rule 14: 224211b247, Class:  1, CF:0.997104, Len: 10, Fitness_tra: 0
Rule 15: 244756272b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 717b514474, Class:  1, CF:0.998435, Len: 10, Fitness_tra: 0
Rule 17: 241b8617b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 27123a4bb7, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 19: 422b2e1bb4, Class:  1, CF:0.0199009, Len: 10, Fitness_tra: 0
Rule 20: 4bb7132774, Class:  1, CF:0.324124, Len: 10, Fitness_tra: 0
Rule 21: 24745341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b741837b44, Class:  1, CF:0.801408, Len: 10, Fitness_tra: 0
Rule 23: 277243b242, Class:  0, CF:0.0122358, Len: 10, Fitness_tra: 0
Rule 24: 4521217471, Class:  1, CF:0.958097, Len: 10, Fitness_tra: -2
Rule 25: b4bb512777, Class:  1, CF:0.989845, Len: 10, Fitness_tra: 0
Rule 26: 2217162427, Class:  0, CF:0.990871, Len: 10, Fitness_tra: 0
