------Generation 0------
Rule  1: 4b7159b7b7, Class:  1, CF:0.998296, Len: 10, Fitness_tra: 0
Rule  2: 2174232722, Class:  1, CF:0.0047382, Len: 10, Fitness_tra: 0
Rule  3: 2422112177, Class:  1, CF:0.823346, Len: 10, Fitness_tra: 0
Rule  4: 7421362711, Class:  0, CF:0.809973, Len: 10, Fitness_tra: 2
Rule  5: 7722132214, Class:  0, CF:0.0138222, Len: 10, Fitness_tra: 0
Rule  6: 47b7817147, Class:  1, CF:0.994316, Len: 10, Fitness_tra: 0
Rule  7: 4db2197714, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule  8: b517157122, Class:  1, CF:0.53413, Len: 10, Fitness_tra: 0
Rule  9: 45416a4114, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 10: 117286171b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 4271812421, Class:  1, CF:0.996478, Len: 10, Fitness_tra: 1
Rule 12: 4712114721, Class:  1, CF:0.905483, Len: 10, Fitness_tra: 0
Rule 13: b12b5a7b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 41b4114722, Class:  1, CF:0.971597, Len: 10, Fitness_tra: 0
Rule 15: bbb21f444b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 16: 4f4d51b44b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 12b4412427, Class:  1, CF:0.970905, Len: 10, Fitness_tra: 0
Rule 18: b112212141, Class:  1, CF:0.944352, Len: 10, Fitness_tra: -1280
Rule 19: 77b2c61b71, Class:  1, CF:0.91008, Len: 10, Fitness_tra: 0
Rule 20: b2b2114bb4, Class:  1, CF:0.359638, Len: 10, Fitness_tra: 0
Rule 21: 7b2421777b, Class:  1, CF:0.993275, Len: 10, Fitness_tra: 0
Rule 22: 241bd17422, Class:  1, CF:0.996287, Len: 10, Fitness_tra: 0
Rule 23: 7bb2662247, Class:  0, CF:0.989117, Len: 10, Fitness_tra: 0
Rule 24: b8241e2214, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 25: 14b2232722, Class:  1, CF:0.107261, Len: 10, Fitness_tra: 0
Rule 26: 27b753b411, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 1727291b21, Class:  1, CF:0.573641, Len: 10, Fitness_tra: -1164
Rule 28: 222426722b, Class:  0, CF:0.99682, Len: 10, Fitness_tra: 0
Rule 29: 7177167447, Class:  0, CF:0.990565, Len: 10, Fitness_tra: 0
Rule 30: b1215eb117, Class:  1, CF:0.997113, Len: 10, Fitness_tra: -146
Rule 31: 42b7217444, Class:  1, CF:0.992218, Len: 10, Fitness_tra: 0
Rule 32: 4247217b74, Class:  1, CF:0.769594, Len: 10, Fitness_tra: 0
Rule 33: bb14114214, Class:  1, CF:0.984299, Len: 10, Fitness_tra: 0
Rule 34: 75477d27b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 35: b4b729bb14, Class:  1, CF:0.645472, Len: 10, Fitness_tra: 0
Rule 36: 444b1174b1, Class:  1, CF:0.670356, Len: 10, Fitness_tra: 0
Rule 37: b777787222, Class:  1, CF:0.994924, Len: 10, Fitness_tra: 0
Rule 38: 2b27211214, Class:  1, CF:0.996496, Len: 10, Fitness_tra: 0
Rule 39: 27111a4b4b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 111c331724, Class:  0, CF:  1, Len: 10, Fitness_tra: 8
Rule 41: b1b2cf2724, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 2d71134bb2, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 43: b41426b212, Class:  0, CF:0.717242, Len: 10, Fitness_tra: 0
Rule 44: 181129b744, Class:  0, CF:  1, Len: 10, Fitness_tra: 34
Rule 45: b712ce2721, Class:  1, CF:0.966715, Len: 10, Fitness_tra: 0
Rule 46: 21712d4b21, Class:  1, CF:0.990249, Len: 10, Fitness_tra: 0
Rule 47: 4421557b41, Class:  1, CF:0.924119, Len: 10, Fitness_tra: 0
Rule 48: 777bc3b127, Class:  1, CF:0.908208, Len: 10, Fitness_tra: 0
Rule 49: 4b2136bb74, Class:  0, CF:0.96851, Len: 10, Fitness_tra: 0
Rule 50: 421719b742, Class:  1, CF:0.927897, Len: 10, Fitness_tra: 0
Rule 51: 4224212411, Class:  1, CF:0.954951, Len: 10, Fitness_tra: 1
Rule 52: 2114e11114, Class:  1, CF:0.763003, Len: 10, Fitness_tra: -2
Rule 53: 11bb211774, Class:  1, CF:0.895605, Len: 10, Fitness_tra: -1730
Rule 54: 4b12512b2b, Class:  1, CF:0.992748, Len: 10, Fitness_tra: 0
Rule 55: 1b471627bb, Class:  0, CF:0.869012, Len: 10, Fitness_tra: 0
Rule 56: 744111b711, Class:  1, CF:0.767375, Len: 10, Fitness_tra: -112
Rule 57: b117164742, Class:  0, CF:0.911901, Len: 10, Fitness_tra: 0
Rule 58: 714489bb22, Class:  1, CF:0.985205, Len: 10, Fitness_tra: 0
Rule 59: 4b77d341b4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 211281122b, Class:  1, CF:0.992882, Len: 10, Fitness_tra: 1
Rule 61: 4411a3422b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 62: 71741d7411, Class:  1, CF:0.982547, Len: 10, Fitness_tra: 0
Rule 63: 76b5d3b442, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 221b132471, Class:  1, CF:0.0136576, Len: 10, Fitness_tra: 0
Rule 65: 2124224b12, Class:  1, CF:0.919461, Len: 10, Fitness_tra: 0
Rule 66: 7b14ce1b24, Class:  1, CF:0.996556, Len: 10, Fitness_tra: -222
Rule 67: 7bb71fb1b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 68: b7228abbb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4511b5bbb4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: b744212727, Class:  1, CF:0.982168, Len: 10, Fitness_tra: 0
Rule 71: 21718e2414, Class:  1, CF:0.999731, Len: 10, Fitness_tra: 0
Rule 72: 4447c14177, Class:  1, CF:0.971684, Len: 10, Fitness_tra: 0
Rule 73: 252b42221b, Class:  1, CF:0.98406, Len: 10, Fitness_tra: 0
Rule 74: 741155b421, Class:  1, CF:0.998435, Len: 10, Fitness_tra: -6
Rule 75: 72771a1147, Class:  0, CF:  1, Len: 10, Fitness_tra: 9
Rule 76: b241232742, Class:  0, CF:0.538841, Len: 10, Fitness_tra: 0
Rule 77: 2db1ce7771, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
