------Generation 0------
Rule  1: b217152b41, Class:  0, CF:0.60462, Len: 10, Fitness_tra: 1
Rule  2: 721125b222, Class:  1, CF:0.999062, Len: 10, Fitness_tra: 1
Rule  3: 7172cfb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172c17714, Class:  1, CF:0.977969, Len: 10, Fitness_tra: 0
Rule  5: b77261bbb7, Class:  0, CF:0.995125, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7bbb562441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112834411, Class:  1, CF:0.956209, Len: 10, Fitness_tra: 0
Rule  9: 24127142b4, Class:  1, CF:0.804146, Len: 10, Fitness_tra: 0
Rule 10: 7711ce7742, Class:  1, CF:0.999016, Len: 10, Fitness_tra: 0
Rule 11: b711217b2b, Class:  1, CF:0.977415, Len: 10, Fitness_tra: -5
Rule 12: 2177434b4b, Class:  1, CF:0.191722, Len: 10, Fitness_tra: 0
Rule 13: b2b4137b12, Class:  0, CF:0.36297, Len: 10, Fitness_tra: 0
Rule 14: 21b1c31111, Class:  1, CF:0.983279, Len: 10, Fitness_tra: -59
Rule 15: 247b56b447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1247ca2722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 4b24c92422, Class:  1, CF:0.999416, Len: 10, Fitness_tra: 0
Rule 18: 42711e7721, Class:  1, CF:0.993299, Len: 10, Fitness_tra: 0
Rule 19: 4f72182722, Class:  1, CF:0.996709, Len: 10, Fitness_tra: 0
Rule 20: 1347112711, Class:  1, CF:0.956593, Len: 10, Fitness_tra: -20
Rule 21: b427231b72, Class:  0, CF:0.610836, Len: 10, Fitness_tra: 3
Rule 22: 24441a22bb, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 23: 4771134bb7, Class:  0, CF:0.271012, Len: 10, Fitness_tra: 0
Rule 24: bb44551271, Class:  1, CF:0.998658, Len: 10, Fitness_tra: 0
Rule 25: 1447ca24b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1b2b814212, Class:  1, CF:0.995819, Len: 10, Fitness_tra: 0
Rule 27: b4111e4147, Class:  1, CF:0.989486, Len: 10, Fitness_tra: 0
Rule 28: 412b15b724, Class:  1, CF:0.983087, Len: 10, Fitness_tra: 0
Rule 29: 7547212b27, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 30: 2b2b1f4411, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 7442261714, Class:  0, CF:0.996864, Len: 10, Fitness_tra: 0
Rule 32: b44bdfb447, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: b227532b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: b341451121, Class:  1, CF:0.997495, Len: 10, Fitness_tra: -3724
Rule 35: 1bb11a2147, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 36: 2c2119422b, Class:  1, CF:0.892256, Len: 10, Fitness_tra: 0
Rule 37: 711711b744, Class:  1, CF:0.923878, Len: 10, Fitness_tra: 0
Rule 38: 14111e7242, Class:  1, CF:0.995181, Len: 10, Fitness_tra: -16
Rule 39: b1413ab277, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 40: 7242c37147, Class:  1, CF:0.997877, Len: 10, Fitness_tra: 0
Rule 41: 4222264bb1, Class:  0, CF:0.899401, Len: 10, Fitness_tra: 0
Rule 42: 71b7851b14, Class:  1, CF:0.966649, Len: 10, Fitness_tra: 0
Rule 43: b1741f444b, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 44: 21121a14b7, Class:  0, CF:  1, Len: 10, Fitness_tra: 1
Rule 45: 74442e71b2, Class:  1, CF:0.649958, Len: 10, Fitness_tra: 0
Rule 46: 7171854471, Class:  1, CF:0.99941, Len: 10, Fitness_tra: 0
Rule 47: 712716b247, Class:  0, CF:0.993811, Len: 10, Fitness_tra: 0
Rule 48: 27b1d17742, Class:  1, CF:0.999826, Len: 10, Fitness_tra: 0
Rule 49: 2224412b77, Class:  1, CF:0.694361, Len: 10, Fitness_tra: 0
Rule 50: 14121c1274, Class:  0, CF:0.0440363, Len: 10, Fitness_tra: 302
Rule 51: 1c7b19b477, Class:  0, CF:0.361098, Len: 10, Fitness_tra: 0
Rule 52: 784b81171b, Class:  0, CF:  1, Len: 10, Fitness_tra: 8
Rule 53: 7512191b12, Class:  0, CF:  1, Len: 10, Fitness_tra: 18
Rule 54: 1447c12422, Class:  1, CF:0.988023, Len: 10, Fitness_tra: 0
Rule 55: 7712231bb1, Class:  1, CF:0.81821, Len: 10, Fitness_tra: -4
Rule 56: 24424ab221, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 57: 24b7937b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 14b729147b, Class:  1, CF:0.6637, Len: 10, Fitness_tra: -206
Rule 59: 14b1832b74, Class:  1, CF:0.57774, Len: 10, Fitness_tra: 0
Rule 60: b47b131774, Class:  0, CF:0.824486, Len: 10, Fitness_tra: 7
Rule 61: 2424c3747b, Class:  1, CF:0.639204, Len: 10, Fitness_tra: 0
Rule 62: 22bb5324b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 7142c11b21, Class:  1, CF:0.947666, Len: 10, Fitness_tra: 0
Rule 64: 214b254111, Class:  1, CF:0.922312, Len: 10, Fitness_tra: -62
Rule 65: 417b2e7241, Class:  1, CF:0.998511, Len: 10, Fitness_tra: 0
Rule 66: 2212892211, Class:  0, CF:0.186346, Len: 10, Fitness_tra: 0
Rule 67: 241b5147b1, Class:  1, CF:0.911675, Len: 10, Fitness_tra: 0
Rule 68: 122b812b77, Class:  1, CF:0.687089, Len: 10, Fitness_tra: 0
Rule 69: 12721fb744, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 70: b2172a1bb4, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 71: 1c74f327b1, Class:  0, CF:  1, Len: 10, Fitness_tra: 0
Rule 72: 4bb223117b, Class:  1, CF:0.771998, Len: 10, Fitness_tra: 0
Rule 73: 1b24817111, Class:  1, CF:0.868086, Len: 10, Fitness_tra: -34
Rule 74: 41b1832427, Class:  1, CF:0.767872, Len: 10, Fitness_tra: 0
Rule 75: 72bb19272b, Class:  1, CF:0.667281, Len: 10, Fitness_tra: 0
Rule 76: 132771714c, Class:  1, CF:0.997529, Len: 10, Fitness_tra: 0
Rule 77: 7b2b137712, Class:  1, CF:0.584769, Len: 10, Fitness_tra: 0
Rule 78: 4c2113474b, Class:  0, CF:0.941929, Len: 10, Fitness_tra: 0
Rule 79: 42b18914bb, Class:  1, CF:0.932723, Len: 10, Fitness_tra: -9
Rule 80: 4127c121b7, Class:  1, CF:0.970132, Len: 10, Fitness_tra: 0
Rule 81: 2b21c9774b, Class:  0, CF:0.993466, Len: 10, Fitness_tra: 0
Rule 82: 471bcd1214, Class:  1, CF:0.94348, Len: 10, Fitness_tra: -66
Rule 83: 22b75922b7, Class:  1, CF:0.808703, Len: 10, Fitness_tra: 0
