------Generation 0------
Rule  1: 4b715ab7b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 2174232722, Class:  4, CF:0.948929, Len: 10, Fitness_tra: 0
Rule  3: 2722112177, Class:  4, CF:0.407246, Len: 10, Fitness_tra: 0
Rule  4: 7521252711, Class:  1, CF:0.955204, Len: 10, Fitness_tra: 3
Rule  5: 7522152214, Class:  2, CF:0.564622, Len: 10, Fitness_tra: 0
Rule  6: 47b7517147, Class:  2, CF:0.991548, Len: 10, Fitness_tra: 0
Rule  7: 47b2197714, Class:  2, CF:0.984171, Len: 10, Fitness_tra: 0
Rule  8: b41b3a7122, Class:  4, CF:0.986301, Len: 10, Fitness_tra: 0
Rule  9: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 44414e4124, Class:  2, CF:0.998505, Len: 10, Fitness_tra: 1
Rule 11: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 1172551717, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4271812421, Class:  2, CF:0.951971, Len: 10, Fitness_tra: 0
Rule 14: 4712114721, Class:  4, CF:0.206478, Len: 10, Fitness_tra: 0
Rule 15: b12b567b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 41b4114722, Class:  2, CF:0.182317, Len: 10, Fitness_tra: 0
Rule 17: bcb21a442b, Class:  4, CF:0.999786, Len: 10, Fitness_tra: 0
Rule 18: 4d4b21b44c, Class:  2, CF:0.960281, Len: 10, Fitness_tra: 0
Rule 19: 12b4512427, Class:  1, CF:0.0562793, Len: 10, Fitness_tra: 0
Rule 20: b112512141, Class:  2, CF:0.464874, Len: 10, Fitness_tra: -37
Rule 21: 77b2861b71, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b2b2114bb4, Class:  4, CF:0.881686, Len: 10, Fitness_tra: -42
Rule 23: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 7b2421777b, Class:  2, CF:0.64838, Len: 10, Fitness_tra: 0
Rule 25: 241bc17422, Class:  2, CF:0.986182, Len: 10, Fitness_tra: 0
Rule 26: 7bb2562247, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: bc241d2217, Class:  2, CF:0.0313178, Len: 10, Fitness_tra: 0
Rule 28: 14b2562722, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 4db723b411, Class:  4, CF:0.978458, Len: 10, Fitness_tra: 0
Rule 30: 17272a1b21, Class:  4, CF:0.997197, Len: 10, Fitness_tra: 0
Rule 31: 22223a722b, Class:  4, CF:0.999966, Len: 10, Fitness_tra: 0
Rule 32: 7177167447, Class:  4, CF:0.999662, Len: 10, Fitness_tra: 0
Rule 33: b1215eb117, Class:  2, CF:0.991025, Len: 10, Fitness_tra: -62
Rule 34: 41b5337444, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 4247217b74, Class:  4, CF:0.630924, Len: 10, Fitness_tra: 0
Rule 37: bc14114214, Class:  4, CF:0.0315619, Len: 10, Fitness_tra: 0
Rule 38: 724bcd27b1, Class:  2, CF:0.893877, Len: 10, Fitness_tra: 0
Rule 39: b2b72abb14, Class:  4, CF:0.999676, Len: 10, Fitness_tra: 0
Rule 40: 444b1174b1, Class:  4, CF:0.79844, Len: 10, Fitness_tra: -4
Rule 41: b777797222, Class:  2, CF:0.998795, Len: 10, Fitness_tra: 0
Rule 42: 2b27211214, Class:  2, CF:0.888143, Len: 10, Fitness_tra: -6
Rule 43: 27111a4b4b, Class:  4, CF:0.986327, Len: 10, Fitness_tra: -1
Rule 44: 111b331724, Class:  4, CF:0.942398, Len: 10, Fitness_tra: -132
Rule 45: b1b28e2724, Class:  2, CF:0.984166, Len: 10, Fitness_tra: 0
Rule 46: 2871134bb2, Class:  4, CF:0.998776, Len: 10, Fitness_tra: 0
Rule 47: b41423b212, Class:  2, CF:0.00101157, Len: 10, Fitness_tra: 0
Rule 48: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 17112ab744, Class:  4, CF:0.999833, Len: 10, Fitness_tra: 0
Rule 50: b7128e2421, Class:  2, CF:0.967221, Len: 10, Fitness_tra: 0
Rule 51: 21712e4b22, Class:  2, CF:0.995951, Len: 10, Fitness_tra: 0
Rule 52: 0000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 4421567b41, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 777bd3b127, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 4b2126bb74, Class:  4, CF:0.998404, Len: 10, Fitness_tra: 0
Rule 56: 45171eb742, Class:  1, CF:0.606937, Len: 10, Fitness_tra: 0
Rule 57: 4424212411, Class:  2, CF:0.0103575, Len: 10, Fitness_tra: 0
Rule 58: 2114c11114, Class:  2, CF:0.733624, Len: 10, Fitness_tra: -2236
Rule 59: 117b211774, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 4f12412b2c, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 61: 1c471627bb, Class:  4, CF:0.999327, Len: 10, Fitness_tra: 0
Rule 62: 774111b711, Class:  4, CF:0.53396, Len: 10, Fitness_tra: -526
Rule 63: b127194b42, Class:  2, CF:0.98597, Len: 10, Fitness_tra: 0
Rule 64: 724449bb22, Class:  2, CF:0.794934, Len: 10, Fitness_tra: 0
