------Generation 0------
Rule  1: b217152b41, Class:  1, CF:0.93655, Len: 10, Fitness_tra: 2
Rule  2: 721125b422, Class:  2, CF:0.989467, Len: 10, Fitness_tra: 1
Rule  3: 71728fb2b7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 2172c17714, Class:  2, CF:0.979656, Len: 10, Fitness_tra: 0
Rule  5: b77281bbb7, Class:  2, CF:0.970337, Len: 10, Fitness_tra: 0
Rule  6: 4122531bb7, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 7bbb562441, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 7112834411, Class:  2, CF:0.910764, Len: 10, Fitness_tra: 0
Rule  9: 24128342b4, Class:  0, CF:0.794987, Len: 10, Fitness_tra: 0
Rule 10: 7411cf7742, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: bd11217b2b, Class:  4, CF:0.853963, Len: 10, Fitness_tra: -1
Rule 12: 2177534b4b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: b2b4167b12, Class:  4, CF:0.99957, Len: 10, Fitness_tra: 0
Rule 14: 21b1c31111, Class:  2, CF:0.890442, Len: 10, Fitness_tra: -58
Rule 15: 227b45b447, Class:  2, CF:0.860787, Len: 10, Fitness_tra: 0
Rule 16: 16447d2722, Class:  2, CF:0.99664, Len: 10, Fitness_tra: 0
Rule 17: 4c24c52422, Class:  2, CF:0.99151, Len: 10, Fitness_tra: 0
Rule 18: 42711d7721, Class:  2, CF:0.89881, Len: 10, Fitness_tra: 0
Rule 19: 5000000000, Class:  3, CF:  1, Len:  1, Fitness_tra: 1
Rule 20: b541817221, Class:  2, CF:0.997095, Len: 10, Fitness_tra: 1
Rule 21: 0000500000, Class:  3, CF:0.174282, Len:  1, Fitness_tra: -418
Rule 22: 47111611b4, Class:  4, CF:0.920585, Len: 10, Fitness_tra: -4
Rule 23: 27221e7227, Class:  2, CF:0.999045, Len: 10, Fitness_tra: 0
Rule 24: 441723bb47, Class:  4, CF:0.981149, Len: 10, Fitness_tra: 0
Rule 25: 71125fb7bb, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 4444137114, Class:  4, CF:0.927894, Len: 10, Fitness_tra: 0
Rule 27: 47b726b71b, Class:  4, CF:0.999736, Len: 10, Fitness_tra: 0
Rule 28: 2b412112b4, Class:  2, CF:0.888962, Len: 10, Fitness_tra: -50
Rule 29: 00000d0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 11b4167422, Class:  4, CF:0.999569, Len: 10, Fitness_tra: 0
