------Generation 0------
Rule  1: 7424831224, Class:  2, CF:0.971229, Len: 10, Fitness_tra: 0
Rule  2: 11b7561424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 4214561771, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 77bb1a472b, Class:  4, CF:0.999819, Len: 10, Fitness_tra: 0
Rule  5: 1c222a1271, Class:  4, CF:0.997564, Len: 10, Fitness_tra: 0
Rule  6: 1c72151241, Class:  4, CF:0.160296, Len: 10, Fitness_tra: 0
Rule  7: 14b193441b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: b17211211b, Class:  4, CF:0.354387, Len: 10, Fitness_tra: 0
Rule  9: 121b231121, Class:  1, CF:0.312131, Len: 10, Fitness_tra: -116
Rule 10: 14b4457111, Class:  1, CF:0.685055, Len: 10, Fitness_tra: -69
Rule 11: 717726b471, Class:  4, CF:0.989359, Len: 10, Fitness_tra: 0
Rule 12: 1b2b11b711, Class:  2, CF:0.386906, Len: 10, Fitness_tra: 0
Rule 13: 71bb8e74b4, Class:  2, CF:0.960524, Len: 10, Fitness_tra: 0
Rule 14: 43b115b242, Class:  2, CF:0.999822, Len: 10, Fitness_tra: 0
Rule 15: 2511157b42, Class:  4, CF:0.88889, Len: 10, Fitness_tra: 0
Rule 16: 151b811214, Class:  1, CF:0.342645, Len: 10, Fitness_tra: 3
Rule 17: 72118174b2, Class:  2, CF:0.990878, Len: 10, Fitness_tra: 0
Rule 18: 481741b241, Class:  2, CF:0.441022, Len: 10, Fitness_tra: 0
Rule 19: 21748a47c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1b749674b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bb4781b124, Class:  2, CF:0.998332, Len: 10, Fitness_tra: 0
Rule 22: 7c47291b27, Class:  2, CF:0.527985, Len: 10, Fitness_tra: -1
Rule 23: 7742c32422, Class:  2, CF:0.798661, Len: 10, Fitness_tra: 0
Rule 24: 23b111771b, Class:  2, CF:0.287551, Len: 10, Fitness_tra: -1
Rule 25: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 17443347b7, Class:  4, CF:0.967656, Len: 10, Fitness_tra: 0
Rule 27: 214b19b1b1, Class:  2, CF:0.530837, Len: 10, Fitness_tra: 0
Rule 28: b2728a7717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2172214242, Class:  2, CF:0.881899, Len: 10, Fitness_tra: 0
Rule 30: 7472211b14, Class:  4, CF:0.495624, Len: 10, Fitness_tra: 0
Rule 31: 1324857188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 32: 7cb271722b, Class:  2, CF:0.0726806, Len: 10, Fitness_tra: 0
Rule 33: 281149b47b, Class:  0, CF:0.137629, Len: 10, Fitness_tra: 0
Rule 34: 4417267b77, Class:  4, CF:0.998504, Len: 10, Fitness_tra: 0
Rule 35: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 47144272b2, Class:  2, CF:0.837373, Len: 10, Fitness_tra: 0
Rule 37: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 7c24cf4b14, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 4c1b1174b1, Class:  4, CF:0.864025, Len: 10, Fitness_tra: 0
Rule 40: 44148177b4, Class:  2, CF:0.916675, Len: 10, Fitness_tra: 0
Rule 41: 42442d2427, Class:  2, CF:0.814744, Len: 10, Fitness_tra: 0
Rule 42: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 2b7b164242, Class:  4, CF:0.999201, Len: 10, Fitness_tra: 0
Rule 44: b447134477, Class:  4, CF:0.992544, Len: 10, Fitness_tra: 0
Rule 45: 18471e1242, Class:  0, CF:0.683099, Len: 10, Fitness_tra: 0
Rule 46: 11b7297742, Class:  2, CF:0.851823, Len: 10, Fitness_tra: 0
Rule 47: bb428e24b2, Class:  2, CF:0.997778, Len: 10, Fitness_tra: 0
Rule 48: 4172214442, Class:  2, CF:0.853071, Len: 10, Fitness_tra: 0
Rule 49: 221b154414, Class:  2, CF:0.401639, Len: 10, Fitness_tra: 0
Rule 50: 42b4cf7211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 41b11d1221, Class:  2, CF:0.879476, Len: 10, Fitness_tra: 0
Rule 52: b1b2c11111, Class:  2, CF:0.792525, Len: 10, Fitness_tra: -1572
Rule 53: b24b53b472, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: b54216b172, Class:  4, CF:0.999783, Len: 10, Fitness_tra: 0
Rule 55: b1121f7b72, Class:  4, CF:0.998501, Len: 10, Fitness_tra: 0
Rule 56: 721bce11b7, Class:  0, CF:0.628139, Len: 10, Fitness_tra: 297
Rule 57: 1127837742, Class:  2, CF:0.534023, Len: 10, Fitness_tra: 0
Rule 58: 244283b7b7, Class:  2, CF:0.210755, Len: 10, Fitness_tra: 0
Rule 59: 2177111411, Class:  4, CF:0.133717, Len: 10, Fitness_tra: 3
Rule 60: 721b1a14b4, Class:  4, CF:0.999382, Len: 10, Fitness_tra: 2
Rule 61: b4b25a7141, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: b142261b4b, Class:  4, CF:0.999542, Len: 10, Fitness_tra: 0
Rule 64: 14421ebb12, Class:  2, CF:0.220261, Len: 10, Fitness_tra: 0
Rule 65: 744bc11424, Class:  2, CF:0.988565, Len: 10, Fitness_tra: 1
Rule 66: 2824217742, Class:  2, CF:0.320787, Len: 10, Fitness_tra: 0
Rule 67: 144b1ab1b1, Class:  4, CF:0.881823, Len: 10, Fitness_tra: -2
Rule 68: 121bc17b7b, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 4b47ff2741, Class:  4, CF:0.815822, Len: 10, Fitness_tra: 0
Rule 70: 0000030005, Class:  4, CF:0.873631, Len:  2, Fitness_tra: 1
Rule 71: 7117ce1422, Class:  2, CF:0.996802, Len: 10, Fitness_tra: 0
Rule 72: 172bd37b2b, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 1444d647b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 7222214117, Class:  2, CF:0.335046, Len: 10, Fitness_tra: 0
Rule 75: b7221314bb, Class:  4, CF:0.964237, Len: 10, Fitness_tra: 0
Rule 76: 14b715bb4b, Class:  4, CF:0.683551, Len: 10, Fitness_tra: 0
Rule 77: b4123fb2b2, Class:  4, CF:0.998432, Len: 10, Fitness_tra: 0
Rule 78: 271bde7742, Class:  2, CF:0.958707, Len: 10, Fitness_tra: 0
Rule 79: 11b2157b2b, Class:  4, CF:0.475169, Len: 10, Fitness_tra: 0
Rule 80: 12225922b1, Class:  1, CF:0.987472, Len: 10, Fitness_tra: 6
Rule 81: 272bc171b4, Class:  2, CF:0.958499, Len: 10, Fitness_tra: 0
Rule 82: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 7241211117, Class:  2, CF:0.297113, Len: 10, Fitness_tra: -70
Rule 84: 417b2d4424, Class:  2, CF:0.938558, Len: 10, Fitness_tra: 0
Rule 85: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 112121114b, Class:  2, CF:0.424536, Len: 10, Fitness_tra: -1694
Rule 87: 41111e42b2, Class:  2, CF:0.985495, Len: 10, Fitness_tra: 0
Rule 88: 2c21831111, Class:  2, CF:0.53168, Len: 10, Fitness_tra: 0
Rule 89: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: b74b191127, Class:  2, CF:0.920427, Len: 10, Fitness_tra: -4
Rule 91: 45741d1b7b, Class:  4, CF:0.902609, Len: 10, Fitness_tra: 0
Rule 92: 4774112177, Class:  4, CF:0.218827, Len: 10, Fitness_tra: 0
Rule 93: 2bb7864b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 2b17862474, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: b11453b211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 117c4f71b1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 18bbc34b74, Class:  0, CF:0.905893, Len: 10, Fitness_tra: 0
Rule 98: b1b2c67227, Class:  2, CF:0.89111, Len: 10, Fitness_tra: 0
Rule 99: 12b41344bb, Class:  4, CF:0.973604, Len: 10, Fitness_tra: 0
Rule100: 74271341bb, Class:  4, CF:0.985194, Len: 10, Fitness_tra: 0
------Current------
Miss_rate(tra)	:87.6656
------Result------
Miss_rate(tra)	:87.6656
Miss_rate(tst)	:87.3857
ARL				:9.89333

------Generation 0------
Rule  1: 721bce11b7, Class:  0, CF:0.628139, Len: 10, Fitness_tra: 1216
Rule  2: 12225922b1, Class:  1, CF:0.987472, Len: 10, Fitness_tra: 40
Rule  3: 151b811214, Class:  1, CF:0.342645, Len: 10, Fitness_tra: 13
Rule  4: 2177111411, Class:  4, CF:0.133717, Len: 10, Fitness_tra: -8
Rule  5: 721b1a14b4, Class:  4, CF:0.999382, Len: 10, Fitness_tra: 0
Rule  6: 744bc11424, Class:  2, CF:0.988565, Len: 10, Fitness_tra: 0
Rule  7: 0000030005, Class:  4, CF:0.873631, Len:  2, Fitness_tra: 1
Rule  8: 7424831224, Class:  2, CF:0.971229, Len: 10, Fitness_tra: 0
Rule  9: 74271341bb, Class:  4, CF:0.985194, Len: 10, Fitness_tra: 0
Rule 10: 12b41344bb, Class:  4, CF:0.973604, Len: 10, Fitness_tra: 0
Rule 11: 717726b471, Class:  4, CF:0.989359, Len: 10, Fitness_tra: 0
Rule 12: 1b2b11b711, Class:  2, CF:0.386906, Len: 10, Fitness_tra: -25
Rule 13: 71bb8e74b4, Class:  2, CF:0.960524, Len: 10, Fitness_tra: 0
Rule 14: 43b115b242, Class:  2, CF:0.999822, Len: 10, Fitness_tra: 0
Rule 15: 2511157b42, Class:  4, CF:0.88889, Len: 10, Fitness_tra: 0
Rule 16: 11b7561424, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 72118174b2, Class:  2, CF:0.990878, Len: 10, Fitness_tra: 0
Rule 18: 481741b241, Class:  2, CF:0.441022, Len: 10, Fitness_tra: 0
Rule 19: 21748a47c4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 1b749674b2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: bb4781b124, Class:  2, CF:0.998332, Len: 10, Fitness_tra: 0
Rule 22: b1b2c67227, Class:  2, CF:0.89111, Len: 10, Fitness_tra: 0
Rule 23: 7742c32422, Class:  2, CF:0.798661, Len: 10, Fitness_tra: 0
Rule 24: 0000000000, Class:  4, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 17443347b7, Class:  4, CF:0.967656, Len: 10, Fitness_tra: 0
Rule 26: 214b19b1b1, Class:  2, CF:0.530837, Len: 10, Fitness_tra: -1
Rule 27: b2728a7717, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 2172214242, Class:  2, CF:0.881899, Len: 10, Fitness_tra: 0
Rule 29: 7472211b14, Class:  4, CF:0.495624, Len: 10, Fitness_tra: 0
Rule 30: 1324857188, Class:  2, CF:  1, Len: 10, Fitness_tra: 0
Rule 31: 7cb271722b, Class:  2, CF:0.0726806, Len: 10, Fitness_tra: 0
Rule 32: 281149b47b, Class:  0, CF:0.137629, Len: 10, Fitness_tra: 0
Rule 33: 4417267b77, Class:  4, CF:0.998504, Len: 10, Fitness_tra: 0
