------Generation 0------
Rule  1: 00000000000000000000000000000000000000000000, Class:  1, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule  2: 1155316161613e1116e11351151113631316133e3151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 111191e1e9361e113ed9311511351111111e31111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 000d0090000005e00000600d006000ee550000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0000000000f0e0000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 0000000000a000000a00000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 331311311161311133953133111131661131e3331511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 331111191311e5111133351111313111193331393111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 111111151111131111113e5115312113131191111511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 3116153161333313191111191533e13191e1911e1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 3113151111f111111115311511355111311119311111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000000000000000000000000000000000000000, Class:  1, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule 13: 009000600e0e000000000060f0000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 00000000000000a000000000000000000000000f0f0f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 31551911111313e33313631133e33119311311119911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 050000000000000000000000000000000000000e000e, Class:  0, CF:0.661493, Len:  3, Fitness_tra: 2
Rule 17: 00000000000000000000000000000000000000000000, Class:  1, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule 18: 000000000d0000000000000000000000000005090000, Class:  0, CF:0.341668, Len:  3, Fitness_tra: -12
Rule 19: 00000000000000000000000000000000000000000000, Class:  1, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule 20: 00000000000000000000000000000a00000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 5
Rule 21: 000000000000000000000000060e6000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 3131113131111133131e311515133113333113911211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 0000000000000000000000000000000000000000000f, Class:  1, CF:  1, Len:  1, Fitness_tra: 6
Rule 24: 11393131a131131e3311319151e133631e1113363313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000a0000000000000000000000000000a00, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 26: 13131111911315113111111112311111113115111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 11111111e11113113153191121115113111111512112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000da000000000000000000000000005090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: e0090000a00000000090000000900e0000ee00090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 00000000000000000000000000000000600000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 2
Rule 31: 3111393131131139365313535511113393111111151d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 00000000000000000000000000600000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 33: 00000000000000000000000000050000000000000000, Class:  0, CF:0.100674, Len:  1, Fitness_tra: -10
Rule 34: 00000000000000000000000000000000000000000000, Class:  1, CF:3.33067e-16, Len:  0, Fitness_tra: 0
Rule 35: 06000000950000a0000600000000000000000000000a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
