------Generation 0------
Rule  1: 0000a0000000000000d005000000e9f0000000090000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00000000000000000000000000009000000000090000, Class:  0, CF:0.362505, Len:  2, Fitness_tra: -7
Rule  3: 600000000e00000000000000000000f0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 3111e3e1a1311993ae911131e311a1331311e131e115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00000000a00000000600005500000000000000000000, Class:  1, CF:  1, Len:  4, Fitness_tra: 0
Rule  6: 50500000000900a0000e0000000000990000d5000000, Class:  1, CF:  1, Len:  9, Fitness_tra: 0
Rule  7: 0000000000000000000000000000000a000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule  8: 00000000000000000a00000000000000000000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 1
Rule  9: 50000000000000000000000000000000000000000000, Class:  0, CF:0.0293321, Len:  1, Fitness_tra: 0
Rule 10: 1119599666113111113119131113e663911a53931513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 11113961f661111e6111111159e531311e1111163313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 000000000e000000000e000000006000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 006000000000a0000000000000000000000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 14: 000000000000000000000000000000000000000e0000, Class:  0, CF:0.369253, Len:  1, Fitness_tra: -31
Rule 15: 91d13331113991111333111339631e1355331111191e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 0e000060000000000000030000000060500000000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 00590000000050000000000500000090000a0a000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: e31315e1e1111515399931111111e313111331131151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 0000000000fe00f00000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 00006e00e00000000000000000006a000000000f0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 331615111e31111e6e111133113133111933113e1511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 15111111111111111111113311112113111211151111, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 23: 0e00000000000000f0000000000000e00000e00e0900, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 11111111311113511151e13551111111111131158181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 06e00e000000000000000000090090000ee000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000000000000000000000000000000000f00060, Class:  1, CF:  1, Len:  2, Fitness_tra: 0
Rule 27: 33119131113133311e11115111131161593313111111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: e19115916363e3e13111115191396166916111111393, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 00000000000500000060000000000000500000000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 1
Rule 30: 00000000000000000000000000006090000000000000, Class:  1, CF:  1, Len:  2, Fitness_tra: 3
Rule 31: 00000000000000000000000000000000600000000000, Class:  1, CF:  1, Len:  1, Fitness_tra: 3
Rule 32: 000000000e0000000000000000a6e009500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 0000000000a0e0000000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 00000000000000000000000000000000000000000000, Class:  1, CF:6.10623e-16, Len:  0, Fitness_tra: 0
Rule 35: 00000005000000000000000000000000000000000000, Class:  0, CF:0.0921609, Len:  1, Fitness_tra: -11
Rule 36: 315319e3a3133e3331113315e5316631311113333e31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: e000006000000000f600006000000909500000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 1939113e3136e1113113119151313116311136131111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 00000000000000000000000000000000000000000000, Class:  1, CF:6.10623e-16, Len:  0, Fitness_tra: 0
Rule 40: 00000000f0000e00a000000000000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 965519e31311113161113391313163e3513e31131113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 51111111111111e11153111111112113191111111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000005e0000000000000000000e00950, Class:  1, CF:0.471639, Len:  5, Fitness_tra: 0
Rule 44: 31331131311111111113311121111113111113311112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 5000e090050060090505050000000500000003000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 11111111311311221111111121111113115111111211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 00500000a0000000a600005500000000000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 11111111111111111151111111121111311211151211, Class:  1, CF:  1, Len: 44, Fitness_tra: 0
Rule 49: 00000000000000000000000000000000000000000000, Class:  1, CF:6.10623e-16, Len:  0, Fitness_tra: 0
