------Generation 0------
Rule  1: d152118811811121e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 000000000020000000, Class:  1, CF:0.0797478, Len:  1, Fitness_tra: 0
Rule  3: 000000002000000000, Class:  1, CF:0.132755, Len:  1, Fitness_tra: -1
Rule  4: d00b00000000050004, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 0800000005c0000000, Class:  1, CF:0.417121, Len:  3, Fitness_tra: -11
Rule  6: 07c0000000b0480004, Class:  0, CF:  1, Len:  6, Fitness_tra: 0
Rule  7: 2211172111221411e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 31681214111e382184, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 00000000060000d002, Class:  1, CF:0.0166007, Len:  3, Fitness_tra: 0
Rule 10: 000000000000000055, Class:  1, CF:0.0075794, Len:  2, Fitness_tra: 0
Rule 11: 000000000000c40008, Class:  1, CF:0.0694449, Len:  3, Fitness_tra: 0
Rule 12: 0000000c000d000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 52112421b121111113, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 14: 8152148541c4d12715, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 000000004000000000, Class:  1, CF:0.152012, Len:  1, Fitness_tra: -88
Rule 16: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 171c14131474121113, Class:  0, CF:0.642141, Len: 18, Fitness_tra: 0
Rule 18: 2114418d212cd11125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 000000005000000000, Class:  1, CF:0.051466, Len:  1, Fitness_tra: 0
Rule 20: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1115245c1155911115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 811c22194c12222291, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1222111e114b421115, Class:  0, CF:0.946617, Len: 18, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 1311c21251dd581155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 00005b004200000009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 0000000000000000d0, Class:  0, CF:0.0460788, Len:  1, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 829c122312122b1131, Class:  1, CF:0.11425, Len: 18, Fitness_tra: 0
Rule 32: 000000003000000002, Class:  0, CF:0.183228, Len:  2, Fitness_tra: 101
Rule 33: 122121c3b8272411d3, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 34: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 0000000000000050dd, Class:  1, CF:0.287098, Len:  3, Fitness_tra: -1
Rule 37: 81d127212814121222, Class:  1, CF:0.274934, Len: 18, Fitness_tra: 0
Rule 38: 112522c1251c871413, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 0000000000000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 00000000000000000a, Class:  0, CF:0.392729, Len:  1, Fitness_tra: 88
Rule 41: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 51d124251d88215182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 090000000500000000, Class:  1, CF:0.0108718, Len:  2, Fitness_tra: 0
Rule 45: 966111e71651121121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 5cd81428c128111233, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 000000000000000002, Class:  1, CF:0.107001, Len:  1, Fitness_tra: -2
Rule 48: 1192742d43c1142128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 55511411118c821723, Class:  0, CF:0.969249, Len: 18, Fitness_tra: 0
Rule 50: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 000000000b00000000, Class:  0, CF:0.0739152, Len:  1, Fitness_tra: 5
Rule 52: 000000000000006000, Class:  0, CF:0.0835037, Len:  1, Fitness_tra: 25
Rule 53: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 811114c5421c1c1182, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
