------Generation 0------
Rule  1: 0c0000000000000000, Class:  0, CF:0.24767, Len:  1, Fitness_tra: 131
Rule  2: 121cc44148118b2253, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule  3: 08000000080000c000, Class:  1, CF:0.24743, Len:  3, Fitness_tra: -4
Rule  4: 000000002000000000, Class:  1, CF:0.144083, Len:  1, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule  6: 0550b0000000000000, Class:  1, CF:0.343316, Len:  3, Fitness_tra: -4
Rule  7: 00008b004200002009, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule  9: 815121154d1c811181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 002080004000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 11: 513121345d115c1c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 181c21152524821263, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 13: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule 14: 090000000000000000, Class:  1, CF:0.125496, Len:  1, Fitness_tra: 0
Rule 15: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule 16: 000500000000000000, Class:  0, CF:0.273736, Len:  1, Fitness_tra: 1
Rule 17: 0000c0000000000000, Class:  0, CF:0.697899, Len:  1, Fitness_tra: 8
Rule 18: c217221e2422121121, Class:  0, CF:0.973575, Len: 18, Fitness_tra: 0
Rule 19: 5812272525c4811181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 2000000000000c0000, Class:  0, CF:0.656437, Len:  2, Fitness_tra: 0
Rule 21: 00000000000000e000, Class:  1, CF:0.610287, Len:  1, Fitness_tra: 2
Rule 22: 0000c0000c00000000, Class:  0, CF:0.975502, Len:  2, Fitness_tra: 2
Rule 23: 0a0000000000002000, Class:  1, CF:0.268361, Len:  2, Fitness_tra: 0
Rule 24: 7000000000000070b0, Class:  0, CF:0.322984, Len:  3, Fitness_tra: 6
Rule 25: 25142785182c814c21, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 02000c00404000e000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 51d8215811811221ee, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 8212b2c1c822882121, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule 30: 000000000000000000, Class:  0, CF:1.83187e-15, Len:  0, Fitness_tra: 0
Rule 31: 000000004200002060, Class:  0, CF:0.65278, Len:  4, Fitness_tra: 0
Rule 32: 090800000000000000, Class:  1, CF:0.26984, Len:  2, Fitness_tra: 0
Rule 33: 12151b288118144233, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 000000000000800000, Class:  1, CF:0.180856, Len:  1, Fitness_tra: -16
