------Generation 0------
Rule  1: 0400000000b0400400, Class:  0, CF:0.345871, Len:  4, Fitness_tra: 30
Rule  2: 121121cd821215b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  3: 5531141111cc2c1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 5111c125b411742111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: c51c21114542112111, Class:  0, CF:0.314867, Len: 18, Fitness_tra: 0
Rule  7: d59221cdcd88123111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 000000004000000000, Class:  1, CF:0.154824, Len:  1, Fitness_tra: -13
Rule  9: 000000000000000002, Class:  1, CF:0.100437, Len:  1, Fitness_tra: 0
Rule 10: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 00000c000000000300, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 12: 828122291211512bcc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 0c8000000000000000, Class:  0, CF:0.243132, Len:  2, Fitness_tra: 36
Rule 14: 0400000000004cb000, Class:  0, CF:0.857528, Len:  4, Fitness_tra: 2
Rule 15: 555c14c32521211831, Class:  1, CF:0.58299, Len: 18, Fitness_tra: 0
Rule 16: c551228d59141c4812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00e000000000000000, Class:  1, CF:0.408236, Len:  1, Fitness_tra: -12
Rule 19: c511148122145c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d00080e00300000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: c5cbbb8d8111281521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 111511319911e11124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 000000003000000000, Class:  0, CF:0.201589, Len:  1, Fitness_tra: 114
Rule 25: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 111242158122821221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 82528125c11ccc22d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00a070003000000000, Class:  1, CF:0.320303, Len:  3, Fitness_tra: 0
Rule 29: 0000000000000000d0, Class:  0, CF:0.092332, Len:  1, Fitness_tra: 0
Rule 30: 000000000000000070, Class:  1, CF:0.0441428, Len:  1, Fitness_tra: 0
Rule 31: 215114131841121113, Class:  0, CF:0.737494, Len: 18, Fitness_tra: 0
Rule 32: 000000000000080502, Class:  0, CF:0.853415, Len:  3, Fitness_tra: 0
Rule 33: 812c4711b4bb721131, Class:  0, CF:0.154901, Len: 18, Fitness_tra: 0
Rule 34: 1d18cb85c181541455, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00e000000000000000, Class:  1, CF:0.408236, Len:  1, Fitness_tra: 0
Rule 36: 000000002000000000, Class:  1, CF:0.137325, Len:  1, Fitness_tra: 0
Rule 37: 040000000000bc0000, Class:  0, CF:0.51231, Len:  3, Fitness_tra: 0
Rule 38: 5511122185128c4111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0000c0000000000000, Class:  0, CF:0.72943, Len:  1, Fitness_tra: 13
Rule 41: 521127234142221116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 090000000500000003, Class:  0, CF:0.945712, Len:  3, Fitness_tra: 6
Rule 44: 111113c14112511111, Class:  1, CF:0.213621, Len: 18, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2254112dc28c581812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000005000000000, Class:  1, CF:0.0657736, Len:  1, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2c1122414c22111411, Class:  0, CF:0.123596, Len: 18, Fitness_tra: 0
Rule 51: 5165123291d51c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000004000005000, Class:  1, CF:0.600998, Len:  2, Fitness_tra: 0
Rule 53: 0a0000000000000000, Class:  1, CF:0.211365, Len:  1, Fitness_tra: -3
Rule 54: 1258248114824111ee, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 96e14c9b11531c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000000d00d000000, Class:  1, CF:0.0480049, Len:  2, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 000000000000000003, Class:  0, CF:0.339169, Len:  1, Fitness_tra: 100
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000b0000088000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 63: 9915143219d1941153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1511111d891c512215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 112b1129c18c182122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000004000000000, Class:  1, CF:0.154824, Len:  1, Fitness_tra: 0
Rule 68: c587241311cc854272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000003000000002, Class:  0, CF:0.190634, Len:  2, Fitness_tra: 0
Rule 70: 000000000b00000000, Class:  0, CF:0.0803502, Len:  1, Fitness_tra: 0
Rule 71: 581122214824241291, Class:  0, CF:0.957861, Len: 18, Fitness_tra: 0
Rule 72: 000000005000000000, Class:  1, CF:0.0657736, Len:  1, Fitness_tra: 0
Rule 73: 11111123114112125d, Class:  0, CF:0.446541, Len: 18, Fitness_tra: 0
Rule 74: 25512b15488c141181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00400000000000000b, Class:  0, CF:0.281445, Len:  2, Fitness_tra: 34
Rule 76: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 151c41c145125c1888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 000000000c00000000, Class:  0, CF:0.111091, Len:  1, Fitness_tra: 1
Rule 79: 591124919953182112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 5000000a00000000c0, Class:  1, CF:0.557652, Len:  3, Fitness_tra: 0
Rule 83: d00000000000000004, Class:  1, CF:0.423759, Len:  2, Fitness_tra: -3
Rule 84: 000000000000000003, Class:  0, CF:0.339169, Len:  1, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: d000000005000c0020, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 89: 9000000c50000c00e0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 81511215122ccc1585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 0dd080000000040008, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 94: 0000000000000000b0, Class:  0, CF:0.122583, Len:  1, Fitness_tra: 2
Rule 95: 1554212d11841c4524, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 000000b60000000000, Class:  0, CF:0.0786921, Len:  2, Fitness_tra: 0
Rule 97: c82227814111d58171, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: 211114737142214112, Class:  1, CF:0.409661, Len: 18, Fitness_tra: 0
Rule 99: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 55547c21898c5242c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:29.6978
------Result------
Miss_rate(tra)	:29.6978
Miss_rate(tst)	:21.1765
ARL				:5.9375

------Generation 0------
Rule  1: 000000003000000000, Class:  0, CF:0.201589, Len:  1, Fitness_tra: 82
Rule  2: 000000000000000003, Class:  0, CF:0.339169, Len:  1, Fitness_tra: 100
Rule  3: 0c8000000000000000, Class:  0, CF:0.243132, Len:  2, Fitness_tra: 23
Rule  4: 00400000000000000b, Class:  0, CF:0.281445, Len:  2, Fitness_tra: 22
Rule  5: 0400000000b0400400, Class:  0, CF:0.345871, Len:  4, Fitness_tra: 15
Rule  6: 0000c0000000000000, Class:  0, CF:0.72943, Len:  1, Fitness_tra: 6
Rule  7: 090000000500000003, Class:  0, CF:0.945712, Len:  3, Fitness_tra: 6
Rule  8: 0000000000000000b0, Class:  0, CF:0.122583, Len:  1, Fitness_tra: 0
Rule  9: 00000c000000000300, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 10: 0400000000004cb000, Class:  0, CF:0.857528, Len:  4, Fitness_tra: 1
Rule 11: 000000000c00000000, Class:  0, CF:0.111091, Len:  1, Fitness_tra: 0
Rule 12: c51c21114542112111, Class:  0, CF:0.314867, Len: 18, Fitness_tra: 0
Rule 13: 121121cd821215b711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 55547c21898c5242c2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 555c14c32521211831, Class:  1, CF:0.58299, Len: 18, Fitness_tra: 0
Rule 16: c551228d59141c4812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c511148122145c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d00080e00300000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: c5cbbb8d8111281521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 111511319911e11124, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 5531141111cc2c1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 111242158122821221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 82528125c11ccc22d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 00a070003000000000, Class:  1, CF:0.320303, Len:  3, Fitness_tra: 0
Rule 29: 0000000000000000d0, Class:  0, CF:0.092332, Len:  1, Fitness_tra: 0
Rule 30: 000000000000000070, Class:  1, CF:0.0441428, Len:  1, Fitness_tra: 0
Rule 31: 215114131841121113, Class:  0, CF:0.737494, Len: 18, Fitness_tra: 0
Rule 32: 000000000000080502, Class:  0, CF:0.853415, Len:  3, Fitness_tra: 0
Rule 33: 812c4711b4bb721131, Class:  0, CF:0.154901, Len: 18, Fitness_tra: 0
Rule 34: 1d18cb85c181541455, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 00e000000000000000, Class:  1, CF:0.408236, Len:  1, Fitness_tra: -9
Rule 36: 000000002000000000, Class:  1, CF:0.137325, Len:  1, Fitness_tra: 0
Rule 37: 040000000000bc0000, Class:  0, CF:0.51231, Len:  3, Fitness_tra: 0
Rule 38: 5511122185128c4111, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 39: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000000000000000002, Class:  1, CF:0.100437, Len:  1, Fitness_tra: 0
Rule 41: 521127234142221116, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 42: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 000000e03000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 111113c14112511111, Class:  1, CF:0.213621, Len: 18, Fitness_tra: 0
Rule 45: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 2254112dc28c581812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 000000005000000000, Class:  1, CF:0.0657736, Len:  1, Fitness_tra: 0
Rule 49: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 2c1122414c22111411, Class:  0, CF:0.123596, Len: 18, Fitness_tra: 0
Rule 51: 5165123291d51c1115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 000000004000005000, Class:  1, CF:0.600998, Len:  2, Fitness_tra: 5
Rule 53: 211114737142214112, Class:  1, CF:0.409661, Len: 18, Fitness_tra: 0
Rule 54: 1258248114824111ee, Class:  0, CF:  1, Len: 18, Fitness_tra: 0
Rule 55: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 96e14c9b11531c218d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 00000000d00d000000, Class:  1, CF:0.0480049, Len:  2, Fitness_tra: 0
Rule 59: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 5111c125b411742111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 0000000b0000088000, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 63: 9915143219d1941153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 1511111d891c512215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 112b1129c18c182122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 000000004000000000, Class:  1, CF:0.154824, Len:  1, Fitness_tra: -8
Rule 68: c587241311cc854272, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 000000003000000002, Class:  0, CF:0.190634, Len:  2, Fitness_tra: 0
Rule 70: 000000000b00000000, Class:  0, CF:0.0803502, Len:  1, Fitness_tra: 0
Rule 71: 581122214824241291, Class:  0, CF:0.957861, Len: 18, Fitness_tra: 0
Rule 72: 000000005000000000, Class:  1, CF:0.0657736, Len:  1, Fitness_tra: 0
Rule 73: 11111123114112125d, Class:  0, CF:0.446541, Len: 18, Fitness_tra: 0
Rule 74: 25512b15488c141181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 151c41c145125c1888, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: d59221cdcd88123111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: 591124919953182112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 000000000000080502, Class:  0, CF:0.853415, Len:  0, Fitness_tra: 0
Rule 83: 000000d02000000200, Class:  1, CF:0.325128, Len:  3, Fitness_tra: -1
Rule 84: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 044000000000000000, Class:  0, CF:0.247551, Len:  2, Fitness_tra: 95
Rule 87: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 040040c040c0470000, Class:  1, CF:0.185368, Len:  7, Fitness_tra: 0
Rule 89: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 000000000000600000, Class:  1, CF:0.0120504, Len:  1, Fitness_tra: 0
Rule 92: da00000052101c4810, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: c5cb708d8911280021, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 0c8080000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 95: b000c0000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 96: 0c3000000000200000, Class:  0, CF:0.828337, Len:  3, Fitness_tra: 0
Rule 97: 000009003000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 98: 000000003000600400, Class:  1, CF:0.0321738, Len:  3, Fitness_tra: 0
Rule 99: 0057020050101c0092, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1511111009100c8211, Class:  0, CF:  1, Len: 14, Fitness_tra: 0
------Current------
Miss_rate(tra)	:27.3325
------Result------
Miss_rate(tra)	:27.3325
Miss_rate(tst)	:17.6471
ARL				:6.22449

------Generation 1------
Rule  1: 000000000000000003, Class:  0, CF:0.339169, Len:  1, Fitness_tra: 101
Rule  2: 044000000000000000, Class:  0, CF:0.247551, Len:  2, Fitness_tra: 92
Rule  3: 000000003000000000, Class:  0, CF:0.201589, Len:  1, Fitness_tra: 78
Rule  4: 0c8000000000000000, Class:  0, CF:0.243132, Len:  2, Fitness_tra: 25
Rule  5: 00400000000000000b, Class:  0, CF:0.281445, Len:  2, Fitness_tra: 23
Rule  6: 0400000000b0400400, Class:  0, CF:0.345871, Len:  4, Fitness_tra: 14
Rule  7: 0000c0000000000000, Class:  0, CF:0.72943, Len:  1, Fitness_tra: 6
Rule  8: 090000000500000003, Class:  0, CF:0.945712, Len:  3, Fitness_tra: 7
Rule  9: 000000004000005000, Class:  1, CF:0.600998, Len:  2, Fitness_tra: 10
Rule 10: 000009003000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 4
Rule 11: 00000c000000000300, Class:  0, CF:  1, Len:  2, Fitness_tra: 2
Rule 12: 0400000000004cb000, Class:  0, CF:0.857528, Len:  4, Fitness_tra: 1
Rule 13: 0c8080000000000000, Class:  0, CF:  1, Len:  3, Fitness_tra: 1
Rule 14: b000c0000000000000, Class:  0, CF:  1, Len:  2, Fitness_tra: 1
Rule 15: 0000000000000000b0, Class:  0, CF:0.122583, Len:  1, Fitness_tra: 5
Rule 16: c551228d59141c4812, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: c511148122145c11c8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: d00080e00300000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 000000000000000000, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
