------Generation 0------
Rule  1: 417581e192915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000b0059000e, Class:  1, CF:  1, Len:  4, Fitness_tra: 2
Rule  3: aa6199255511c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: b44319588d815, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 1332155914828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 3f32566d21153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 12f1111311921, Class:  0, CF:0.998101, Len: 13, Fitness_tra: 12
Rule  8: 1323881129581, Class:  0, CF:  1, Len: 13, Fitness_tra: 8
Rule  9: b1f12199822de, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: a921251511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: f5b123121251a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b8381d5221915, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 4421d15c1535d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: a111251951812, Class:  1, CF:  1, Len: 13, Fitness_tra: 2
Rule 15: 000000609000c, Class:  0, CF:  1, Len:  3, Fitness_tra: 11
Rule 16: 1111d212599d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21fdd1188e5d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1561181129d55, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 6aa1e2c515123, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: a92e51551151c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 71f2317d13151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 1121c15559131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a1b5451d61328, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 147181511d3e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 241119851d338, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: fd41181115991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 727e28131e118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 3afdd1e11111a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 2df23111d912d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: bc45d5e211651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 61acd333c2811, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 32: 1415381439192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 631195131c82d, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 34: 7cf8e51225355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: aff1111511116, Class:  0, CF:0.11204, Len: 13, Fitness_tra: 0
Rule 36: a172e121211e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 424328581d35d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: a519111259532, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 0003500050000, Class:  0, CF:  1, Len:  3, Fitness_tra: 90
Rule 40: 2515c51191121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: 71781d6121919, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: ae41c25353111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: f971185559355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: bdf1122151c51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: b21d233e1c821, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: a31351c1251d8, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 47: 1f1d511d12c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 126c513112113, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 49: 427352953de19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 3375551211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: 75f2111111975, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 721525511d91c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 6169112251181, Class:  1, CF:0.676576, Len: 13, Fitness_tra: -23
Rule 54: 41f5dd1111221, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: a661128d53111, Class:  0, CF:  1, Len: 13, Fitness_tra: 6
Rule 56: 1172111555111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 57: 1135118515129, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 58: 41b2231911828, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 47b1d81212152, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 66f1193125886, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 3349315581911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 72b1481199115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 1af1511128223, Class:  0, CF:  1, Len: 13, Fitness_tra: 10
Rule 64: ae1129e121556, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: a131111188159, Class:  0, CF:  1, Len: 13, Fitness_tra: 5
Rule 66: 1a6d2d9511116, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 4141115191319, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 0c007ee5e0c00, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 312915d325d22, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 41111111d13d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 18f2311129111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 78315121815d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: 611e159119318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 48a5113112119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 611852d153581, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 76: 1f129153182ca, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 3175211258991, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: 114115185d99d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a92e12d129515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 00004000304d0, Class:  0, CF:0.0233402, Len:  4, Fitness_tra: 201
Rule 81: 41b18e5c15351, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 2171291211551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 83: 00000060e000c, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 84: f521d11255111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 7171155851518, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 66a59825d1183, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: bc4ce991c5e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 6972515155535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 751d19914c813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 7531d28511159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 6e798d1311d58, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: 471e11e1d2159, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 1321e21811911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 132153d21591d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 7218dd151e8a1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: a112915511951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
