------Generation 0------
Rule  1: b5fce13111935, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111131818111c, Class:  1, CF:0.221466, Len: 13, Fitness_tra: -2
Rule  3: 363c19618cccd, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: fe111c8153111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 020b9f6200099, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 222259551121e, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule  7: f97ce3c125111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 414688d951115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 1d611154c1112, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1d4e112155118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 6e41155181111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 18f1813122881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 313531899d185, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 1b26c8115531d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 6145129319158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 6f3dd15181111, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 17: 42fed1d525111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: faf1816521816, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: b771811515151, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: af65151982219, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 1e19155c55511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: b4b1419111971, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: bc3e8181235c9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b1f2522155523, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 45f1c111d521e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 15a1511551c15, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 45f293c923315, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 747dc1911d155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 63f1115531811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: b113c255e1551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 14761512d13d9, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 612115d5c55e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 72a11ee921153, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 1e11d25385511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 22f5113611145, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 36: 117ed21d511d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 112eddec81313, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b4b1331211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 7245111815d92, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1e7139121519c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 31449d51515e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1538118511511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 6a15553515433, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 7121582519918, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 2126175da9145, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 251381125d152, Class:  0, CF:  1, Len: 13, Fitness_tra: 4
Rule 47: 7832131351118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 1db83111189e3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 13f1533111816, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
