------Generation 0------
Rule  1: 7223821233118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000080003004, Class:  0, CF:0.222509, Len:  3, Fitness_tra: 43
Rule  3: 1229511525155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 177ed19551e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 314512811d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 6123113c14196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1af1911121181, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule  8: 41f1111111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 6571116169128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 40
Rule 11: 1b22115811519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: b4b657553d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: f3a2111118583, Class:  0, CF:0.0274237, Len: 13, Fitness_tra: 4
Rule 14: 00020d9000d80, Class:  0, CF:  1, Len:  5, Fitness_tra: 3
Rule 15: 4111156111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 4b25818d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21768859551d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 6aa83e1dd2951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: f1255458551d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: aaa2151151113, Class:  1, CF:0.805904, Len: 13, Fitness_tra: 0
Rule 21: 0000000009200, Class:  0, CF:0.96614, Len:  2, Fitness_tra: 129
Rule 22: 22a5131918211, Class:  0, CF:  1, Len: 13, Fitness_tra: 1
Rule 23: 78a115d18d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b1a15d5515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2111152859111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 0300000500050, Class:  0, CF:0.0684848, Len:  3, Fitness_tra: 5
Rule 27: 61422d691d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f1b151181d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: ff659591c288a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 75641121d1925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b24fc49165e1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 12a171351241e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 7c65152181215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3fa5153351c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7132112151519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 136211d525553, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2df1188153221, Class:  0, CF:0.336959, Len: 13, Fitness_tra: 0
Rule 38: 7161138213111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6371151915851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1141e11d1331d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1e2c11111d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f291555118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 152c112185651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 731ca211d9115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 74298211252d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b2115211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 192191c155192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f365911191511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 61b2e155115ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12753de111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: a343132111138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 19b1e1121d615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b8b5d36cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1471158915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71b83531d1932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 57: f3a1113151156, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 7231315c815d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 24b95de815398, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3e2191c8d5531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 11f1155815112, Class:  0, CF:  1, Len: 13, Fitness_tra: 2
Rule 62: 35731912819e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 71f2d15121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7518e15211311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2141115911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b22e21e21d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11f55d1511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 786191c825355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1131581ce9c23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 0000c000c0300, Class:  1, CF:0.0892762, Len:  3, Fitness_tra: -84
Rule 71: 2c15551252e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 663d311115c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: a1f11899d2883, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 6e1c192522912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 00000000d0800, Class:  1, CF:0.0929927, Len:  2, Fitness_tra: -126
Rule 76: 1262935c19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 77: 1afc938118181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 78: 41b211d1e5119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: bc6c111221111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: a6b1853151d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 1615d15511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 82: 00020d9000d80, Class:  0, CF:  1, Len:  5, Fitness_tra: 0
Rule 83: 36fd551511149, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 4218d13413511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: 00000d0030000, Class:  0, CF:0.505724, Len:  2, Fitness_tra: 184
Rule 86: 33b3211313125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 87: 7918585511521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 69b1e55811195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: af111e35c8823, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 90: 613d551185211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: 1115811565121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 92: a1f3d2158d256, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 93: 35b115d815338, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: b831813111813, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: f3be1dcd81115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 96: 331ce92115122, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 97: 2712311cd1191, Class:  1, CF:0.730121, Len: 13, Fitness_tra: 0
Rule 98: 000000e00c000, Class:  0, CF:0.783796, Len:  2, Fitness_tra: 69
Rule 99: 19f2111912c81, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 1961351111325, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
------Current------
Miss_rate(tra)	:37.3737
------Result------
Miss_rate(tra)	:37.3737
Miss_rate(tst)	:30.303
ARL				:8.64

------Generation 0------
Rule  1: 00000d0030000, Class:  0, CF:0.505724, Len:  2, Fitness_tra: 164
Rule  2: 0000000009200, Class:  0, CF:0.96614, Len:  2, Fitness_tra: 107
Rule  3: 000000e00c000, Class:  0, CF:0.783796, Len:  2, Fitness_tra: 71
Rule  4: 0000080003004, Class:  0, CF:0.222509, Len:  3, Fitness_tra: 44
Rule  5: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 38
Rule  6: 0300000500050, Class:  0, CF:0.0684848, Len:  3, Fitness_tra: 0
Rule  7: f3a2111118583, Class:  0, CF:0.0274237, Len: 13, Fitness_tra: 0
Rule  8: 00020d9000d80, Class:  0, CF:  1, Len:  5, Fitness_tra: 3
Rule  9: 11f1155815112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 22a5131918211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1af1911121181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 7223821233118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 314512811d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 6123113c14196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 4111156111115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 4b25818d15111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 21768859551d5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 6aa83e1dd2951, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: f1255458551d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: aaa2151151113, Class:  1, CF:0.805904, Len: 13, Fitness_tra: 0
Rule 21: 1229511525155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 41f1111111352, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 78a115d18d181, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: b1a15d5515215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2111152859111, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 6571116169128, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 61422d691d55d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: f1b151181d115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: ff659591c288a, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 75641121d1925, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: b24fc49165e1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 12a171351241e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 7c65152181215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 3fa5153351c23, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 35: 7132112151519, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 136211d525553, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2df1188153221, Class:  0, CF:0.336959, Len: 13, Fitness_tra: 0
Rule 38: 7161138213111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 6371151915851, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 1141e11d1331d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: 1e2c11111d12d, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 42f291555118c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 152c112185651, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 731ca211d9115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 74298211252d2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: f9b2115211111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: 192191c155192, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: f365911191511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 49: 61b2e155115ed, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 50: 12753de111193, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 51: a343132111138, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 19b1e1121d615, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: b8b5d36cc2531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 54: 1471158915111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 55: 71b83531d1932, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 56: 0008000400e0e, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 57: f3a1113151156, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 58: 7231315c815d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 59: 24b95de815398, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 60: 3e2191c8d5531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: 177ed19551e19, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 62: 35731912819e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 63: 71f2d15121111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 7518e15211311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 65: 2141115911111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 66: b22e21e21d311, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 67: 11f55d1511155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 68: 786191c825355, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 69: 1131581ce9c23, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 70: 1961351111325, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 71: 2c15551252e11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 72: 663d311115c8e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 73: a1f11899d2883, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 74: 6e1c192522912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 75: 1262935c19111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 76: 1afc938118181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 77: 41b211d1e5119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 78: bc6c111221111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 79: a6b1853151d1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 80: 1615d15511131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 81: 131d32121d889, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 82: 0000000008000, Class:  0, CF:0.047908, Len:  1, Fitness_tra: 298
Rule 83: 191921d315511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 84: 1115d111e5318, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 85: a33d981515829, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 86: 0000c000c0900, Class:  1, CF:0.0415054, Len:  3, Fitness_tra: 0
Rule 87: 451152151511e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 88: 611553dd18211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 89: 00020d3000d20, Class:  0, CF:0.0837398, Len:  5, Fitness_tra: 0
Rule 90: b2621d1185213, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 91: bc6c111231111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 92: a2a2511151195, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 93: 1231531ce9c11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 94: 69b1e00501195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 95: 2c0550005800c, Class:  0, CF:  1, Len:  7, Fitness_tra: 0
Rule 96: c141135413111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 97: 69b1e55811195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 98: a2a0131958113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 99: 7564112151921, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule100: 0001011103101, Class:  1, CF:0.2894, Len:  7, Fitness_tra: -4
------Current------
Miss_rate(tra)	:9.53984
------Result------
Miss_rate(tra)	:9.53984
Miss_rate(tst)	:10.101
ARL				:8.30769

------Generation 1------
Rule  1: 00000d0030000, Class:  0, CF:0.505724, Len:  2, Fitness_tra: 164
Rule  2: 0000000009200, Class:  0, CF:0.96614, Len:  2, Fitness_tra: 107
Rule  3: 000000e00c000, Class:  0, CF:0.783796, Len:  2, Fitness_tra: 71
Rule  4: 0000080003004, Class:  0, CF:0.222509, Len:  3, Fitness_tra: 44
Rule  5: 0000e0000800c, Class:  0, CF:  1, Len:  3, Fitness_tra: 38
Rule  6: 0300000500050, Class:  0, CF:0.0684848, Len:  3, Fitness_tra: 0
Rule  7: f3a2111118583, Class:  0, CF:0.0274237, Len: 13, Fitness_tra: 0
Rule  8: 00020d9000d80, Class:  0, CF:  1, Len:  5, Fitness_tra: 3
Rule  9: 11f1155815112, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 10: 22a5131918211, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: 1af1911121181, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 12: 7223821233118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 314512811d521, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 6123113c14196, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
