------Generation 0------
Rule  1: 0000000080506, Class:  8, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 0000de0000d0d, Class:  7, CF:0.868557, Len:  4, Fitness_tra: 1
Rule  3: 0200800d0d900, Class:  8, CF:0.809055, Len:  5, Fitness_tra: -1
Rule  4: 0008000e00000, Class:  1, CF:0.187397, Len:  2, Fitness_tra: 4
Rule  5: 000500c0c09d0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: aa3555d521155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 771a1b3df91bc, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 00000000000d0, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 0000d00dc0290, Class: 10, CF:  1, Len:  5, Fitness_tra: 1
Rule 10: 4c681319d558c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 0f000c00000cd, Class:  5, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 41f5512315d28, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 2111213128251, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 0c00bee5e0400, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 3541456163111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 614e158155115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 7726d558159dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 00000000e0000, Class:  0, CF:0.131112, Len:  1, Fitness_tra: -8
Rule 19: 161d122813511, Class:  2, CF:0.852797, Len: 13, Fitness_tra: -4
Rule 20: 0003d00c00005, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 4421518285135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 0000000000020, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: a9412a1551c1f, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00003000c0000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 1115112551125, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: f113d82811585, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 0000000c008d0, Class:  9, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 0000000c00000, Class:  3, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 1311351536512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: a3b3d85151912, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 112e118383118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 000c000009000, Class:  6, CF:  0, Len:  0, Fitness_tra: 0
Rule 33: 1e73883c212d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: 24b1281555551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 000700059d00e, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: b413151115512, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 0003030000000, Class:  7, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: b1268212555dd, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 000c000000005, Class:  2, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 000e0902000c0, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 41: ae75e1288d131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1713dc5d255d8, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 43: 4476511511911, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 1df1ed1511811, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: 7864111111321, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 46: 0000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: a5121d3511135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 48: 6631114531551, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
