------Generation 0------
Rule  1: 11312c73c9122, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 111151112111c, Class:  1, CF:0.970906, Len: 13, Fitness_tra: 0
Rule  3: 111121b321228, Class:  1, CF:0.14153, Len: 13, Fitness_tra: 0
Rule  4: 1151811111553, Class:  0, CF:0.978113, Len: 13, Fitness_tra: 0
Rule  5: e2911318111d3, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 111855d851115, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1115811151151, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: e451191215511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  9: 825d2112545e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: 1cd511c181552, Class:  1, CF:0.983453, Len: 13, Fitness_tra: 0
Rule 11: 11d5112511211, Class:  1, CF:0.885862, Len: 13, Fitness_tra: 0
Rule 12: 313815d888535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 13: 1211191551113, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 9218815211515, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 15: 0000000000500, Class:  1, CF:0.437217, Len:  1, Fitness_tra: 9
Rule 16: 92118d5111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 2700000000020, Class:  0, CF:0.414478, Len:  3, Fitness_tra: -1
Rule 18: 11511141c5228, Class:  0, CF:0.993598, Len: 13, Fitness_tra: 0
Rule 19: 125521c512112, Class:  0, CF:0.0639554, Len: 13, Fitness_tra: 0
Rule 20: 3c51111812515, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 0000705050000, Class:  0, CF:0.855618, Len:  3, Fitness_tra: 0
Rule 22: 2451118111312, Class:  0, CF:0.98244, Len: 13, Fitness_tra: 0
Rule 23: 3115519111111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 0000090007004, Class:  0, CF:0.442527, Len:  3, Fitness_tra: -1
Rule 25: 2251c15111112, Class:  0, CF:0.996847, Len: 13, Fitness_tra: 0
Rule 26: 0000804940000, Class:  0, CF:0.4747, Len:  4, Fitness_tra: 0
Rule 27: 15158c1511211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 0700400000d50, Class:  0, CF:0.111967, Len:  4, Fitness_tra: 0
Rule 29: 0700000000050, Class:  0, CF:0.3727, Len:  2, Fitness_tra: -3
Rule 30: 000000b00000c, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 311111411341c, Class:  1, CF:0.94633, Len: 13, Fitness_tra: 0
Rule 32: 00008040c0000, Class:  0, CF:0.730692, Len:  3, Fitness_tra: 4
Rule 33: 000000c000000, Class:  0, CF:0.287015, Len:  1, Fitness_tra: 2
Rule 34: 1458131251215, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 11d111b925112, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 5115811121428, Class:  1, CF:0.260554, Len: 13, Fitness_tra: 0
Rule 37: 1c588132d5831, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 21d31c1311552, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 39: 5111c12111152, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 40: 1551814112c18, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 41: c200c08004000, Class:  0, CF:0.937314, Len:  5, Fitness_tra: 0
Rule 42: 115111112121c, Class:  0, CF:0.741038, Len: 13, Fitness_tra: 0
Rule 43: 000000c0b0500, Class:  1, CF:0.0718177, Len:  3, Fitness_tra: 0
Rule 44: 1251115115513, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 45: e211191251511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 46: 1111119cd1535, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 47: d03000004840c, Class:  0, CF:0.997308, Len:  6, Fitness_tra: 0
Rule 48: 00008070c0000, Class:  0, CF:0.45395, Len:  3, Fitness_tra: 0
Rule 49: 2115211311111, Class:  2, CF:0.786556, Len: 13, Fitness_tra: 0
Rule 50: 8411188182111, Class:  0, CF:0.841878, Len: 13, Fitness_tra: 0
Rule 51: 1412533111531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 52: 900000d008005, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 53: 0000060000000, Class:  2, CF:0.5749, Len:  1, Fitness_tra: 19
Rule 54: 1cd1111111193, Class:  0, CF:0.117431, Len: 13, Fitness_tra: 0
Rule 55: 81111151821e1, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 56: 211111c552112, Class:  0, CF:0.944594, Len: 13, Fitness_tra: 0
Rule 57: 1199112111112, Class:  1, CF:0.0217691, Len: 13, Fitness_tra: 0
Rule 58: 1238811121115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 59: 15118121c3118, Class:  0, CF:0.496258, Len: 13, Fitness_tra: 0
Rule 60: 1c35511115531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 61: e21c113211111, Class:  2, CF:0.997975, Len: 13, Fitness_tra: 0
Rule 62: 9115118121111, Class:  1, CF:0.674723, Len: 13, Fitness_tra: 0
Rule 63: 3111515511531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 64: 000000b0c0400, Class:  1, CF:0.601076, Len:  3, Fitness_tra: 8
Rule 65: 1211117321211, Class:  1, CF:0.542574, Len: 13, Fitness_tra: 0
Rule 66: 8185152121112, Class:  0, CF:0.390019, Len: 13, Fitness_tra: 0
