------Generation 0------
Rule  1: c25521c122184, Class:  1, CF:0.339463, Len: 13, Fitness_tra: 0
Rule  2: 000008c084550, Class:  0, CF:0.402775, Len:  6, Fitness_tra: 0
Rule  3: 511115d221115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule  4: e000804e40000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 00d000700040c, Class:  0, CF:0.735435, Len:  4, Fitness_tra: 0
Rule  6: 9155135118191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 31315951555d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 211d121111151, Class:  1, CF:0.930115, Len: 13, Fitness_tra: 0
Rule  9: 511111c211722, Class:  0, CF:0.975427, Len: 13, Fitness_tra: 0
Rule 10: 1c95115111113, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 11: cc15112121151, Class:  1, CF:0.942944, Len: 13, Fitness_tra: 0
Rule 12: 000070c050000, Class:  1, CF:0.0545673, Len:  3, Fitness_tra: 0
Rule 13: 511122712d228, Class:  0, CF:0.994562, Len: 13, Fitness_tra: 0
Rule 14: 1251411117111, Class:  2, CF:0.649584, Len: 13, Fitness_tra: 0
Rule 15: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 1111111181811, Class:  1, CF:0.819564, Len: 13, Fitness_tra: 0
Rule 17: 11d2555151531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1151211517111, Class:  2, CF:0.605187, Len: 13, Fitness_tra: 0
Rule 19: 113111c521112, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 20: 111553d111d35, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 8111111121532, Class:  1, CF:0.74945, Len: 13, Fitness_tra: 0
Rule 22: 11552c2321121, Class:  1, CF:  0, Len:  0, Fitness_tra: 0
