------Generation 0------
Rule  1: 15511221c3112, Class:  0, CF:0.628631, Len: 13, Fitness_tra: 0
Rule  2: 1111c11151111, Class:  1, CF:0.71777, Len: 13, Fitness_tra: 0
Rule  3: 0000060700000, Class:  2, CF:0.562787, Len:  2, Fitness_tra: 5
Rule  4: 1551111112112, Class:  2, CF:0.970317, Len: 13, Fitness_tra: 0
Rule  5: 31111111125e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 8000000030002, Class:  2, CF:0.0173014, Len:  3, Fitness_tra: 0
Rule  7: 1151591155511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 2115115111191, Class:  1, CF:0.692469, Len: 13, Fitness_tra: 0
Rule  9: 1155111112132, Class:  2, CF:0.985636, Len: 13, Fitness_tra: 0
Rule 10: 1215215151131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 2000000004000, Class:  0, CF:0.0382427, Len:  2, Fitness_tra: 0
Rule 12: 511111711511c, Class:  2, CF:0.983903, Len: 13, Fitness_tra: 0
Rule 13: 1228112181111, Class:  1, CF:0.684779, Len: 13, Fitness_tra: 0
Rule 14: 511582214221c, Class:  1, CF:0.832346, Len: 13, Fitness_tra: 0
Rule 15: 1112115258115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 16: 3212115211111, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 17: 2000008084d00, Class:  0, CF:0.665818, Len:  5, Fitness_tra: 0
Rule 18: 5511817315121, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 19: 111251d212115, Class:  0, CF:0.989806, Len: 13, Fitness_tra: 0
Rule 20: 2252215812111, Class:  1, CF:0.403046, Len: 13, Fitness_tra: 0
Rule 21: 5191282123241, Class:  0, CF:0.774792, Len: 13, Fitness_tra: 0
Rule 22: 2181115122111, Class:  0, CF:0.934479, Len: 13, Fitness_tra: 0
Rule 23: 181215d821531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 1151112121111, Class:  1, CF:0.343022, Len: 13, Fitness_tra: 0
Rule 25: 1115411981551, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 26: 5511221112221, Class:  0, CF:0.854475, Len: 13, Fitness_tra: 0
Rule 27: 14315311d1211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 28: 119118b519412, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 29: 1111122129271, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 30: 31152c7189212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 1211115181552, Class:  0, CF:0.815875, Len: 13, Fitness_tra: 0
Rule 32: 90005000c0009, Class:  0, CF:  1, Len:  4, Fitness_tra: 0
Rule 33: 1111515111115, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 34: 000080b040000, Class:  2, CF:0.343456, Len:  3, Fitness_tra: -2
Rule 35: 111181d111511, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 1215218182131, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 37: 2111111114151, Class:  0, CF:0.33508, Len: 13, Fitness_tra: 0
Rule 38: 1121c11214111, Class:  2, CF:0.683989, Len: 13, Fitness_tra: 0
Rule 39: 3c52195115511, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 0000000008400, Class:  0, CF:0.127258, Len:  2, Fitness_tra: -2
Rule 41: 11511c2d21121, Class:  1, CF:0.154849, Len: 13, Fitness_tra: 0
Rule 42: 1155511121442, Class:  1, CF:0.487787, Len: 13, Fitness_tra: 0
