------Generation 0------
Rule  1: 2251211121151, Class:  0, CF:0.800473, Len: 13, Fitness_tra: 0
Rule  2: 0003000007004, Class:  0, CF:0.638303, Len:  3, Fitness_tra: -6
Rule  3: 1511124322112, Class:  1, CF:0.0170182, Len: 13, Fitness_tra: 0
Rule  4: 02e0807040000, Class:  0, CF:0.774528, Len:  5, Fitness_tra: 0
Rule  5: 1151122311211, Class:  0, CF:0.339759, Len: 13, Fitness_tra: 0
Rule  6: 1c15151121511, Class:  1, CF:0.999853, Len: 13, Fitness_tra: 0
Rule  7: 34d113121d111, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule  8: 3111111155135, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 8780000000000, Class:  0, CF:0.159175, Len:  3, Fitness_tra: -8
Rule 10: 1515112348881, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55311141c1212, Class:  0, CF:0.786352, Len: 13, Fitness_tra: 0
Rule 12: 9191cc2113121, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 13: 1195822111122, Class:  1, CF:0.426863, Len: 13, Fitness_tra: 0
Rule 14: 5515214128188, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 119511412112c, Class:  0, CF:0.984119, Len: 13, Fitness_tra: 0
Rule 16: 2125258252592, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 1111115211151, Class:  0, CF:0.140414, Len: 13, Fitness_tra: 0
Rule 18: 1111151112511, Class:  1, CF:0.812497, Len: 13, Fitness_tra: 0
Rule 19: 1111115511114, Class:  1, CF:0.57015, Len: 13, Fitness_tra: 0
Rule 20: 1111111151151, Class:  1, CF:0.507431, Len: 13, Fitness_tra: 0
Rule 21: 3458155851133, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 9c31159c11d51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 14111d52281d5, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 24: 000000c004000, Class:  0, CF:0.60535, Len:  2, Fitness_tra: -6
Rule 25: 1181152122511, Class:  1, CF:0.384593, Len: 13, Fitness_tra: 0
Rule 26: 1531121511241, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 27: 1251111851119, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 953511112122c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 300800d008005, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 1151215111131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 155111212821c, Class:  2, CF:0.957591, Len: 13, Fitness_tra: 0
Rule 32: 009050000000d, Class:  0, CF:  1, Len:  3, Fitness_tra: 0
Rule 33: 5121111124151, Class:  0, CF:0.962292, Len: 13, Fitness_tra: 0
Rule 34: 118111c181114, Class:  0, CF:0.253696, Len: 13, Fitness_tra: 0
Rule 35: 8811151224514, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 36: 1c12533255111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: 1151121141c21, Class:  0, CF:0.351931, Len: 13, Fitness_tra: 0
Rule 38: 1111c15154131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 1111851c81835, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 11d522b121112, Class:  1, CF:0.172524, Len: 13, Fitness_tra: 0
Rule 41: 1218851218d13, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 42: 1155199112211, Class:  1, CF:  1, Len: 13, Fitness_tra: 0
Rule 43: 2000000000000, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 44: 9111c2792511c, Class:  2, CF:  1, Len: 13, Fitness_tra: 0
Rule 45: d0d0000048440, Class:  0, CF:0.629103, Len:  6, Fitness_tra: 0
Rule 46: 119515d118551, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 47: 0006660000000, Class:  1, CF:  1, Len:  3, Fitness_tra: 0
Rule 48: 000000c000002, Class:  0, CF:0.727188, Len:  2, Fitness_tra: 18
Rule 49: 000070c050000, Class:  0, CF:0.216655, Len:  3, Fitness_tra: -1
Rule 50: 55318273c1118, Class:  0, CF:  1, Len: 13, Fitness_tra: 0
Rule 51: 12d1531211111, Class:  1, CF:0.661397, Len: 13, Fitness_tra: 0
Rule 52: 9251c93115531, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 53: 11d5111121141, Class:  1, CF:0.541655, Len: 13, Fitness_tra: 0
