------Generation 0------
Rule  1: 812221ec, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  2: 12512191, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule  3: d2271252, Class:  0, CF:  1, Len:  8, Fitness_tra: 2
Rule  4: d11d4195, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: d55211e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 11122452, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 1cc217e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 112111e5, Class:  0, CF:0.991728, Len:  8, Fitness_tra: 0
Rule  9: 8818bb12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d5117238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 8812441c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 13111131, Class:  0, CF:  1, Len:  8, Fitness_tra: 4
Rule 13: 58122155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 14: 851cbb18, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 81241b1c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 16: 12121762, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 11112731, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: 1d817b12, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 28d12238, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 51214498, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: d1127711, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 125c12e4, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 23: 21827255, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 58dcb198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 25: 2121b118, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 85214191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 27: 5214225c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 28: 5dd87158, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: c5127b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 5dd14432, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 31: 2122b111, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 32: 0d000000, Class:  1, CF:0.786171, Len:  1, Fitness_tra: -271
Rule 33: 82224191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 34: c2c42b38, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 35: 51d54154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 36: 1d15b412, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 37: d1814132, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 38: 81227438, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 39: 13d1bb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 40: 5111fb91, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
