------Generation 0------
Rule  1: 1d514798, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  2: 00c80050, Class:  0, CF:0.425079, Len:  3, Fitness_tra: 15
Rule  3: 152222e1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  4: 11513211, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  5: 19887212, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  6: 51211791, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  7: 11512155, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  8: 5d551712, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule  9: 858c4198, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 10: d15c41d1, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 11: 55112795, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 12: 00000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 13: 15831251, Class:  0, CF:  1, Len:  8, Fitness_tra: 0
Rule 14: 18147191, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 15: 11121a11, Class:  0, CF:0.179337, Len:  8, Fitness_tra: 0
Rule 16: 31127131, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 17: 15511b11, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 18: d584b154, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 19: 18511491, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 20: 18cc22e5, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 21: 2542b4e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 22: 00000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 23: 1c55b13c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 24: 00000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 25: 5212429c, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 26: 00000000, Class:  1, CF:2.22045e-16, Len:  0, Fitness_tra: 0
Rule 27: 11112112, Class:  0, CF:  1, Len:  8, Fitness_tra: 1
Rule 28: 155c2b51, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 29: 881d2b31, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
Rule 30: 15d847e2, Class:  0, CF:  0, Len:  0, Fitness_tra: 0
